0-Bebarova 2008,1-Cheng 2010,2-Cheng 2010,3-Cheng 2011,4-Ge 2008,6-Hsueh 2009,7-Hu 2015,8-Juang 2014a,9-Kapplinger 2015,10-Kapplinger 2015,11-Kapplinger 2015,12-Kapplinger 2015,13-Kapplinger 2015,18-Tan 2005,19-Tan 2005,20-Tan 2005,21-Tan 2005,22-Tan 2005,23-Tan 2005,24-Tan 2005,25-Tan 2005,26-Tan 2006,27-Watanabe 2011b,28-Watanabe 2011b,29-Zeng 2013,sum,gauss,x
3.19753384814e-105,1.25696824867e-205,0.0,1.24645521877e-67,4.97531348187e-89,6.53714607818e-291,1.52043353999e-29,0.0,0.0,0.0,3.48695776259e-103,2.28317880081e-178,9.59937060107e-121,2.1173285084e-130,2.1173285084e-130,4.51561542079e-125,3.73295966533e-31,0.0,4.83007937509e-169,1.3192631074e-65,0.0,1.28774176708e-74,2.1059580418e-246,2.65530368205e-90,4.82321530276e-127,1.55776313665e-29,3.81026150171e-63,-135.8399584
6.58195102496e-105,5.22085880621e-205,0.0,2.03938359753e-67,9.33779877983e-89,6.34559934975e-290,1.86167400296e-29,0.0,0.0,0.0,7.30008834701e-103,8.70515005385e-178,2.29877643861e-120,5.57205768536e-130,5.57205768536e-130,1.1755077937e-124,4.61819265703e-31,0.0,1.77626432293e-168,2.12948018383e-65,0.0,2.28363981462e-74,1.25405244473e-245,5.49772599738e-90,1.18643522364e-126,1.90785592953e-29,6.06657329109e-63,-135.6799568
1.3533545375e-104,2.16378530572e-204,0.0,3.33399836556e-67,1.75078260855e-88,6.13567747983e-289,2.2787220104e-29,0.0,0.0,0.0,1.52648963822e-102,3.3116732623e-177,5.49715705146e-120,1.46402360008e-129,1.46402360008e-129,3.05509705716e-124,5.71131845554e-31,0.0,6.51772150849e-168,3.43453815805e-65,0.0,4.04568557744e-74,7.44639950682e-245,1.13678333783e-89,2.91429653048e-126,2.33583519496e-29,9.6515831034e-63,-135.5199552
2.77962341353e-104,8.94830882793e-204,0.0,5.44598024975e-67,3.27931841744e-88,5.90959630697e-288,2.78824274358e-29,0.0,0.0,0.0,3.18818798386e-102,1.25705298483e-176,1.31270452254e-119,3.84048140169e-129,3.84048140169e-129,7.92712021744e-124,7.06067607587e-31,0.0,2.38626619377e-167,5.53497477546e-65,0.0,7.16015370246e-74,4.40901539536e-244,2.34745903624e-89,7.14834938544e-126,2.85884950434e-29,1.53433467476e-62,-135.3599536
5.7026639498e-104,3.69251560575e-203,0.0,8.88855082911e-67,6.1361872484e-88,5.6696796761e-287,3.41052576105e-29,0.0,0.0,0.0,6.65086750144e-102,4.76096038016e-176,3.13028043904e-119,1.00583876639e-128,1.00583876639e-128,2.05350994601e-123,8.72573019165e-31,0.0,8.71719697118e-167,8.91282755084e-65,0.0,1.26595497506e-73,2.60316410117e-243,4.84110007385e-89,1.75089509995e-125,3.49778306296e-29,2.43729492945e-62,-135.199952
1.16865693245e-103,1.52040151192e-202,0.0,1.44953957673e-66,1.14703658744e-87,5.41831996952e-286,4.17026456859e-29,0.0,0.0,0.0,1.38578860703e-101,1.79916267598e-175,7.45395801717e-119,2.63012378322e-128,2.63012378322e-128,5.3109120624e-123,1.07796051555e-30,0.0,3.17738405486e-166,1.4340619699e-64,0.0,2.23604156062e-73,1.53259049051e-242,9.97047417759e-89,4.28249444111e-125,4.27806062014e-29,3.86867734102e-62,-135.0399504
2.39228953375e-103,6.24667374992e-202,0.0,2.36196475775e-66,2.14200060697e-87,5.15793885742e-285,5.09750197184e-29,0.0,0.0,0.0,2.8840314536e-101,6.78392722662e-175,1.77246662582e-118,6.86640035437e-128,6.86640035437e-128,1.37129958279e-122,1.33121900128e-30,0.0,1.15557316003e-165,2.30554122118e-64,0.0,3.94554662415e-73,8.99736533567e-242,2.05075264606e-88,1.04596177376e-124,5.23062387196e-29,6.13597207312e-62,-134.879948799
4.89167822942e-103,2.56090774697e-201,0.0,3.84557218721e-66,3.99600073652e-87,4.89094915543e-284,6.22877605669e-29,0.0,0.0,0.0,5.99497413754e-101,2.55227114051e-174,4.20878382556e-118,1.78972856757e-127,1.78972856757e-127,3.53497633616e-122,1.6433941759e-30,0.0,4.19333985982e-165,3.70365411907e-64,0.0,6.95504885468e-73,5.26707172881e-241,4.21246652724e-88,2.55103925926e-124,6.39311547428e-29,9.72457608409e-62,-134.719947199
9.99124167755e-103,1.04759549386e-200,0.0,6.25594240521e-66,7.4472371044e-87,4.61971860951e-283,7.60850887874e-29,0.0,0.0,0.0,1.24468355204e-100,9.58092236239e-174,9.97981756346e-118,4.65747286881e-127,4.65747286881e-127,9.09769999566e-122,2.02805421318e-30,0.0,1.51829988931e-164,5.94484463504e-64,0.0,1.22478225913e-72,3.07459388479e-240,8.64142490256e-88,6.21299202265e-124,7.81131430006e-29,1.54001312598e-61,-134.559945599
2.03844260389e-102,4.27610034066e-200,0.0,1.0168777254e-65,1.38652739257e-86,4.34653633967e-282,9.29068866304e-29,0.0,0.0,0.0,2.58115985938e-100,3.58858067406e-173,2.36306688267e-117,1.21009261899e-126,1.21009261899e-126,2.33758625916e-121,2.50185973713e-30,0.0,5.48516808277e-164,9.53461484213e-64,0.0,2.15468250738e-72,1.78966165928e-239,1.77035341104e-87,1.51100803622e-123,9.54087463675e-29,2.43693870696e-61,-134.399943999
4.15427222422e-102,1.74163334731e-199,0.0,1.65153942543e-65,2.57884582246e-86,4.07358256706e-281,1.13409068206e-28,0.0,0.0,0.0,5.34632271341e-100,1.34113652009e-172,5.58749123021e-117,3.13900498324e-126,3.13900498324e-126,5.99645547838e-121,3.08526119522e-30,0.0,1.97723004884e-163,1.52798241653e-63,0.0,3.78680883408e-72,1.03876846766e-238,3.62209885429e-87,3.66956915504e-123,1.16494329401e-28,3.85328586559e-61,-134.239942399
8.45685447077e-102,7.07815638609e-199,0.0,2.68011466907e-65,4.79165955686e-86,3.80290212864e-280,1.38388237378e-28,0.0,0.0,0.0,1.10606271517e-99,5.00101486596e-172,1.31930474478e-116,8.1296250035e-126,8.1296250035e-126,1.53572167879e-120,3.80335178676e-30,0.0,7.11146939911e-163,2.44673039154e-63,0.0,6.64858421449e-72,6.01216969993e-238,7.40093074937e-87,8.89909214216e-123,1.42191589165e-28,6.08813525818e-61,-134.079940799
1.71965055134e-101,2.87037179636e-198,0.0,4.34572284213e-65,8.89426738873e-86,3.53638215511e-279,1.68811525227e-28,0.0,0.0,0.0,2.28553907574e-99,1.86070782534e-171,3.11071929727e-116,2.10210369863e-125,2.10210369863e-125,3.92664238369e-120,4.68691025712e-30,0.0,2.55209226376e-162,3.91477164395e-63,0.0,1.16613992232e-71,3.46983123258e-237,1.51021262651e-86,2.15505647063e-122,1.73498435484e-28,9.61177940956e-61,-133.919939199
3.49292282666e-101,1.16147731663e-197,0.0,7.04068464712e-65,1.64929392861e-85,3.2757341548e-278,2.05852682151e-28,0.0,0.0,0.0,4.71717365334e-99,6.90769421859e-171,7.32426335238e-116,5.42678822933e-125,5.42678822933e-125,1.00235397879e-119,5.77367534937e-30,0.0,9.13836032631e-162,6.25863045042e-63,0.0,2.0433268871e-71,1.99687151543e-236,3.07762405812e-86,5.21139426214e-122,2.11626357501e-28,1.51631606979e-60,-133.759937599
7.08688227323e-101,4.68962254724e-197,0.0,1.1397562421e-64,3.05526996291e-85,3.02248061522e-277,2.50935720102e-28,0.0,0.0,0.0,9.72432338519e-99,2.55872084248e-170,1.72208470203e-115,1.39873913886e-124,1.39873913886e-124,2.55453478518e-119,7.10990279758e-30,0.0,3.26493896882e-161,9.99780682387e-63,0.0,3.5767676815e-71,1.1459259145e-235,6.26352412216e-86,1.25843715004e-121,2.58045622899e-28,2.39024335634e-60,-133.599935999
1.43627925341e-100,1.88938134883e-196,0.0,1.84354305564e-64,5.65411675265e-85,2.77794610737e-276,3.05787665438e-28,0.0,0.0,0.0,2.00226353045e-98,9.45687374258e-170,4.04326768831e-115,3.59944627023e-124,3.59944627023e-124,6.49970216827e-119,8.75226679373e-30,0.0,1.16390286829e-160,1.59581569075e-62,0.0,6.25474073673e-71,6.55733858043e-235,1.27305643128e-85,3.03453013673e-121,3.14539932232e-28,3.76496498554e-60,-133.439934399
2.90763573103e-100,7.59549245625e-196,0.0,2.97946857594e-64,1.04530638967e-84,2.54325276132e-275,3.72502301485e-28,0.0,0.0,0.0,4.11782036004e-98,3.48744331116e-169,9.47977240502e-115,9.24782872823e-124,9.24782872823e-124,1.65107205222e-118,1.07701812777e-29,0.0,4.13993279659e-160,2.54514938674e-62,0.0,1.09268149779e-70,3.74165141719e-234,2.58405808116e-85,7.30690908522e-121,3.83272482763e-28,5.9257892682e-60,-133.279932799
5.87974576401e-100,3.0468202105e-195,0.0,4.8113677471e-64,1.93057238464e-84,2.31931987704e-274,4.53617162591e-28,0.0,0.0,0.0,8.45858799039e-98,1.2832214325e-168,2.21947754441e-114,2.37218729539e-123,2.37218729539e-123,4.18725615072e-118,1.32486326898e-29,0.0,1.46928053792e-159,4.05598539908e-62,0.0,1.90696869125e-70,2.12894131504e-233,5.23820633543e-85,1.75694544721e-120,4.66865795281e-28,9.31961355476e-60,-133.119931199
1.18766659e-99,1.21952946257e-194,0.0,7.76323110021e-64,3.56198614301e-84,2.1068673453e-273,5.52206501218e-28,0.0,0.0,0.0,1.73545222114e-97,4.71119341507e-168,5.18908792147e-114,6.07523788846e-123,6.07523788846e-123,1.06019064034e-117,1.62916355938e-29,0.0,5.20296665416e-159,6.45850566926e-62,0.0,3.32475182583e-70,1.20789366652e-232,1.06044621626e-84,4.21856917093e-120,5.68498136812e-28,1.4645899352e-59,-132.959929599
2.39633743485e-99,4.87071080218e-194,0.0,1.25158599725e-63,6.56541242978e-84,1.90642248093e-272,6.71993501563e-28,0.0,0.0,0.0,3.55640954435e-97,1.72581860203e-167,1.21148692737e-113,1.55339790778e-122,1.55339790778e-122,2.67996631962e-117,2.0026446562e-29,0.0,1.83836710741e-158,1.02759093587e-61,0.0,5.79082712976e-70,6.83373866919e-232,2.14397840686e-84,1.01147323797e-119,6.92019948125e-28,2.29985590142e-59,-132.799927999
4.8296854392e-99,1.94109579856e-193,0.0,2.01615118495e-63,1.20891412494e-83,1.7183298164e-271,8.17485675633e-28,0.0,0.0,0.0,7.27939335609e-97,6.30803710336e-167,2.82444982645e-113,3.9655849565e-122,3.9655849565e-122,6.76340882654e-117,2.46087007955e-29,0.0,6.48109401104e-158,1.63365761669e-61,0.0,1.00759885291e-69,3.85525117586e-231,4.32890327487e-84,2.4217312327e-119,8.42094376429e-28,3.60870720153e-59,-132.639926399
9.72315390749e-99,7.71891348189e-193,0.0,3.24511217655e-63,2.22378369809e-83,1.54276336739e-270,9.94138172515e-28,0.0,0.0,0.0,1.48820556486e-96,2.30053165965e-166,6.57561572831e-113,1.01073409473e-121,1.01073409473e-121,1.70409137131e-116,3.02286712076e-29,0.0,2.2798133015e-157,2.59510166628e-61,0.0,1.75146081447e-69,2.16876071866e-230,8.72893122783e-84,5.79001666288e-119,1.02436684372e-27,5.65808029499e-59,-132.479924799
1.95529781804e-98,3.06280928374e-192,0.0,5.21891894032e-63,4.08651675582e-83,1.37974086328e-269,1.20855068473e-27,0.0,0.0,0.0,3.03888996993e-96,8.37138029309e-166,1.52871460934e-112,2.57200428754e-121,2.57200428754e-121,4.28658113633e-116,3.71188924159e-29,0.0,8.00175273826e-157,4.11908039621e-61,0.0,3.04143740614e-69,1.21656480311e-229,1.75780208994e-83,1.38234360803e-118,1.24566957715e-27,8.86447472521e-59,-132.319923199
3.92768013284e-98,1.21265793987e-191,0.0,8.38640067627e-63,7.50201066461e-83,1.22913943417e-268,1.46870477833e-27,0.0,0.0,0.0,6.19799672795e-96,3.03949063984e-165,3.54898231751e-112,6.53448816214e-121,6.53448816214e-121,1.07651516738e-115,4.55634438324e-29,0.0,2.80224338681e-156,6.53279030598e-61,0.0,5.27622172102e-69,6.80492754371e-229,3.5351235441e-83,3.29560025796e-118,1.51426822217e-27,1.38772478688e-58,-132.159921599
7.88091691945e-98,4.79083542952e-191,0.0,1.34652643212e-62,1.37583299955e-82,1.09071225897e-267,1.78424984281e-27,0.0,0.0,0.0,1.26261814102e-95,1.10113211968e-164,8.22751502739e-112,1.65751160497e-120,1.65751160497e-120,2.69910755854e-115,5.59092486917e-29,0.0,9.79177579037e-156,1.03526069344e-60,0.0,9.14392991811e-69,3.79556481374e-228,7.10010759764e-83,7.8457663777e-118,1.84015909151e-27,2.17080155833e-58,-131.999919999
1.57955527191e-97,1.88859470932e-190,0.0,2.16022196169e-62,2.52067827279e-82,9.64105705956e-267,2.16684749753e-27,0.0,0.0,0.0,2.56907641682e-95,3.98027366956e-164,1.90467535331e-111,4.19765454913e-120,4.19765454913e-120,6.7563348159e-115,6.8579821685e-29,0.0,3.41390907468e-155,1.63928056345e-60,0.0,1.58310032123e-68,2.11102787142e-227,1.42413440776e-82,1.86517051029e-117,2.23542731921e-27,3.39315222453e-58,-131.839918399
3.16235299796e-97,7.42883757473e-190,0.0,3.46278948297e-62,4.61352380158e-82,8.48876534802e-266,2.63058625592e-27,0.0,0.0,0.0,5.22115198448e-95,1.43555989859e-163,4.40312149393e-111,1.06135807159e-119,1.06135807159e-119,1.68846891161e-114,8.4091989611e-29,0.0,1.18761950415e-154,2.59363830464e-60,0.0,2.73810237554e-68,1.1707823626e-226,2.8527436231e-82,4.42775959624e-117,2.71467824553e-27,5.29972093888e-58,-131.679916799
6.32416666238e-97,2.91579868226e-189,0.0,5.54623186303e-62,8.43551815633e-82,7.44508775083e-265,3.19248060063e-27,0.0,0.0,0.0,1.05983916369e-94,5.16612112459e-163,1.01645417744e-110,2.67930573746e-119,2.67930573746e-119,4.21275213937e-114,1.03076220408e-28,0.0,4.12228082819e-154,4.10032320395e-60,0.0,4.73104004305e-68,6.47475029634e-226,5.70689946581e-82,1.04961940212e-116,3.29555682104e-27,8.27121100828e-58,-131.519915199
