0-Abe 2014,1-Beyder 2010,2-Beyder 2014,3-Calloe 2011,4-Calloe 2011,5-Calloe 2013,6-Cheng 2010,7-Cheng 2010,8-Cheng 2011,9-Gosselin-Badaroudine 2012,11-Hu 2015,12-Kapplinger 2015,13-Kapplinger 2015,14-Kapplinger 2015,15-Kapplinger 2015,16-Kapplinger 2015,17-Kapplinger 2015,18-Kapplinger 2015,19-Kapplinger 2015,20-Kapplinger 2015,21-Kapplinger 2015,22-Kapplinger 2015,23-Kapplinger 2015,24-Kapplinger 2015,25-Kapplinger 2015,26-Kapplinger 2015,27-Kapplinger 2015,28-Kapplinger 2015,29-Kapplinger 2015,30-Kapplinger 2015,31-Kapplinger 2015,32-Kapplinger 2015,33-Kapplinger 2015,35-Medeiros-Domingo 2009,36-Nakajima 2015,37-Samani 2009,38-Shuraih 2007,39-Swan 2014,40-Tan 2005,41-Tan 2005,42-Tan 2005,43-Tan 2005,44-Tan 2005,45-Tan 2005,46-Tan 2005,47-Tan 2006,48-Tester 2010,49-Valdivia 2004,sum,gauss,x
2.77899267153e-53,4.09943228109e-09,1.79369884905e-158,0.0,0.0,0.0,1.7636578299e-242,7.54493447318e-183,7.33055525951e-195,1.34865491625e-292,7.76022399239e-139,0.0,0.0,4.8827476229e-189,5.804755174e-91,2.61158897748e-114,3.89975819796e-91,1.43314247615e-213,1.08823887005e-76,1.55721460519e-50,8.39448483133e-95,3.67698933678e-73,3.89975819796e-91,2.72496279237e-56,1.55721460519e-50,2.48619591979e-221,1.85909156002e-87,5.804755174e-91,3.67698933678e-73,7.11666278148e-230,5.804755174e-91,6.8831667622e-138,7.41274875515e-94,2.34208095411e-181,3.87879855786e-228,1.29829818102e-93,0.0,4.43841855702e-233,6.82423417491e-93,1.0624375947e-94,4.43382354493e-242,3.6939790939e-182,1.26880400442e-314,7.95268229027e-27,0.0,3.76308438342e-161,1.57167116877e-129,2.50184632389e-37,4.09943228109e-09,1.69606667866e-37,-138.399984
4.21405113236e-53,4.24406734254e-09,7.45324407927e-158,0.0,0.0,0.0,9.25840033466e-242,2.70497859316e-182,2.96942643979e-194,1.75300564567e-291,2.16016304177e-138,0.0,0.0,1.88275527936e-188,1.09603924183e-90,5.68113861144e-114,7.36805045425e-91,6.42252663242e-213,1.83553147252e-76,2.14271673552e-50,1.60707437981e-94,6.01801172843e-73,7.36805045425e-91,3.96618200668e-56,2.14271673552e-50,1.22022159321e-220,3.44699017654e-87,1.09603924183e-90,6.01801172843e-73,3.7423166458e-229,1.09603924183e-90,1.81170170218e-137,1.41668948033e-93,8.70796328152e-181,2.04069414971e-227,2.48162079856e-93,0.0,2.0543312114e-232,1.32317595822e-92,2.07377882372e-94,2.74699007102e-241,1.42732074134e-181,1.36859492023e-313,9.44880976435e-27,0.0,1.33962339922e-160,4.11792318949e-129,3.23453392827e-37,4.24406734254e-09,2.20030006235e-37,-138.2399824
6.38532156709e-53,4.39357393734e-09,3.08820276036e-157,0.0,0.0,0.0,4.84810283128e-241,9.67863940802e-182,1.20017106544e-193,2.26734843608e-290,6.0029928886e-138,0.0,0.0,7.24430884875e-188,2.06743541461e-90,1.23438664527e-113,1.3906926328e-90,2.8715191555e-212,3.09347406444e-76,2.94697012655e-50,3.07355902585e-94,9.84202042932e-73,1.3906926328e-90,5.76941816755e-56,2.94697012655e-50,5.97373010502e-220,6.38484517815e-87,2.06743541461e-90,9.84202042932e-73,1.96270986252e-228,2.06743541461e-90,4.76131828078e-137,2.70477704072e-93,3.23084557735e-180,1.07078054436e-226,4.73866947327e-93,0.0,9.4874075189e-232,2.56281952768e-92,4.0435068588e-94,1.69675842907e-240,5.50279840019e-181,1.47041370268e-312,1.12232528774e-26,0.0,4.75834990088e-160,1.07720884729e-128,4.18001162584e-37,4.39357393734e-09,2.85325458922e-37,-138.0799808
9.66799281147e-53,4.54810764815e-09,1.27594195703e-156,0.0,0.0,0.0,2.53233951648e-240,3.45626397324e-181,4.84003625985e-193,2.91813710409e-289,1.66539842355e-137,0.0,0.0,2.78146453848e-187,3.89584303385e-90,2.67887416376e-113,2.62224561771e-90,1.28087509e-211,5.20928556693e-76,4.05117854205e-50,5.87233455113e-94,1.60837038403e-72,2.62224561771e-90,8.38761929571e-56,4.05117854205e-50,2.91713160567e-219,1.1814946366e-86,3.89584303385e-90,1.60837038403e-72,1.0266516462e-227,3.89584303385e-90,1.24942403428e-136,5.15881183286e-93,1.19619157026e-179,5.60357103893e-226,9.03935493569e-93,0.0,4.37179237693e-231,4.9585556421e-92,7.87572740914e-94,1.04488184257e-239,2.11680332824e-180,1.57357842755e-311,1.3327189159e-26,0.0,1.68641674469e-159,2.8133689934e-128,5.3995549555e-37,4.54810764815e-09,3.69844157256e-37,-137.9199792
1.46271743241e-52,4.70782872575e-09,5.25679061999e-156,0.0,0.0,0.0,1.31942978399e-239,1.23180401756e-180,1.9475515417e-192,3.73719359347e-288,4.61251182452e-137,0.0,0.0,1.06567207083e-186,7.33389353664e-90,5.8068242697e-113,4.93945728408e-90,5.70021320385e-211,8.76510038682e-76,5.56649357823e-50,1.12084013282e-93,2.62638534222e-72,4.93945728408e-90,1.21868851123e-55,5.56649357823e-50,1.42092116278e-218,2.18415872992e-86,7.33389353664e-90,2.62638534222e-72,5.35601199029e-227,7.33389353664e-90,3.27366789019e-136,9.82945224577e-93,4.41947009257e-179,2.9246314824e-225,1.72257637698e-92,0.0,2.01004779055e-230,9.5836093113e-92,1.53235684068e-93,6.41502850574e-239,8.1247928849e-180,1.67734145067e-310,1.58210952776e-26,0.0,5.96359743101e-159,7.33598773698e-128,6.97193194218e-37,4.70782872575e-09,4.79199795657e-37,-137.7599776
2.21133799873e-52,4.87290221887e-09,2.15960880067e-155,0.0,0.0,0.0,6.85748516396e-239,4.38145590379e-180,7.81923357852e-192,4.76253274509e-287,1.27533964042e-136,0.0,0.0,4.07424486659e-186,1.37921319453e-89,1.25721722667e-112,9.29498624136e-90,2.53083993049e-210,1.4736103589e-75,7.64498644214e-50,2.13717560179e-93,4.28549899247e-72,9.29498624136e-90,1.7696771298e-55,7.64498644214e-50,6.9037884798e-218,4.03373810426e-86,1.37921319453e-89,4.28549899247e-72,2.78683594143e-226,1.37921319453e-89,8.56448990938e-136,1.87098523665e-92,1.62938827207e-178,1.52236670642e-224,3.27928800101e-92,0.0,9.22121440191e-230,1.85028979651e-91,2.97828250265e-93,3.92657810042e-238,3.11156566031e-179,1.78089699113e-309,1.87764160772e-26,0.0,2.10419805144e-158,1.90983396016e-127,8.99835265555e-37,4.87290221887e-09,6.2063192328e-37,-137.599976
3.34056858905e-52,5.04349810731e-09,8.8469616917e-155,0.0,0.0,0.0,3.55514822174e-238,1.55538315564e-179,3.13237893857e-191,6.03924752189e-286,3.52032895625e-136,0.0,0.0,1.5543333189e-185,2.59114583589e-89,2.71873722365e-112,1.74735810959e-89,1.12105653376e-209,2.4754575291e-75,1.04946124455e-49,4.07099335711e-93,6.98738899808e-72,1.74735810959e-89,2.56828180064e-55,1.04946124455e-49,3.34586570623e-217,7.44221576813e-86,2.59114583589e-89,6.98738899808e-72,1.4462144447e-225,2.59114583589e-89,2.2372293391e-135,3.55772862392e-92,5.99465091221e-178,7.90331446806e-224,6.23649614232e-92,0.0,4.22089684379e-229,3.56851190767e-91,5.78240640467e-93,2.3961507135e-237,1.18899635376e-178,1.88339041243e-308,2.22775294004e-26,0.0,7.40797982737e-158,4.96406822159e-127,1.16088066426e-36,5.04349810731e-09,8.03472877685e-37,-137.4399744
5.04261986835e-52,5.21979143842e-09,3.61391433409e-154,0.0,0.0,0.0,1.83850489118e-237,5.51059450396e-179,1.25204311842e-190,7.62044198058e-285,9.70084711155e-136,0.0,0.0,5.91717853239e-185,4.8631309251e-89,5.87231594872e-112,3.28154784014e-89,4.95426928393e-209,4.15504121461e-75,1.439961131e-49,7.746833667e-93,1.13841083125e-71,3.28154784014e-89,3.7251059087e-55,1.439961131e-49,1.61745821016e-216,1.37172759437e-85,4.8631309251e-89,1.13841083125e-71,7.48523460233e-225,4.8631309251e-89,5.83527906824e-135,6.75828790662e-92,2.20083829669e-177,4.0920516418e-223,1.18484565819e-91,0.0,1.92777453313e-228,6.87497763892e-91,1.12147107589e-92,1.45780106452e-236,4.53332606691e-178,1.98392908693e-307,2.64240584292e-26,0.0,2.60224300535e-157,1.28820501688e-126,1.49701738156e-36,5.21979143842e-09,1.03974767067e-36,-137.2799728
7.60611068645e-52,5.40196246692e-09,1.47206236396e-153,0.0,0.0,0.0,9.48388128836e-237,1.94850549681e-178,4.99343220331e-190,9.5681939054e-284,2.66873281056e-135,0.0,0.0,2.24780522184e-184,9.11808671718e-89,1.2668840393e-111,6.15657552603e-89,2.18434363228e-208,6.96854702118e-75,1.97483043577e-49,1.47269129695e-92,1.85333398486e-71,6.15657552603e-89,5.3998524089e-55,1.97483043577e-49,7.79939949961e-216,2.52583252824e-85,9.11808671718e-89,1.85333398486e-71,3.86393282755e-224,9.11808671718e-89,1.51968954628e-134,1.28251358433e-91,8.06301181854e-177,2.11307449165e-222,2.24875908085e-91,0.0,8.78501729676e-228,1.32309848728e-90,2.17272261876e-92,8.84232831989e-236,1.72459957249e-177,2.08159467718e-306,3.13335922088e-26,0.0,9.12075501183e-157,3.33762350973e-126,1.92966004901e-36,5.40196246692e-09,1.3449443516e-36,-137.1199712
1.14640909952e-51,5.59019679836e-09,5.97914676378e-153,0.0,0.0,0.0,4.88002077482e-236,6.87617519036e-178,1.98707340967e-189,1.19545229783e-282,7.32941905718e-135,0.0,0.0,8.5207174696e-184,1.70787124351e-88,2.72991789835e-111,1.15388714364e-88,9.60841099166e-208,1.16776694051e-74,2.7070952256e-49,2.79680933671e-92,3.01494179963e-71,1.15388714364e-88,7.82298448864e-55,2.7070952256e-49,3.75139502584e-215,4.64635391529e-85,1.70787124351e-88,3.01494179963e-71,1.98932228947e-223,1.70787124351e-88,3.95175709766e-134,2.43135666835e-91,2.94775498973e-176,1.08825423801e-221,4.26367510822e-91,0.0,3.99451342361e-227,2.54360575633e-90,4.20491515561e-92,5.34711163372e-235,6.54627842272e-177,2.17545661695e-305,3.71448854592e-26,0.0,3.18969100013e-156,8.63365758804e-126,2.48627673056e-36,5.59019679836e-09,1.73900287065e-36,-136.9599696
