1-Feng 1996,4-Sakakibara 1992,5-Sakakibara 1993,6-Schneider 1994,sum,gauss,x
1.61321890682e-41,9.09582901083e-54,1.22439444467e-26,5.38292248719e-19,5.38292260963e-19,7.91484132612e-28,-132.799927999
2.174225751e-41,1.36085293488e-53,1.49274843952e-26,6.15266441254e-19,6.15266456182e-19,9.74414177609e-28,-132.639926399
2.92883988964e-41,2.03461249318e-53,1.81927670474e-26,7.0307803487e-19,7.03078053062e-19,1.19918597872e-27,-132.479924799
3.94335876167e-41,3.03986169907e-53,2.21644902958e-26,8.03228358686e-19,8.0322838085e-19,1.47526845357e-27,-132.319923199
5.30660319147e-41,4.53865895464e-53,2.69937732709e-26,9.17423238985e-19,9.17423265979e-19,1.81425001653e-27,-132.159921599
7.13750788788e-41,6.77178062739e-53,3.28636881128e-26,1.04760036555e-18,1.04760039841e-18,2.23030768981e-27,-131.999919999
9.59524906843e-41,1.00967084811e-52,3.99959357611e-26,1.19596025287e-18,1.19596029286e-18,2.74077884808e-27,-131.839918399
1.28927501788e-40,1.50438280124e-52,4.86588993724e-26,1.36500125931e-18,1.36500130796e-18,3.36685778484e-27,-131.679916799
1.73146830634e-40,2.23995094953e-52,5.91773560533e-26,1.55755918576e-18,1.55755924493e-18,4.13444402709e-27,-131.519915199
2.32414483766e-40,3.33288449357e-52,7.19441840422e-26,1.77685204093e-18,1.77685211288e-18,5.07517506215e-27,-131.359913599
3.11811045833e-40,4.95568419977e-52,8.74344701073e-26,2.02653063422e-18,2.02653072166e-18,6.22768308478e-27,-131.199911999
4.18118579678e-40,7.36357288256e-52,1.06222502954e-25,2.31073573977e-18,2.31073584599e-18,7.63912377478e-27,-131.039910399
5.60385772916e-40,1.09339016257e-51,1.29002235454e-25,2.63416266845e-18,2.63416279746e-18,9.36703527663e-27,-130.879908799
7.50679228818e-40,1.62242018391e-51,1.56611914635e-25,3.00213418863e-18,3.00213434524e-18,1.14815978373e-26,-130.719907199
1.00508169e-39,2.40576457168e-51,1.9006371734e-25,3.42068285353e-18,3.4206830436e-18,1.40683794038e-26,-130.559905599
1.34501766226e-39,3.56487671704e-51,2.30579395624e-25,3.89664392458e-18,3.89664415516e-18,1.72316704157e-26,-130.399903999
1.799012899e-39,5.27882800172e-51,2.7963313471e-25,4.43776022668e-18,4.43776050631e-18,2.10985326809e-26,-130.239902399
2.40502852125e-39,7.81145821748e-51,3.39003063748e-25,5.05280043688e-18,5.05280077588e-18,2.58237133617e-26,-130.079900799
3.21355582448e-39,1.15512324245e-50,4.10833143375e-25,5.75169249234e-18,5.75169290317e-18,3.1595606633e-26,-129.919899199
