0-Albert 2008,1-Baroudi 2000a,2-Bezzina 2003,3-Bezzina 2003,4-Ellinor 2008,5-Gosselin-Badaroudine 2012,6-Groenewegen 2003a,7-Groenewegen 2003a,8-Groenewegen 2003b,9-Guetter 2013,10-Gui 2010a,11-Makita 1998,12-O'Leary 2002,13-Rook 1999,14-Surber 2008,15-Vatta 2002b,16-Wei 1999,17-Wei 1999,18-Zhang 2008,sum,gauss,x
0.0,0.0,5.69185332193e-08,1.96766088948e-13,0.0,1.16769263956e-69,4.11784288793e-17,2.92883117874e-23,1.31265160976e-47,9.14997340143e-69,1.46726452475e-132,9.23810889655e-56,0.0,0.0,2.45621460743e-76,0.0,6.32819664493e-71,4.99202022109e-149,0.0,5.69187300266e-08,3.28249751938e-13,-135.8399584
0.0,0.0,6.00952933999e-08,2.26347706726e-13,0.0,4.61007319116e-69,4.99632955631e-17,3.72342955669e-23,2.30720716692e-47,1.94266202664e-68,5.98061049974e-132,1.64530871523e-55,0.0,0.0,5.43846932013e-76,0.0,1.25783911485e-70,2.84407112e-148,0.0,6.00955197976e-08,3.72197756891e-13,-135.6799568
0.0,0.0,6.34397613715e-08,2.60261216343e-13,0.0,1.80887358551e-68,6.0586923068e-17,4.73061301265e-23,4.04897602541e-47,4.11684303703e-68,2.4296740716e-131,2.92626495969e-55,0.0,0.0,1.2019231341e-75,0.0,2.49638949345e-70,1.61303463944e-147,0.0,6.34400216933e-08,4.21899430164e-13,-135.5199552
0.0,0.0,6.69602308833e-08,2.99123354558e-13,0.0,7.05390704111e-68,7.34265688462e-17,6.00644050697e-23,7.09455753316e-47,8.70805182926e-68,9.83820613409e-131,5.19734831791e-55,0.0,0.0,2.65134561834e-75,0.0,4.94699779793e-70,9.10722487666e-147,0.0,6.69605300801e-08,4.78090339894e-13,-135.3599536
0.0,0.0,7.0665374532e-08,3.4363603644e-13,0.0,2.73383541958e-67,8.89352823965e-17,7.62153441491e-23,1.24115757218e-46,1.83851568755e-67,3.9705367048e-130,9.21832314246e-55,0.0,0.0,5.83775188186e-75,0.0,9.78843381435e-70,5.11879281771e-146,0.0,7.0665718257e-08,5.41597736764e-13,-135.199952
0.0,0.0,7.45642593941e-08,3.94597737449e-13,0.0,1.0530187844e-66,1.07656798087e-16,9.66480570649e-23,2.16795380523e-46,3.87438980309e-67,1.59715810967e-129,1.63276604528e-54,0.0,0.0,1.28296426278e-74,0.0,1.93386797216e-69,2.86409994197e-145,0.0,7.45646540995e-08,6.13351674879e-13,-135.0399504
0.0,0.0,7.86663632183e-08,4.52916342375e-13,0.0,4.03107603235e-66,1.30243286389e-16,1.2248116765e-22,3.7808950585e-46,8.14946172793e-67,6.4034202549e-129,2.88800486483e-54,0.0,0.0,2.81431771414e-74,0.0,3.81489468981e-69,1.59532036827e-144,0.0,7.86668162649e-08,6.94397442562e-13,-134.879948799
0.0,0.0,8.29815911929e-08,5.19623642741e-13,0.0,1.53365254493e-65,1.5747649858e-16,1.55121139268e-22,6.5835588079e-46,1.71097701145e-66,2.55883038062e-128,5.10121711957e-54,0.0,0.0,6.16199480376e-74,0.0,7.51415946305e-69,8.84599677537e-144,0.0,8.2982110974e-08,7.85909452512e-13,-134.719947199
0.0,0.0,8.75202933057e-08,5.95891685745e-13,0.0,5.7990130787e-65,1.90292937513e-16,1.9633518272e-22,1.1445856895e-45,3.58549451727e-66,1.01914596639e-127,8.9981167621e-54,0.0,0.0,1.34666374958e-73,0.0,1.4778160585e-68,4.88297800877e-143,0.0,8.75208893876e-08,8.89206757228e-13,-134.559945599
0.0,0.0,9.22932823114e-08,6.83051201745e-13,0.0,2.17922621961e-64,2.29813801795e-16,2.48342331277e-22,1.98681486532e-45,7.49969478808e-66,4.04572798968e-127,1.58500766999e-53,0.0,0.0,2.93755935098e-73,0.0,2.90203386621e-68,2.68325461546e-142,0.0,9.22939655924e-08,1.00577037382e-12,-134.399943999
