0-Clatot 2012,1-Cordeiro 2006,2-Hu 2007,3-Keller 2005,4-Pfahnl 2007,5-Ye 2003,sum,gauss,x
4.42456902404e-38,0.0,0.0,1.20260659334e-37,0.0,3.97105955475e-08,3.97105955475e-08,2.8634573716e-18,-128.479884799
6.02770728253e-38,0.0,0.0,1.61319021164e-37,0.0,4.13823537609e-08,4.13823537609e-08,3.30727095212e-18,-128.319883199
8.20687579767e-38,0.0,0.0,2.16278849185e-37,0.0,4.31212719941e-08,4.31212719941e-08,3.81880472394e-18,-128.159881599
1.11672977405e-37,0.0,0.0,2.89807083371e-37,0.0,4.49299073434e-08,4.49299073434e-08,4.40822492796e-18,-127.999879999
1.51866805395e-37,0.0,0.0,3.88123926669e-37,0.0,4.68109083193e-08,4.68109083193e-08,5.08719823666e-18,-127.839878399
2.06405918911e-37,0.0,0.0,5.19515262717e-37,0.0,4.87670178739e-08,4.87670178739e-08,5.86910929555e-18,-127.679876799
2.80366399317e-37,0.0,0.0,6.95012603058e-37,0.0,5.08010765187e-08,5.08010765187e-08,6.76930922143e-18,-127.519875199
3.80604841812e-37,0.0,0.0,9.29294834386e-37,0.0,5.29160255352e-08,5.29160255352e-08,7.80539937689e-18,-127.359873599
5.16377345953e-37,0.0,0.0,1.24188345268e-36,0.0,5.51149102825e-08,5.51149102825e-08,8.99755533105e-18,-127.199871999
7.00171744536e-37,0.0,0.0,1.65872592313e-36,0.0,5.74008836013e-08,5.74008836013e-08,1.03688965853e-17,-127.039870399
9.48825849882e-37,0.0,0.0,2.214292035e-36,0.0,5.977720932e-08,5.977720932e-08,1.19459084016e-17,-126.879868799
1.28502910134e-36,0.0,0.0,2.95434791379e-36,0.0,6.22472658634e-08,6.22472658634e-08,1.37589229309e-17,-126.719867199
1.73933784045e-36,0.0,0.0,3.93962470569e-36,0.0,6.48145499676e-08,6.48145499676e-08,1.58426678099e-17,-126.559865599
2.35287825143e-36,0.0,0.0,5.25066778442e-36,0.0,6.74826805029e-08,6.74826805029e-08,1.82368915007e-17,-126.399863999
3.18096941152e-36,0.0,0.0,6.99424278782e-36,0.0,7.02554024088e-08,7.02554024088e-08,2.09870758901e-17,-126.239862399
4.29797671183e-36,0.0,0.0,9.31179359325e-36,0.0,7.31365907426e-08,7.31365907426e-08,2.41452480808e-17,-126.079860799
5.80380952083e-36,0.0,0.0,1.23906032815e-35,0.0,7.61302548451e-08,7.61302548451e-08,2.77709049003e-17,-125.919859199
7.83261483332e-36,0.0,0.0,1.64785137101e-35,0.0,7.92405426262e-08,7.92405426262e-08,3.1932065459e-17,-125.759857599
1.05644019928e-35,0.0,0.0,2.1903327534e-35,0.0,8.24717449731e-08,8.24717449731e-08,3.67064691311e-17,-125.599855999
1.42405772399e-35,0.0,0.0,2.90983679701e-35,0.0,8.58283002849e-08,8.58283002849e-08,4.21829386337e-17,-125.439854399
1.91846904676e-35,0.0,0.0,3.86361318842e-35,0.0,8.93147991354e-08,8.93147991354e-08,4.84629304887e-17,-125.279852799
2.58301261315e-35,0.0,0.0,5.12725742194e-35,0.0,9.29359890683e-08,9.29359890683e-08,5.56622980896e-17,-125.119851199
3.47570400872e-35,0.0,0.0,6.80053498599e-35,0.0,9.66967795275e-08,9.66967795275e-08,6.39132959184e-17,-124.959849598
4.67415995381e-35,0.0,0.0,9.01503693276e-35,0.0,1.00602246926e-07,1.00602246926e-07,7.33668572034e-17,-124.799847998
6.2821584091e-35,0.0,0.0,1.19442370939e-34,0.0,1.04657639857e-07,1.04657639857e-07,8.41951815383e-17,-124.639846398
