0-Albert 2008,1-Baroudi 2000a,2-Bezzina 2003,3-Bezzina 2003,4-Ellinor 2008,5-Gosselin-Badaroudine 2012,6-Groenewegen 2003a,7-Groenewegen 2003a,8-Groenewegen 2003b,9-Guetter 2013,10-Gui 2010a,11-Makita 1998,12-O'Leary 2002,13-Rook 1999,14-Surber 2008,15-Vatta 2002b,16-Wei 1999,17-Wei 1999,18-Zhang 2008,sum,gauss,x
0.0,0.0,3.7538716416310213e-08,6.326076888929887e-14,0.0,2.6574825748187543e-79,1.475842916488853e-18,9.26669085285851e-25,2.34648253353162e-51,1.9100737532503e-74,6.6816470191073355e-143,8.726893424984639e-60,0.0,0.0,2.6192041961254152e-82,0.0,1.114095768575025e-75,4.022626046658249e-161,0.0,3.7538779678554946e-08,1.3209628101030107e-10,-138.39998399984
0.0,0.0,3.9729860881006784e-08,7.328922588914603e-14,0.0,1.158008652113907e-78,1.807495285628782e-18,1.1900517227254366e-24,4.228735266280738e-51,4.17823961009211e-74,2.8712714544636235e-142,1.5888874964224886e-59,0.0,0.0,5.97510465504895e-82,0.0,2.2687869950503846e-75,2.4634728337023704e-160,0.0,3.972993417204017e-08,1.45339689790669e-10,-138.239982399824
0.0,0.0,4.2042544359030275e-08,8.486982642321257e-14,0.0,5.015038849492044e-78,2.212385115214541e-18,1.527328576438965e-24,7.60895763420859e-51,9.1227586484142e-74,1.22978835509085e-141,2.8888736685630356e-59,0.0,0.0,1.360539996353705e-81,0.0,4.613250569884926e-75,1.5018446730231744e-159,0.0,4.2042629231069085e-08,1.5987327648575702e-10,-138.079980799808
0.0,0.0,4.448312185462909e-08,9.823675414509858e-14,0.0,2.1585291489781607e-77,2.7063926118162465e-18,1.9589556108820657e-24,1.3669773887169722e-50,1.988147800916392e-73,5.249910480129e-141,5.2452462417353755e-59,0.0,0.0,3.0921941118134897e-81,0.0,9.366179673446307e-75,9.114679131056242e-159,0.0,4.4483220094089623e-08,1.758188887838131e-10,-137.919979199792
0.0,0.0,4.705825808511599e-08,1.1365857480308228e-13,0.0,9.233421314976942e-77,3.3087761536118047e-18,2.5109738526910254e-24,2.451991681011825e-50,4.3247478095508784e-73,2.233771873443093e-140,9.510539200351339e-59,0.0,0.0,7.0147439416473825e-81,0.0,1.8987161567884106e-74,5.5067692125719156e-158,0.0,4.705837174699957e-08,1.9330949877705368e-10,-137.759977599776
0.0,0.0,4.977494131172586e-08,1.3144313798901085e-13,0.0,3.92544146863271e-76,4.042876656111867e-18,3.216512644466781e-24,4.391350988216967e-50,9.3899341363954e-73,9.473078517906949e-140,1.722052257908051e-58,0.0,0.0,1.5883511978008345e-80,0.0,3.843259663782044e-74,3.312008874711017e-157,0.0,4.9775072758906723e-08,2.1249018139064484e-10,-137.59997599976
0.0,0.0,5.264049772056232e-08,1.519431558024597e-13,0.0,1.6585763876862675e-75,4.936965733086495e-18,4.11769156901039e-24,7.852334739397052e-50,2.034950938290836e-72,4.004136318113819e-139,3.1137908705069915e-58,0.0,0.0,3.589805226168087e-80,0.0,7.767504802425814e-74,1.9830115009471728e-156,0.0,5.264064966865509e-08,2.335191753582735e-10,-137.439974399744
0.0,0.0,5.566260637204433e-08,1.7556254870737814e-13,0.0,6.964718521356262e-75,6.0252663604654534e-18,5.2680251643858185e-24,1.4019126549494117e-49,4.4018473575877757e-72,1.686910223315561e-138,5.6225649798147646e-58,0.0,0.0,8.09813242879647e-80,0.0,1.5674924354345082e-73,1.1819472627431444e-155,0.0,5.5662781940618315e-08,2.5656903338727534e-10,-137.279972799728
0.0,0.0,5.884931473773446e-08,2.0276366044305693e-13,0.0,2.906650259073828e-74,7.349180348184411e-18,6.735461313425885e-24,2.4989904920841875e-49,9.503983033546791e-72,7.08337908350509e-138,1.013868087479086e-57,0.0,0.0,1.8234275067867266e-79,0.0,3.1584317555130476e-73,7.013100950787583e-155,0.0,5.88495175087441e-08,2.8182786866259223e-10,-137.11997119971198
0.0,0.0,6.220905484384733e-08,2.340754568590301e-13,0.0,1.2055996325718791e-73,8.958763586226801e-18,8.60621772063375e-24,4.4476412347164094e-49,2.0481698299572433e-71,2.964520089432814e-137,1.8257039342018626e-57,0.0,0.0,4.098092603070941e-79,0.0,6.354474803506924e-73,4.1424875008645165e-154,0.0,6.220928892826297e-08,3.0950070538094744e-10,-136.959969599696
0.0,0.0,6.575066004121881e-08,2.701028381419012e-13,0.0,4.969750131668436e-73,1.0914497953367686e-17,1.0989622866128248e-23,7.903444151226502e-49,4.405710084608839e-71,1.236612719828723e-136,3.283077821458389e-57,0.0,0.0,9.19315689361164e-79,0.0,1.2765268297351526e-72,2.4358550877739424e-153,0.0,6.575093015497146e-08,3.398109415876315e-10,-136.79996799968
0.0,0.0,6.94833824219401e-08,3.1153721027485296e-13,0.0,2.036043814457126e-72,1.3289418192617076e-17,1.4024220341774296e-23,1.4022470210455128e-48,9.459223877098098e-71,5.141364796082225e-136,5.895680376513519e-57,0.0,0.0,2.058435270039678e-78,0.0,2.5604856895311617e-72,1.4258728978793434e-152,0.0,6.94836939724398e-08,3.730019332099182e-10,-136.639966399664
0.0,0.0,7.341691090332866e-08,3.5916847992403913e-13,0.0,8.290119748307127e-72,1.617166323990573e-17,1.7885461128943252e-23,2.4840146904249558e-48,2.027144613648787e-70,2.130534289520337e-135,1.057276581092496e-56,0.0,0.0,4.600440262428962e-78,0.0,5.128104650441218e-72,8.309010458735835e-152,0.0,7.341727008798026e-08,4.0933870884677017e-10,-136.479964799648
0.0,0.0,7.756139000036272e-08,4.138986575068373e-13,0.0,3.354714816964854e-71,1.9667534764710258e-17,2.27953904001721e-23,4.3934459746392575e-48,4.33614301420528e-70,8.799622380038069e-135,1.8934124219919307e-56,0.0,0.0,1.026245380287256e-77,0.0,1.025494950896993e-71,4.82010969565174e-151,0.0,7.756180391868778e-08,4.491098255866195e-10,-136.31996319963199
0.0,0.0,8.192743930813384e-08,4.767572762173222e-13,0.0,1.3491850759113865e-70,2.3905161422707258e-17,2.9034837827454236e-23,7.758502730188434e-48,9.257891824592156e-70,3.6224712009232577e-134,3.3861310280465573e-56,0.0,0.0,2.2850340340309033e-77,0.0,2.0476338206235025e-71,2.7835797176443784e-150,0.0,8.192791608931525e-08,4.926293768862346e-10,-136.159961599616
0.0,0.0,8.652617371636116e-08,5.489188605441528e-13,0.0,5.3927286605740934e-70,2.903888597785117e-17,3.695874813112231e-23,1.3679557233825194e-47,1.9729234942165e-69,1.4863163181802265e-133,6.047337742052943e-56,0.0,0.0,5.078363331282156e-77,0.0,4.082377695482079e-71,1.6002562416470423e-149,0.0,8.652672266426063e-08,5.402391643583271e-10,-135.9999599996
0.0,0.0,9.136922437841636e-08,6.317227066230183e-13,0.0,2.1422331131687732e-69,3.5254514549336147e-17,4.701544786928105e-23,2.4081728780527464e-47,4.1966043420086017e-69,6.078311443797888e-133,1.0785160625638531e-55,0.0,0.0,1.1265345191956642e-76,0.0,8.126736744012324e-71,9.158292736441707e-149,0.0,9.136985613637756e-08,5.923110461853079e-10,-135.839958399584
0.0,0.0,9.646876045778431e-08,7.26695268962833e-13,0.0,8.457577884527584e-69,4.277559339434763e-17,5.977084288377823e-23,4.2327710430650703e-47,8.909953656040151e-69,2.477536437924876e-132,1.9208388828498873e-55,0.0,0.0,2.4943355528431433e-76,0.0,1.6153302316977438e-70,5.2176943855565146e-148,0.0,9.646948719582893e-08,6.492494758065092e-10,-135.679956799568
0.0,0.0,1.0183751167532272e-07,8.355754840490374e-13,0.0,3.318534998986623e-68,5.1870909573967793e-17,7.593878783469321e-23,7.428196618050505e-47,1.888176129763377e-68,1.006520328473193e-131,3.416309330930572e-55,0.0,0.0,5.512579787973735e-76,0.0,3.205889665275284e-70,2.95925151897524e-147,0.0,1.0183834730267775e-07,7.11494245519188e-10,-135.519955199552
0.0,0.0,1.0748879168109704e-07,9.60343401474703e-13,0.0,1.2941002391210382e-67,6.286344841566135e-17,9.641917655928148e-23,1.3015579233769342e-46,3.993918508156464e-68,4.0755896378920117e-131,6.067717653446448e-55,0.0,0.0,1.2160306971331711e-75,0.0,6.352986645756483e-70,1.6707991503041818e-146,0.0,1.0748975208736206e-07,7.795234506932665e-10,-135.359953599536
0.0,0.0,1.134365222750474e-07,1.103252538043452e-12,0.0,5.015457461485876e-67,7.614108387627885e-17,1.2234568402889864e-22,2.2770108843088108e-46,8.432289995521004e-68,1.6448403327198409e-130,1.0762061467748088e-54,0.0,0.0,2.677465148823041e-75,0.0,1.257040974053289e-69,9.390868026471352e-146,0.0,1.1343762560372665e-07,8.538566914316682e-10,-135.19995199951998
0.0,0.0,1.1969525850111046e-07,1.2668664202308637e-12,0.0,1.9318540104829103e-66,9.216932888890381e-17,1.5514556528847126e-22,3.977298710354524e-46,1.7769757743498587e-67,6.616410505234068e-130,1.9061957657806998e-54,0.0,0.0,5.884272182696169e-75,0.0,2.483493606346744e-69,5.254438991289775e-145,0.0,1.1969652545970017e-07,9.350585297143513e-10,-135.039950399504
0.0,0.0,1.2628021463990179e-07,1.45409983604735e-12,0.0,7.395357533029408e-66,1.1150653290859565e-16,1.9661450596521717e-22,6.936378904307453e-46,3.7377230481505277e-67,2.6526902244412003e-129,3.3716420431471194e-54,0.0,0.0,1.2907772974639653e-74,0.0,4.899127917442644e-69,2.9267531568269434e-144,0.0,1.2628166885124456e-07,1.023742221352085e-09,-134.879948799488
0.0,0.0,1.3320729112542576e-07,1.6682653793259384e-12,0.0,2.8136182027225774e-65,1.348219847495176e-16,2.490102498772527e-22,1.2078107888174084e-45,7.847338172800337e-67,1.060024809628954e-128,5.95548792906596e-54,0.0,0.0,2.8261780678893276e-74,0.0,9.649762678865802e-69,1.6228745963836076e-143,0.0,1.3320895952562732e-07,1.1205737434474033e-09,-134.719947199472
0.0,0.0,1.4049310241170728e-07,1.9131259384450797e-12,0.0,1.0638790911293479e-64,1.6291746229184823e-16,3.1516963541840238e-22,2.0998414153316884e-45,1.6444749289743368e-66,4.22192896092851e-128,1.0504978420822407e-53,0.0,0.0,6.1764277236284634e-74,0.0,1.897826938280601e-68,8.958245369471553e-143,0.0,1.4049501570056352e-07,1.2262761395230907e-09,-134.559945599456
0.0,0.0,1.481550058156488e-07,2.192953858233467e-12,0.0,3.997978929207188e-64,1.9675286890553893e-16,3.9865479494414037e-22,3.644983662691182e-45,3.43970963964363e-66,1.6759891841791496e-127,1.8504395764444206e-53,0.0,0.0,1.347301657217612e-73,0.0,3.726822438717674e-68,4.922662602794694e-142,0.0,1.481571989662603e-07,1.3416342060362783e-09,-134.39994399943998
0.0,0.0,1.5621113136274447e-07,2.512597589106209e-12,0.0,1.493172032527823e-63,2.3747671202616687e-16,5.039356610336522e-22,6.317222472572608e-45,7.18134760237491e-66,6.6312728895004894e-127,3.255041874976028e-53,0.0,0.0,2.933472104310425e-73,0.0,7.307400610146527e-68,2.6928757297407406e-141,0.0,1.562136441978108e-07,1.4674995456546525e-09,-134.239942399424
0.0,0.0,1.6468041266272787e-07,2.877556732257256e-12,0.0,5.542431210079877e-63,2.864623151842539e-16,6.366176425950115e-22,1.0931462108625757e-44,1.4965104441480808e-65,2.6150981145621955e-126,5.717947709911083e-53,0.0,0.0,6.375125222716644e-73,0.0,1.4306363424323093e-67,1.4664649213647816e-140,0.0,1.6468329050592308e-07,1.6047960144380284e-09,-134.079940799408
0.0,0.0,1.7358261884251486e-07,3.294066494957329e-12,0.0,2.044616658776708e-62,3.4535081437813497e-16,8.037254589081661e-22,1.8886515194506566e-44,3.1127424904466536e-65,1.027884869833471e-125,1.0030572164731907e-52,0.0,0.0,1.3828819729968163e-72,0.0,2.7966473729472508e-67,7.949982463108637e-140,0.0,1.7358591325436143e-07,1.7545255919467453e-09,-133.919939199392
0.0,0.0,1.8293838756419313e-07,3.769192686771554e-12,0.0,7.496259237256171e-62,4.1610217700374506e-16,1.0140567449100581e-21,3.2579686995979976e-44,6.462436286298899e-65,4.0268583946528537e-125,1.7571674995183743e-52,0.0,0.0,2.994133422611793e-72,0.0,5.458688190422041e-67,4.290419792465415e-139,0.0,1.829421571729831e-07,1.9177747052977464e-09,-133.759937599376
0.0,0.0,1.9276925915613336e-07,4.310938516996544e-12,0.0,2.731482470603757e-61,5.010557012777918e-16,1.2786222816973476e-21,5.611299884699359e-44,1.3391801183670459e-64,1.5723659872727808e-124,3.0739906700534407e-52,0.0,0.0,6.470633792611351e-72,0.0,1.0638514391389121e-66,2.3050084894496216e-138,0.0,1.9277357059570732e-07,2.0957210403146694e-09,-133.59993599935999
0.0,0.0,2.0309771188555568e-07,4.9283645971182744e-12,0.0,9.891755137303344e-61,6.030017116360996e-16,1.611193703809073e-21,9.649427503921155e-44,2.7699463039167613e-64,6.119364494302833e-124,5.370241989110696e-52,0.0,0.0,1.39576444846927e-71,0.0,2.0702166832045365e-66,1.2327766394253548e-137,0.0,2.0310264085315613e-07,2.2896408751764598e-09,-133.439934399344
0.0,0.0,2.1394719840127096e-07,5.6317237110388746e-12,0.0,3.560159171608227e-60,7.252664672566364e-16,2.028984462652727e-21,1.6567657674247111e-43,5.718647743800177e-64,2.3736921984987358e-123,9.368867451588669e-52,0.0,0.0,3.0051564140743978e-71,0.0,4.022469348544019e-66,6.563498464384046e-137,0.0,2.1395283085025048e-07,2.5009169743706102e-09,-133.27993279932798
0.0,2.5e-323,2.2534218337547132e-07,6.432612091748357e-12,0.0,1.273463765148333e-59,8.718126539537825e-16,2.5534958955845404e-21,2.8401558616628378e-43,1.1784332280457159e-63,9.177151073644349e-123,1.6322334032117323e-51,0.0,0.0,6.4582026554009594e-71,0.0,7.803901936141479e-66,3.4787683073815265e-136,0.0,2.2534861685937827e-07,2.731047083304767e-09,-133.119931199312
0.0,8.84e-322,2.3730818237380376e-07,7.344139137741525e-12,0.0,4.527150034122803e-59,1.0473582426972267e-15,3.2115677221661108e-21,4.861213908399804e-43,2.42385285788923e-63,3.536362351109915e-122,2.8397450802253986e-51,0.0,0.0,1.3853065727324654e-70,0.0,1.511725657178022e-65,1.835501512850336e-135,0.0,2.3731552756030296e-07,2.981653066638831e-09,-132.959929599296
0.0,3.27e-320,2.4987180198310786e-07,8.381117717626429e-12,0.0,1.5995002116127843e-58,1.2575169807438845e-15,4.0366814801896635e-21,8.307470089037514e-43,4.976192390886045e-63,1.358222855029337e-121,4.933764072752333e-51,0.0,0.0,2.965990523582817e-70,0.0,2.923992708526087e-65,9.641022884830484e-135,0.0,2.498801843583465e-07,3.254490736270138e-09,-132.79992799928
0.0,1.198193e-318,2.630607812264282e-07,9.560277449080307e-12,0.0,5.616487992891179e-58,1.5089643452119918e-15,5.0705767116586676e-21,1.4174715055113944e-42,1.019712426974513e-62,5.199369814518746e-121,8.560109661660325e-51,0.0,0.0,6.33845281741804e-70,0.0,5.647050963980764e-65,5.041161440648328e-134,0.0,2.6307034301284675e-07,3.551460417952739e-09,-132.639926399264
0.0,4.3513463e-317,2.769040342951281e-07,1.0900503600763908e-11,0.0,1.960047004160376e-57,1.809633447029897e-15,6.36525358593671e-21,2.414801210613205e-42,2.0856810704870594e-62,1.983790387051403e-120,1.4831401998750028e-50,0.0,0.0,1.352030232788312e-69,0.0,1.0889532860278386e-64,2.6240809156299728e-133,0.0,2.769149366083687e-07,3.87461830876321e-09,-132.47992479924798
0.0,1.56624343e-315,2.9143169462798294e-07,1.2423104555397699e-11,0.0,6.79812673371019e-57,2.1689461407699754e-15,7.985452680496251e-21,4.107427713541964e-42,4.258020279358486e-62,7.544079440621678e-120,2.5661793881305533e-50,0.0,0.0,2.87858582539762e-69,0.0,2.0967126382244267e-64,1.3597622021780775e-132,0.0,2.9144411990149243e-07,4.226188681049315e-09,-132.319923199232
0.0,5.587717117e-314,3.066751603673712e-07,1.4152111091560682e-11,0.0,2.343328343913604e-56,2.598085490509791e-15,1.0011723532074969e-20,6.975574312621548e-42,8.67675210557075e-62,2.859447472408272e-119,4.433980166246281e-50,0.0,0.0,6.11732565153846e-69,0.0,4.0309804960462415e-64,7.014356451263747e-132,0.0,3.066893150765583e-07,4.608576992129652e-09,-132.159921599216
0.0,1.97582778546e-312,3.226671412226636e-07,1.611461109368363e-11,0.0,8.027829743230346e-56,3.110316783826043e-15,1.2544219178588857e-20,1.1828005204843492e-41,1.7648032408378373e-61,1.0802478029055413e-118,7.650721757486106e-50,0.0,0.0,1.2975785474024466e-68,0.0,7.737926520048691e-64,3.6020673091915316e-131,0.0,3.226832589440866e-07,5.0243839628543354e-09,-131.9999199992
0.0,6.9247371476535e-311,3.394417067710175e-07,1.8341123687294642e-11,0.0,2.7332809821943143e-55,3.721365498727711e-15,1.5707385276638767e-20,2.0024631866539855e-41,3.582820362419304e-61,4.067523389056062e-118,1.318296191033259e-49,0.0,0.0,2.7472320950965313e-68,0.0,1.483134804171518e-63,1.8414288414116014e-130,0.0,3.39460051616086e-07,5.4764206922084035e-09,-131.839918399184
0.0,2.40545382550142e-309,3.570343362258489e-07,2.08660172231423e-11,0.0,9.248930683982677e-55,4.449862038734602e-15,1.9655750767607946e-20,3.384847220997874e-41,7.260113552431982e-61,1.5265186854457198e-117,2.2684306917046437e-49,0.0,0.0,5.80559431416734e-68,0.0,2.8384338162069906e-63,9.371242648302117e-130,0.0,3.570552066929537e-07,5.967724879448069e-09,-131.67991679916798
0.0,8.281905751717463e-308,3.7548196970309756e-07,2.37279760029814e-11,0.0,3.1104261063504094e-54,5.317864690455832e-15,2.458107401641224e-20,5.71261686864936e-41,1.468423855732491e-60,5.710045764626773e-117,3.897983171582789e-49,0.0,0.0,1.2245813932046266e-67,0.0,5.423991979409134e-63,4.747648418601964e-129,0.0,3.755057029969898e-07,6.5015782298139844e-09,-131.519915199152
0.0,2.826201161317217e-306,3.94823061015536e-07,2.697052115552837e-11,0.0,1.0396074206119824e-53,6.351474161665291e-15,3.072115572987573e-20,9.626149924186047e-41,2.9644838432646e-60,2.1288372065057517e-116,6.688925100052937e-49,0.0,0.0,2.5782098677020895e-67,0.0,1.0349072412806442e-62,2.394412893886763e-128,0.0,3.948500378881964e-07,7.081525124689337e-09,-131.35991359913598
0.0,9.559064334511214e-305,4.150976320250939e-07,3.064259163753853e-11,0.0,3.4533450318133817e-53,7.581555267069888e-15,3.837070004387418e-20,1.6195398602519061e-40,5.973603359000448e-60,7.910623469588905e-116,1.1462375560612403e-48,0.0,0.0,5.417993936192233e-67,0.0,1.971632341474042e-62,1.202149997120879e-127,0.0,4.151282821983251e-07,7.711392642159182e-09,-131.19991199912
0.0,3.2045512817835524e-303,4.363473285832016e-07,3.479919195681319e-11,0.0,1.1400704567054877e-52,9.044583890950614e-15,4.789469069896547e-20,2.7205214715532313e-40,1.2014710637763047e-59,2.9298431674221394e-115,1.961529584277301e-48,0.0,0.0,1.1364449455400123e-66,0.0,3.7505292929974232e-62,6.0083801404733514e-127,0.0,4.363821368197902e-07,8.3953120193154e-09,-131.039910399104
0.0,1.0647768362647866e-301,4.5861547808883234e-07,3.950211389606973e-11,0.0,3.740628084374636e-52,1.0783640324773863e-14,5.974485353334708e-20,4.562828767224101e-40,2.4120143503069342e-59,1.081542106701295e-114,3.3521004111054055e-48,0.0,0.0,2.3792929983798137e-66,0.0,7.12362928834459e-62,2.98947736336573e-126,0.0,4.586549909864285e-07,9.137741653330936e-09,-130.87990879908799
0.0,3.506626341552028e-300,4.819471486937728e-07,4.482074026443812e-11,0.0,1.2197715155414859e-51,1.2849573515902662e-14,7.447990364122133e-20,7.640779741811966e-40,4.833214806999081e-59,3.979311062874167e-114,5.720593704376453e-48,0.0,0.0,4.972068350013025e-66,0.0,1.350990143326905e-61,1.4807176785802836e-125,0.0,4.819919822836852e-07,9.943491744331358e-09,-130.719907199072
0.0,1.1446162689895637e-298,5.06389210184429e-07,5.0832939522625943e-11,0.0,3.953061429743299e-51,1.530236474189646e-14,9.279043035053031e-20,1.2775052300072876e-39,9.666782467186339e-59,1.4592770253157718e-113,9.749158164759884e-48,0.0,0.0,1.03708867585556e-65,0.0,2.5582628884514066e-61,7.301101379297421e-125,0.0,5.064400584264092e-07,1.081775068942585e-08,-130.55990559905598
0.0,3.703137733935593e-297,5.319903965689578e-07,5.7626061024693396e-11,0.0,1.273238486868792e-50,1.821272382512946e-14,1.1552946156067557e-19,2.1325989424353847e-39,1.92982279748737e-58,5.333754218665579e-113,1.6591859307938312e-47,0.0,0.0,2.159157546688479e-65,0.0,4.83704671491456e-61,3.5837988124671076e-124,0.0,5.320480408428219e-07,1.1766113343934405e-08,-130.39990399904
0.0,1.1874609696141122e-295,5.588013703984053e-07,6.529804160074284e-11,0.0,4.075745625132333e-50,2.166395631796852e-14,1.4374997806769515e-19,3.554489116316005e-39,3.8454091711070656e-58,1.9430932909544535e-112,2.8198429719171515e-47,0.0,0.0,4.486858889836061e-65,0.0,9.13182359350957e-61,1.7512090325130127e-123,0.0,5.588666901041061e-07,1.2794611272900246e-08,-130.239902399024
0.0,3.7740560831706324e-294,5.868747888498556e-07,7.39586352776549e-11,0.0,1.296658176569383e-49,2.5754146226169077e-14,1.787509268829722e-19,5.915162563085381e-39,7.648166278572116e-58,7.055368531714608e-112,4.785823969070639e-47,0.0,0.0,9.30658029165562e-65,0.0,1.721380446931684e-60,8.518663847344373e-123,0.0,5.869487732394583e-07,1.390974512339038e-08,-130.079900799008
0.0,1.188876883542219e-292,6.162653715992348e-07,8.373077910723989e-11,0.0,4.099822491401935e-49,3.059870591946018e-14,2.2213362058365785e-19,9.828283536608286e-39,1.5183144433162557e-57,2.553354727098687e-111,8.111299626523141e-47,0.0,0.0,1.9267593897810076e-64,0.0,3.239950226254541e-60,4.1251913502002495e-122,0.0,6.163491329772702e-07,1.511851925591332e-08,-129.919899198992
0.0,3.711974151245364e-291,6.470299705109134e-07,9.475210935104032e-11,0.0,1.2883258560534556e-48,3.63333530426105e-14,2.758708199048057e-19,1.6304600643665443e-38,3.008539818334374e-57,9.210177548196802e-111,1.3728595082868108e-46,0.0,0.0,3.981571124683728e-64,0.0,6.088943327900122e-60,1.98863848995653e-121,0.0,6.471247589538934e-07,1.6428478781518082e-08,-129.75989759897598
0.0,1.1487156324309053e-289,6.792276411704262e-07,1.0717664366733912e-10,0.0,4.0235324748350235e-48,4.311758364627537e-14,3.423912941291042e-19,2.7006241773362073e-38,5.950307950022723e-57,3.311236872276534e-110,2.320404374111265e-46,0.0,0.0,8.212419216576359e-64,0.0,1.1425827053549611e-59,9.543478696500282e-121,0.0,6.793348609320196e-07,1.784774915979803e-08,-129.59989599896
