0-Clatot 2012,1-Cordeiro 2006,2-Hu 2007,3-Keller 2005,4-Pfahnl 2007,5-Ye 2003,sum,gauss,x
5.726103699874511e-178,0.0,0.0,5.297666642437423e-61,6.219866811408455e-07,1.5062642454789318e-05,1.5684629135930165e-05,3.432110444808597e-07,-135.679956799568
6.284132337626965e-177,0.0,0.0,1.1006909698874213e-60,6.757238083406786e-07,1.557892986799133e-05,1.625465367633201e-05,3.727284640084673e-07,-135.519955199552
6.847673702067479e-176,0.0,0.0,2.2823254550324542e-60,7.338447884239433e-07,1.6111161917211808e-05,1.684500670563575e-05,4.0466662165378784e-07,-135.359953599536
7.40887751332636e-175,0.0,0.0,4.7230347200778527e-60,7.96683944386108e-07,1.6659765633359068e-05,1.7456449577745176e-05,4.3921354729428606e-07,-135.19995199951998
7.959272871714366e-174,0.0,0.0,9.754299720010804e-60,8.645990872990855e-07,1.7225177182034187e-05,1.808977626933327e-05,4.765709766662367e-07,-135.039950399504
8.489966863666162e-173,0.0,0.0,2.0104924544743008e-59,9.379730014878171e-07,1.780784198169868e-05,1.8745814983186498e-05,5.169552764858861e-07,-134.879948799488
8.991874115289602e-172,0.0,0.0,4.1356158646780555e-59,1.0172150107077513e-06,1.8408214820743534e-05,1.9425429831451286e-05,5.605984261988283e-07,-134.719947199472
9.455969509243185e-171,0.0,0.0,8.490032084475354e-59,1.1027626287755984e-06,1.9026759973346126e-05,2.0129522602121723e-05,6.077490593864974e-07,-134.559945599456
9.873554551948032e-170,0.0,0.0,1.739441646598855e-58,1.1950832981822054e-06,1.9663951313998437e-05,2.0859034612180643e-05,6.586735679892866e-07,-134.39994399943998
1.0236526587882492e-168,0.0,0.0,3.556655409413574e-58,1.294676220288515e-06,2.0320272430582374e-05,2.161494865087089e-05,7.136572726391775e-07,-134.239942399424
1.053763931810292e-167,0.0,0.0,7.257801897719226e-58,1.4020742807744528e-06,2.0996216735872776e-05,2.2398291016647227e-05,7.730056625325122e-07,-134.079940799408
1.0770742968815552e-166,0.0,0.0,1.478086408060741e-57,1.517846074072894e-06,2.1692287577337643e-05,2.3210133651410536e-05,8.370457084132423e-07,-133.919939199392
1.0930993010560297e-165,0.0,0.0,3.0041798617712084e-57,1.6425980305787878e-06,2.2408998345107745e-05,2.4051596375686533e-05,9.061272523808857e-07,-133.759937599376
1.1015017540100708e-164,0.0,0.0,6.093733138568035e-57,1.77697665047465e-06,2.3146872577984282e-05,2.4923849228458932e-05,9.806244783837399e-07,-133.59993599935999
1.1021035248850783e-163,0.0,0.0,1.2335942199673454e-56,1.9216708480569955e-06,2.390644406734589e-05,2.5828114915402888e-05,1.0609374674067682e-06,-133.439934399344
1.0948918213642948e-162,0.0,0.0,2.492255791868793e-56,2.077414410485585e-06,2.4688256958820942e-05,2.676567136930653e-05,1.1474938415161076e-06,-133.27993279932798
1.080019641825047e-161,0.0,0.0,5.025095222026847e-56,2.244988574903909e-06,2.5492865851579897e-05,2.7737854426483805e-05,1.2407505010755856e-06,-133.119931199312
1.0578003782617533e-160,0.0,0.0,1.0111774389341966e-55,2.425224727899052e-06,2.632083589510793e-05,2.8746060623006983e-05,1.3411954596081158e-06,-132.959929599296
1.0286968358773431e-159,0.0,0.0,2.0306816310456865e-55,2.619007231276169e-06,2.7172742883307614e-05,2.9791750114583783e-05,1.449349780932398e-06,-132.79992799928
9.933052066845483e-159,0.0,0.0,4.0699371541071556e-55,2.8272763781207624e-06,2.804917334578442e-05,3.0876449723905184e-05,1.5657696233662445e-06,-132.639926399264
9.523347721580966e-158,0.0,0.0,8.14076015373975e-55,3.05103148310771e-06,2.895072463616354e-05,3.200175611927125e-05,1.6910483959493883e-06,-132.47992479924798
9.065842995928761e-157,0.0,0.0,1.6250757501799015e-54,3.291334110987403e-06,2.9878005017280344e-05,3.3169339128267745e-05,1.8258190318007206e-06,-132.319923199232
8.569162276993335e-156,0.0,0.0,3.2375288971288483e-54,3.549311447140034e-06,3.083163374309158e-05,3.438094519023161e-05,1.97075638388951e-06,-132.159921599216
