1-Feng 1996,4-Sakakibara 1992,5-Sakakibara 1993,6-Schneider 1994,sum,gauss,x
1.2869082022654847e-05,9.729203090367182e-12,8.017863712513258e-07,9.77457433805057e-42,1.3670878123109262e-05,3.7164798440014155e-06,-135.9999599996
1.335856434991912e-05,1.155842727273684e-11,8.72960051601236e-07,1.538436135684866e-41,1.4231535959947628e-05,3.999920762222716e-06,-135.839958399584
1.3864635545047121e-05,1.3722139380985384e-11,9.501166468985917e-07,2.418565083837298e-41,1.4814765914085094e-05,4.303729440566967e-06,-135.679956799568
1.4387773161919881e-05,1.6279704362637032e-11,1.033728147971842e-06,3.797805974046632e-41,1.5421517589596085e-05,4.629269883125653e-06,-135.519955199552
1.4928465177298826e-05,1.9300688761825625e-11,1.1243010443336143e-06,5.956682550832098e-41,1.6052785522321202e-05,4.977989849621237e-06,-135.359953599536
1.5487210093151127e-05,2.2866553254766173e-11,1.2223786145446914e-06,9.331959095485698e-41,1.6709611574249073e-05,5.351425447194444e-06,-135.19995199951998
1.606451703498313e-05,2.7072615332939428e-11,1.3285433500134771e-06,1.4602858775212033e-40,1.739308745761194e-05,5.751205935823121e-06,-135.039950399504
1.6660905845946623e-05,3.203032343222602e-11,1.4434195185731058e-06,2.282441377370228e-40,1.810435739484316e-05,6.179058754789073e-06,-134.879948799488
1.7276907176473622e-05,3.78698898184531e-11,1.5676758743719745e-06,3.563346593339269e-40,1.8844620920735416e-05,6.636814777697518e-06,-134.719947199472
1.7913062569193407e-05,4.474333637920833e-11,1.7020285208062683e-06,5.556651879600922e-40,1.9615135833336056e-05,7.126413803636677e-06,-134.559945599456
1.8569924538882065e-05,5.282801524465836e-11,1.8472439334125814e-06,8.654958707702657e-40,2.041722130030989e-05,7.64991029213339e-06,-134.39994399943998
1.9248056647186852e-05,6.233067498535871e-11,2.0041421498229348e-06,1.3465221414570384e-39,2.1252261127684772e-05,8.209479349613006e-06,-134.239942399424
1.9948033571869032e-05,7.349215314566807e-11,2.1736001340663706e-06,2.0924673300501905e-39,2.212170719808855e-05,8.807422975116446e-06,-134.079940799408
2.0670441170300074e-05,8.659278721532306e-11,2.356555322674027e-06,3.247884383033905e-39,2.3027083085761315e-05,9.446176573048094e-06,-133.919939199392
2.14158765369454e-05,1.0195864898435439e-10,2.554009360213056e-06,5.0354596936327355e-39,2.3969987855807443e-05,1.0128315740738402e-05,-133.759937599376
2.2184948054566865e-05,1.1996872175142302e-10,2.7670320320338166e-06,7.797840990954238e-39,2.4952100055322433e-05,1.0856563338595914e-05,-133.59993599935999
2.2978275438868056e-05,1.4106315626696943e-10,2.9967654021634993e-06,1.206163866927504e-38,2.5975181904187823e-05,1.1633796850589326e-05,-133.439934399344
2.3796489776309475e-05,1.657527598173278e-10,3.244428164420021e-06,1.8635237896546833e-38,2.7041083693489314e-05,1.2463056042757275e-05,-133.27993279932798
2.4640233554810787e-05,1.946298937449066e-10,3.511320214945006e-06,2.8758104433642506e-38,2.8151748399649536e-05,1.3347550927361323e-05,-133.119931199312
2.551016068706234e-05,2.2838097823166498e-10,3.7988274544704216e-06,4.4328420789548463e-38,2.9309216522510994e-05,1.4290670040212786e-05,-132.959929599296
2.640693652615863e-05,2.678008296552677e-10,4.108426828729714e-06,6.824973210405818e-38,3.0515631155718e-05,1.5295989038572864e-05,-132.79992799928
2.7331237873268835e-05,3.138090856000717e-10,4.441691615507663e-06,1.049581894269387e-37,3.17732432978621e-05,1.6367279626883715e-05,-132.639926399264
2.828375297705794e-05,3.674690060426335e-10,4.800296966887217e-06,1.612235195583287e-37,3.30844174129512e-05,1.7508518817414868e-05,-132.47992479924798
2.926518152456526e-05,4.300089767464084e-10,5.186025715293342e-06,2.473643748145746e-37,3.445163724883535e-05,1.8723898532695575e-05,-132.319923199232
3.0276234623254523e-05,5.028470829471975e-10,5.6007744519596015e-06,3.790902341327244e-37,3.587751192229707e-05,2.001783555638127e-05,-132.159921599216
