0-Albert 2008,2-Bezzina 2003,3-Bezzina 2003,4-Ellinor 2008,5-Gosselin-Badaroudine 2012,6-Groenewegen 2003a,7-Groenewegen 2003a,8-Groenewegen 2003b,9-Guetter 2013,10-Gui 2010a,13-Rook 1999,14-Surber 2008,15-Vatta 2002b,18-Zhang 2008,sum,gauss,x
0.0,8.09350408584e-14,1.4316973157e-30,0.0,1.24407251277e-271,7.91339566916e-56,5.95996359062e-30,2.66431243266e-57,7.50296194169e-174,3.65352046648e-283,0.0,3.55271341489e-47,0.0,0.0,8.09350408584e-14,5.60211323968e-38,-135.3599536
0.0,8.71535270511e-14,1.75980181423e-30,0.0,1.47205899079e-270,1.1920759145e-55,7.28786711458e-30,3.99413051469e-57,2.59592815712e-173,2.81551667985e-282,0.0,4.86217748476e-47,0.0,0.0,8.71535270511e-14,7.2692201927e-38,-135.199952
0.0,9.38386924661e-14,2.16234997106e-30,0.0,1.73323403926e-269,1.79450320946e-55,8.90866579135e-30,5.98373304803e-57,8.9640686501e-173,2.16272278823e-281,0.0,6.65106735917e-47,0.0,0.0,9.38386924661e-14,9.42856259213e-38,-135.0399504
0.0,1.01024691114e-13,2.65606000237e-30,0.0,2.03068088678e-268,2.69950327886e-55,1.0886299319e-29,8.95849438109e-57,3.089372368e-172,1.65592170969e-280,0.0,9.09372445613e-47,0.0,0.0,1.01024691114e-13,1.22243246675e-37,-134.879948799
0.0,1.08748110024e-13,3.26136534568e-30,0.0,2.36743807897e-267,4.05810026404e-55,1.32985183962e-29,1.34032679102e-56,1.06264430959e-171,1.2637900602e-279,0.0,1.24274533497e-46,0.0,0.0,1.08748110024e-13,1.58425828289e-37,-134.719947199
0.0,1.17048137575e-13,4.00323141287e-30,0.0,2.74642695164e-266,6.09622490006e-55,1.62398356068e-29,2.00400697539e-56,3.64802800173e-171,9.61404747587e-279,0.0,1.69751022368e-46,0.0,0.0,1.17048137575e-13,2.05233768679e-37,-134.559945599
0.0,1.25966743119e-13,4.91214991749e-30,0.0,3.17037001579e-265,9.15163059973e-55,1.98250997794e-29,2.99433658502e-56,1.24991645275e-170,7.29010496299e-278,0.0,2.31756840681e-46,0.0,0.0,1.25966743119e-13,2.65762302031e-37,-134.399943999
0.0,1.35548868604e-13,6.0253489452e-30,0.0,3.64170135389e-264,1.3728885305e-54,2.41938240478e-29,4.47110492489e-56,4.27421520996e-170,5.51007476877e-277,0.0,3.16258809279e-46,0.0,0.0,1.35548868604e-13,3.44000961954e-37,-134.239942399
0.0,1.45842633001e-13,7.38826504544e-30,0.0,4.16247060219e-263,2.05812318786e-54,2.95154247113e-29,6.67178379656e-56,1.45876174358e-169,4.15123571858e-276,0.0,4.31362718284e-46,0.0,0.0,1.45842633001e-13,4.45089818904e-37,-134.079940799
0.0,1.56899550322e-13,9.05633343265e-30,0.0,4.73424257806e-262,3.08323585888e-54,3.59955603572e-29,9.94905711902e-56,4.96895340577e-169,3.11740687447e-275,0.0,5.88074691408e-46,0.0,0.0,1.56899550322e-13,5.75648512308e-37,-133.919939199
0.0,1.68774762146e-13,1.10971642503e-29,0.0,5.35799508321e-261,4.61574092749e-54,4.38837996492e-29,1.48263668461e-55,1.68926608372e-168,2.33348909047e-274,0.0,8.0133161562e-46,0.0,0.0,1.68774762146e-13,7.44198578564e-37,-133.759937599
0.0,1.81527285543e-13,1.35931871956e-29,0.0,6.03401784903e-260,6.90518621622e-54,5.34828930339e-29,2.20800684986e-55,5.73170434047e-168,1.74106206341e-273,0.0,1.09139503121e-45,0.0,0.0,1.81527285543e-13,9.61705298737e-37,-133.599935999
0.0,1.95220277411e-13,1.66448641398e-29,0.0,6.76181596238e-259,1.03230649295e-53,6.51599799592e-29,3.28608617706e-55,1.94098454172e-167,1.29484839329e-272,0.0,1.48573574837e-45,0.0,0.0,1.95220277411e-13,1.24227259547e-36,-133.439934399
0.0,2.09921316252e-13,2.03745903181e-29,0.0,7.54002139422e-258,1.54220183929e-53,7.93601309315e-29,4.88731507673e-55,6.56013765345e-167,9.59886278717e-272,0.0,2.02158068795e-45,0.0,0.0,2.09921316252e-13,1.60403383108e-36,-133.279932799
0.0,2.25702702509e-13,2.4931429961e-29,0.0,8.36631642252e-257,2.30235913521e-53,9.66227051278e-29,7.26397908644e-55,2.21287257982e-166,7.09278567406e-271,0.0,2.74935293232e-45,0.0,0.0,2.25702702509e-13,2.07029324973e-36,-133.119931199
0.0,2.42641778648e-13,3.04968627622e-29,0.0,9.23737277357e-256,3.4348218245e-53,1.17601102064e-28,1.07892607625e-54,7.44993427885e-166,5.22408316047e-270,0.0,3.73731593889e-45,0.0,0.0,2.42641778648e-13,2.67098796702e-36,-132.959929599
0.0,2.60821270213e-13,3.72917544255e-29,0.0,1.01488101833e-254,5.12076272465e-53,1.43086603233e-28,1.60148048681e-54,2.50323172866e-165,3.83530157182e-269,0.0,5.07784031007e-45,0.0,0.0,2.60821270213e-13,3.44455973069e-36,-132.799927999
0.0,2.80329649207e-13,4.55848089716e-29,0.0,1.10951777895e-253,7.62894327667e-53,1.74037140586e-28,2.37555161275e-54,8.39464330631e-165,2.80662989579e-268,0.0,6.89585579435e-45,0.0,0.0,2.80329649207e-13,4.44035028762e-36,-132.639926399
0.0,3.01261521188e-13,5.57028140755e-29,0.0,1.20699613038e-252,1.13577789641e-52,2.11611997865e-28,3.5214388177e-54,2.80967455957e-164,2.04723155638e-267,0.0,9.36024484863e-45,0.0,0.0,3.01261521188e-13,5.72166552964e-36,-132.479924799
0.0,3.23718037585e-13,6.80430552955e-29,0.0,1.30656182771e-251,1.68974719067e-52,2.57213653709e-28,5.21661374466e-54,9.38560710426e-164,1.48848677133e-266,0.0,1.26991938872e-44,0.0,0.0,3.23718037585e-13,7.36969347574e-36,-132.319923199
0.0,3.47807334798e-13,8.30883528848e-29,0.0,1.40736429849e-250,2.51217186472e-52,3.12538218731e-28,7.722716154e-54,3.12911338359e-163,1.07874596217e-265,0.0,1.72208666885e-44,0.0,0.0,3.47807334798e-13,9.48851188865e-36,-132.159921599
0.0,3.73645001783e-13,1.01425268619e-28,0.0,1.50846615288e-249,3.73229751365e-52,3.79636210438e-28,1.14252134285e-53,1.04119676331e-162,7.79272909469e-265,0.0,2.33412312773e-44,0.0,0.0,3.73645001783e-13,1.22114858485e-35,-131.999919999
0.0,4.0135457788e-13,1.23766142935e-28,0.0,1.60885567211e-248,5.54118254347e-52,4.60985759323e-28,1.68916248661e-53,3.45777633633e-162,5.61120539574e-264,0.0,3.16214969344e-44,0.0,0.0,4.0135457788e-13,1.57094376213e-35,-131.839918399
0.0,4.31068082782e-13,1.50975758515e-28,0.0,1.7074621218e-247,8.22106255972e-52,5.59580758044e-28,2.49569432586e-53,1.14607638902e-161,4.02734602538e-263,0.0,4.28184552007e-44,0.0,0.0,4.31068082782e-13,2.02010753645e-35,-131.679916799
0.0,4.62926580632e-13,1.84103589888e-28,0.0,1.80317362474e-246,1.21885696259e-51,6.79036966877e-28,3.68488732503e-53,3.79125339561e-161,2.88122992177e-262,0.0,5.79521390492e-44,0.0,0.0,4.62926580632e-13,2.59662995474e-35,-131.519915199
0.0,4.97080780368e-13,2.24422795154e-28,0.0,1.89485721817e-245,1.80582984271e-51,8.23719688566e-28,5.4371321817e-53,1.25171264134e-160,2.05462741699e-261,0.0,7.83967127689e-44,0.0,0.0,4.97080780368e-13,3.33631739582e-35,-131.359913599
0.0,5.33691674568e-13,2.73477342228e-28,0.0,1.98138061934e-244,2.67362321073e-51,9.98897343572e-28,8.01730539689e-53,4.12457346525e-160,1.46044240185e-260,0.0,1.06002508106e-43,0.0,0.0,5.33691674568e-13,4.28495613283e-35,-131.199911999
0.0,5.72931219145e-13,3.3313894599e-28,0.0,2.06163513471e-243,3.95569568597e-51,1.2109261354e-27,1.18140776357e-52,1.35645698995e-159,1.0347417677e-259,0.0,1.43259798431e-43,0.0,0.0,5.72931219145e-13,5.50106939648e-35,-131.039910399
0.0,6.14983056429e-13,4.05675833787e-28,0.0,2.13455907782e-242,5.84850463333e-51,1.46747202228e-27,1.73973888781e-52,4.45231201121e-159,7.30761599936e-259,0.0,1.93518476637e-43,0.0,0.0,6.14983056429e-13,7.05942925335e-35,-130.879908799
0.0,6.60043284295e-13,4.93835766442e-28,0.0,2.19916101214e-241,8.64104161555e-51,1.77777743872e-27,2.56024295263e-52,1.45853795189e-158,5.14417397402e-258,0.0,2.61282572756e-43,0.0,0.0,6.60043284295e-13,9.05552804779e-35,-130.719907199
0.0,7.08321274141e-13,6.00946233579e-28,0.0,2.25454211228e-240,1.27581190074e-50,2.15298167633e-27,3.76522683201e-52,4.76872694984e-158,3.60953925673e-257,0.0,3.52604911302e-43,0.0,0.0,7.08321274141e-13,1.16112691731e-34,-130.559905599
0.0,7.6004054072e-13,7.31035332156e-28,0.0,2.29991694091e-239,1.882376511e-50,2.60650558475e-27,5.53367906494e-52,1.55610807799e-157,2.52455061836e-256,0.0,4.75615694067e-43,0.0,0.0,7.6004054072e-13,1.48822065957e-34,-130.399903999
0.0,8.15439666969e-13,8.88977544813e-28,0.0,2.33463197126e-238,2.77540032426e-50,3.15451334405e-27,8.12736282756e-52,5.06791867932e-157,1.75999967706e-255,0.0,6.41230103321e-43,0.0,0.0,8.15439666969e-13,1.90667507128e-34,-130.239902399
0.0,8.74773287194e-13,1.08066948327e-27,0.0,2.35818124503e-237,4.089253822e-50,3.81646655511e-27,1.19288392466e-51,1.6472977187e-156,1.22303049292e-254,0.0,8.64095084824e-43,0.0,0.0,8.74773287194e-13,2.44178696448e-34,-130.079900799
0.0,9.38313132125e-13,1.31324167913e-27,0.0,2.37021864158e-236,6.02090528857e-50,4.61578887197e-27,1.74968384217e-51,5.34400844354e-156,8.47145823131e-254,0.0,1.16385552652e-42,0.0,0.0,9.38313132125e-13,3.12579560755e-34,-129.919899199
0.0,1.00634913961e-12,1.59531372315e-27,0.0,2.3705663426e-235,8.85887995676e-50,5.58066295005e-27,2.56468383132e-51,1.73027348848e-155,5.84891425199e-253,0.0,1.56684673805e-42,0.0,0.0,1.00634913961e-12,3.99977079841e-34,-129.759897599
0.0,1.07919063487e-12,1.93730151347e-27,0.0,2.35921920284e-234,1.30255218488e-49,6.7449857177e-27,3.75682481489e-51,5.59132775325e-155,4.02520984995e-252,0.0,2.10835563344e-42,0.0,0.0,1.07919063487e-12,5.11600967781e-34,-129.599895999
0.0,1.15716758455e-12,2.35178712105e-27,0.0,2.33634487678e-233,1.91386253273e-49,8.1495130228e-27,5.49947093734e-51,1.80329893733e-154,2.76120080212e-251,0.0,2.83564020819e-42,0.0,0.0,1.15716758455e-12,6.54107806828e-34,-129.439894399
