0-Bebarova 2008,1-Cheng 2010,2-Cheng 2010,3-Cheng 2011,4-Ge 2008,5-Hoshi 2014,6-Hsueh 2009,7-Hu 2015,8-Juang 2014a,9-Kapplinger 2015,10-Kapplinger 2015,11-Kapplinger 2015,12-Kapplinger 2015,13-Kapplinger 2015,15-Sarhan 2009,16-Shinlapawittayatorn 2011a,17-Shinlapawittayatorn 2011b,18-Tan 2005,19-Tan 2005,20-Tan 2005,21-Tan 2005,22-Tan 2005,23-Tan 2005,24-Tan 2005,25-Tan 2005,26-Tan 2006,27-Watanabe 2011b,28-Watanabe 2011b,29-Zeng 2013,sum,gauss,x
1.485232802857038e-119,2.438054386955967e-106,2.6938983499070903e-136,9.778774473925532e-53,1.1910333187760324e-20,4.09082127699347e-119,2.405899198516278e-47,6.411517054953923e-12,9.491075151708323e-303,1.2187426293257e-310,9.123477259233593e-68,5.126104765161645e-65,5.188952803988107e-76,2.937838961354899e-156,2.6980216517582318e-56,1.1979906602510454e-26,5.514522965853879e-66,9.335820279935133e-31,3.340971125935748e-102,1.3218521848490178e-32,6.040481161164762e-14,8.634196860724182e-22,1.570892326348681e-56,1.678631792339817e-35,0.0,3.194563841754916e-36,3.163132025925524e-29,7.743634749786352e-59,1.2229302165117107e-35,6.471921879339335e-12,7.21229485858277e-12,-138.39998399984
4.9082454526359254e-119,7.467424029943375e-106,1.201695056546429e-135,1.727306371742064e-52,1.4798184558765534e-20,1.7489476741045408e-118,4.384833955502292e-47,7.133052292944752e-12,6.5770747059226855e-301,1.148574954479516e-308,2.0537403391790693e-67,1.1562137759259481e-64,1.4598837657987655e-75,2.0921351566640503e-155,1.0397541569268321e-55,1.7294218399228706e-26,1.4717853561237016e-65,1.2813018528630329e-30,1.1163764815789216e-101,1.938989366353051e-32,6.891626847430872e-14,1.09151905602941e-21,3.1486040829731726e-56,2.5167867423677146e-35,0.0,4.836419109641825e-36,4.528388606506647e-29,1.7950351543841224e-58,1.855153683981252e-35,7.201968577308781e-12,8.1902924021367e-12,-138.239982399824
1.6177070252472747e-118,2.281128056974693e-105,5.340956443307965e-135,3.0467294241555734e-52,1.8375532676041338e-20,7.447788938340678e-118,7.977315753481548e-47,7.933465714296634e-12,4.498602355154495e-299,1.0667273907208637e-306,4.612809877477283e-67,2.601824862027175e-64,4.0941812739474997e-75,1.4817529940733276e-154,3.977172737005213e-55,2.493439632946973e-26,3.91501407762681e-65,1.7571263160378954e-30,3.718423619617739e-101,2.8411571141568855e-32,7.859909676228121e-14,1.3789593494119306e-21,6.2984227564037685e-56,3.769249031358014e-35,0.0,7.313784247682179e-36,6.475999432851522e-29,4.14960577588319e-58,2.810943066378364e-35,8.01206483081343e-12,9.29757197946529e-12,-138.079980799808
5.317595868703081e-118,6.949922297211678e-105,2.365132571867044e-134,5.3663372856397074e-52,2.2804387122367644e-20,3.15909102470695e-117,1.4487328840368651e-46,8.821113819308568e-12,3.03703576660178e-297,9.763247899678148e-305,1.0337617486904523e-66,5.8412694102371484e-64,1.1445271145992014e-74,1.0437253072817717e-153,1.5099994729697638e-54,3.5904359983947794e-26,1.0379453828588983e-64,2.4077260387006084e-30,1.2345744397066653e-100,4.1585541684991565e-32,8.961050761432269e-14,1.740934257005922e-21,1.2574411772399801e-55,5.638722046841266e-35,0.0,1.1047556225583844e-35,9.251382948235476e-29,9.566355228965978e-58,4.2542023640976873e-35,8.910724351468248e-12,1.0550763806690841e-11,-137.919979199792
1.7433020602785483e-117,2.1118431607633072e-104,1.0435268627044849e-133,9.438470246434031e-52,2.8284196243483185e-20,1.3346922938433573e-116,2.6263207152568243e-46,9.805208607058797e-12,2.023716514042333e-295,8.806066315568622e-303,2.3115870006714158e-66,1.3083552249385669e-63,3.1892997145413854e-74,7.31174335381682e-153,5.690333119717494e-54,5.163520827304523e-26,2.7426348957885653e-64,3.296580712914819e-30,4.085883008131e-100,6.080184588849339e-32,1.0212825248084887e-13,2.1964637715013873e-21,2.5054495703316778e-55,8.426049058078989e-35,0.0,1.6668486046839965e-35,1.320210729345623e-28,2.19933786097736e-57,6.430995101484844e-35,9.907336890020359e-12,1.196857544322877e-11,-137.759977599776
5.699960114411224e-117,6.400218541634393e-104,4.587366816104633e-133,1.6576957483108987e-51,3.5060350082205446e-20,5.616741033620179e-116,4.7526420460627335e-46,1.0895901913583148e-11,1.330996500392166e-293,7.827378801208572e-301,5.157448625427851e-66,2.923703765775247e-63,8.8587982666704e-74,5.09424688572482e-152,2.128419065699255e-53,7.416433190807509e-26,7.222936824142954e-64,4.509962333595279e-30,1.3479221286654595e-99,8.880112232284274e-32,1.1635323031876457e-13,2.769341306424397e-21,4.982252922199187e-55,1.2577221819209794e-34,0.0,2.512071235406944e-35,1.8819869204551437e-28,5.0424683439732686e-57,9.710288915891817e-35,1.1012255181731678e-11,1.3572043148774711e-11,-137.59997599976
1.8587151902297927e-116,1.9345474008543622e-103,2.0092547114894625e-132,2.907284969221558e-51,4.3434579781073826e-20,2.3543546450149185e-115,8.585198834792998e-46,1.210437772151143e-11,8.64035567535637e-292,6.856421639368822e-299,1.148138973886859e-65,6.518239582420561e-63,2.4528134551103402e-73,3.529907807115159e-151,7.901965757644241e-53,1.0638849291456813e-25,1.895884857796895e-63,6.1650226079513565e-30,4.432552711386423e-99,1.2955298806730524e-31,1.3251241550475646e-13,3.489311071426228e-21,9.887989410094993e-55,1.8752660815464397e-34,0.0,3.781582721330732e-35,2.679949972457224e-28,1.1529227082817216e-56,1.464468598993419e-34,1.2236890183940184e-11,1.5384812612993122e-11,-137.439974399744
6.044992103929751e-116,5.831971282675678e-103,8.768356792564741e-132,5.0915492530523874e-51,5.377766848241028e-20,9.829775502473796e-115,1.5480804121318654e-45,1.3442953159455915e-11,5.536225812870001e-290,5.918688002115928e-297,2.550286019723887e-65,1.4498281553271184e-62,6.769622596104307e-73,2.4326020113620718e-150,2.911868107697119e-52,1.5242094044425437e-25,4.959780106584269e-63,8.420715406459896e-30,1.4529586154906885e-98,1.888007446074115e-31,1.5086214458938057e-13,4.393530637548546e-21,1.9585394865756447e-54,2.79292013787243e-34,0.0,5.686186746529949e-35,3.8121810346151693e-28,2.628832946149706e-56,2.2060833407877535e-34,1.3593815362216647e-11,1.7433452360541925e-11,-137.279972799728
1.960742154065395e-115,1.7534880391681653e-102,3.8125287081756864e-131,8.904137594215141e-51,6.654497778761238e-20,4.0878932873425094e-114,2.7865354893972287e-45,1.4925188970695546e-11,3.501252567654196e-288,5.035007739990569e-295,5.652208876363597e-65,3.2173032498774034e-62,1.8624071282211584e-72,1.6672590549153854e-149,1.0650421848005267e-51,2.180946585727355e-25,1.2931985515724232e-62,1.1492535754509036e-29,4.747476350443627e-98,2.748446327904805e-31,1.7169180437720915e-13,5.528386475435675e-21,3.8716740564724774e-54,4.155005254458262e-34,0.0,8.540326850281163e-35,5.416978216838683e-28,5.977664930141689e-56,3.3193855958257263e-34,1.5096880847146336e-11,1.974780348972126e-11,-137.11997119971198
6.342888717496821e-115,5.258255303165459e-102,1.6516564705658743e-130,1.554938950457209e-50,8.229540157246271e-20,1.693322719965991e-113,5.00683808601973e-45,1.656601029681315e-11,2.1855490288992416e-286,4.221060753025828e-293,1.2499205177736902e-64,7.1228979789054e-62,5.107342969253379e-72,1.1364738118247145e-148,3.8665218930204085e-51,3.116705976731294e-25,3.3606270556157176e-62,1.5672392325144208e-29,1.5462602990522658e-97,3.996668311600997e-31,1.9532796865948007e-13,6.9517460424658e-21,7.638487319696116e-54,6.1745040260464594e-34,0.0,1.2812495471179127e-34,7.689133569736617e-28,1.3555199980835992e-55,4.988700528584284e-34,1.6761338354720087e-11,2.236136979510959e-11,-136.959969599696
