0-Aiba 2014,1-Amin 2005,2-Bankston 2007a,3-Beckermann 2014,4-Chang 2004,5-Chen 2016,6-Crotti 2012a,7-Glaaser 2012,8-Hayashi 2015,9-Holst 2009,10-Hu 2010,11-Huang 2006,12-Keller 2006,13-Li 2009,14-Liu 2003a,15-Makita 2005,16-Makita 2008,17-Marangoni 2011,18-Medeiros-Domingo 2007,19-Mok 2003,20-O'Leary 2002,21-Olesen 2012,22-Otagiri 2008,23-Rivolta 2001,24-Rossenbacker 2004,25-Ruan 2007,26-Ruan 2010,27-Saber 2015,28-Shy 2014,29-Sottas 2013,31-Tan 2001,32-Tsurugi 2009,33-Vatta 2002a,34-Vatta 2002b,35-Wang 2011,36-Wang 2016,37-Wehrens 2003,38-Winkel 2012,39-Yokoi 2005,sum,gauss,x
7.88250746561e-34,9.66136344496e-23,1.03532004733e-95,2.78653024254e-321,9.86710738254e-30,4.47065408121e-37,2.94025365403e-27,5.33772791435e-14,1.32058541141e-124,4.84058855546e-33,2.94025365403e-27,1.18586281531e-10,3.09255502118e-75,6.74797110089e-19,1.15628220044e-37,6.98780198202e-43,4.31370490484e-21,6.28118249133e-12,1.06913566129e-62,0.0,0.0,3.61014252672e-31,1.71414260027e-24,1.49122047957e-125,0.0,2.2069458917e-262,2.17051332017e-117,4.55005866222e-49,9.62151035887e-20,0.0,3.7327017239e-25,4.14723642982e-83,0.0,0.0,5.94230962368e-60,2.55020007499e-27,4.98216304541e-228,7.1829483051e-15,2.22122507314e-59,1.24928025025e-10,1.1669256965e-06,-136.799968
1.16796055823e-33,1.25778801413e-22,2.53969046256e-95,2.80397075984e-319,1.89443048589e-29,6.95535086779e-37,4.38528801458e-27,5.96071156719e-14,6.38304675975e-124,7.21056359684e-33,4.38528801458e-27,1.41763604181e-10,1.54167933496e-74,9.53754917737e-19,1.75786975331e-37,1.251013309e-42,5.61723347186e-21,7.20776943661e-12,2.26912421444e-62,0.0,0.0,5.40682553702e-31,2.37756826098e-24,5.03491502942e-125,0.0,2.87834407334e-261,7.32276477661e-117,7.29078548411e-49,1.17253737427e-19,0.0,5.31656866565e-25,1.38103232581e-82,0.0,0.0,1.57255800331e-59,3.86226455562e-27,4.83461138559e-227,8.43656834034e-15,5.22541132229e-59,1.49039418379e-10,1.24206745132e-06,-136.6399664
1.72865928885e-33,1.6361884807e-22,6.2181357718e-95,2.77951105191e-317,3.62445213086e-29,1.08073392908e-36,6.53104734597e-27,6.65466722975e-14,3.07156224183e-123,1.07283811054e-32,6.53104734597e-27,1.6930356365e-10,7.62566413875e-74,1.34573047346e-18,2.66948194428e-37,2.23550605893e-42,7.30847852764e-21,8.26697357807e-12,4.80597325816e-62,0.0,0.0,8.08744461862e-31,3.29419667087e-24,1.69550310023e-124,0.0,3.73326899236e-260,2.46356271568e-116,1.16699336771e-48,1.42817170112e-19,0.0,7.56292823836e-25,4.58071348245e-82,0.0,0.0,4.14647246029e-59,5.84039776832e-27,4.66803054371e-226,9.90408698872e-15,1.2257814521e-58,1.77646989484e-10,1.32179689599e-06,-136.4799648
2.55568940347e-33,2.12674811488e-22,1.51954253393e-94,2.71547164628e-315,6.91004598691e-29,1.67714378157e-36,9.7126766083e-27,7.42747399839e-14,1.47150037893e-122,1.5943846793e-32,9.7126766083e-27,2.01994019665e-10,3.74255595693e-73,1.89555811572e-18,4.04934446935e-37,3.98733158991e-42,9.5008821944e-21,9.47716414039e-12,1.0157856065e-61,0.0,0.0,1.20817887575e-30,4.55928285515e-24,5.6945732936e-124,0.0,4.81538939604e-259,8.26471861561e-116,1.86594654801e-48,1.73861906686e-19,0.0,1.074481504e-24,1.51337531682e-81,0.0,0.0,1.08936047308e-58,8.81810929856e-27,4.48470924377e-225,1.16211362423e-14,2.86728100677e-58,2.1155708176e-10,1.40637728401e-06,-136.3199632
3.77419366472e-33,2.76220323249e-22,3.70628463787e-94,2.61459825072e-313,1.31278734646e-28,2.59940274745e-36,1.4423358954e-26,8.28786175003e-14,7.01828822941e-122,2.36671504395e-32,1.4423358954e-26,2.40758695973e-10,1.82249328936e-72,2.66547026073e-18,6.13564040761e-37,7.09874272382e-42,1.23405168222e-20,1.08591653126e-11,2.14249779924e-61,0.0,0.0,1.80261139249e-30,6.30338787402e-24,1.90756762093e-123,0.0,6.17687900578e-258,2.76482999008e-115,2.98034645996e-48,2.11543038817e-19,0.0,1.52460844353e-24,4.98017265091e-81,0.0,0.0,2.85157735087e-58,1.32935560817e-26,4.28709767786e-224,1.36291342241e-14,6.6879361622e-58,2.51714371927e-10,1.49608589046e-06,-136.1599616
5.56746802203e-33,3.5846936678e-22,9.02272926104e-94,2.48111859324e-311,2.48532221316e-28,4.02372802799e-36,2.13877589913e-26,9.24550029516e-14,3.33251248715e-121,3.50907595852e-32,2.13877589913e-26,2.86679416377e-10,8.80583573464e-72,3.74169427252e-18,9.28650968295e-37,1.2614588864e-41,1.60153052662e-20,1.24365716391e-11,4.50958253057e-61,0.0,0.0,2.68611090424e-30,8.70526528719e-24,6.37316046579e-123,0.0,7.87956658914e-257,9.22326531456e-115,4.7552247751e-48,2.57254704302e-19,0.0,2.16056884561e-24,1.63239924804e-80,0.0,0.0,7.43737048384e-58,2.00096508204e-26,4.07775331729e-223,1.59761994537e-14,1.55553085088e-57,2.99224423234e-10,1.59121469204e-06,-135.99996
8.20368019967e-33,4.64841950767e-22,2.19235222967e-93,2.32045389221e-309,4.68862928573e-28,6.22064517521e-36,3.16690866099e-26,1.03110975729e-13,1.57536841722e-120,5.19677011767e-32,3.16690866099e-26,3.41021766356e-10,4.22165003292e-71,5.24349040116e-18,1.40398534247e-36,2.23747064075e-41,2.07667986141e-20,1.42361021773e-11,9.47217950055e-61,0.0,0.0,3.99757594636e-30,1.20093768246e-23,2.12366456736e-122,0.0,9.99611212994e-256,3.06815207614e-114,7.57900321399e-48,3.12678628062e-19,8.89318162514e-323,3.05793542801e-24,5.32957536e-80,0.0,0.0,1.93274425465e-57,3.00725663228e-26,3.85928636334e-222,1.87182053872e-14,3.60769477612e-57,3.55379703292e-10,1.69207107615e-06,-135.8399584
1.20747223691e-32,6.0230355755e-22,5.31686927921e-93,2.13885442412e-307,8.81422160697e-28,9.60492568314e-36,4.68249347047e-26,1.14965077727e-13,7.41416500797e-120,7.68720002341e-32,4.68249347047e-26,4.05264671285e-10,2.00817188801e-70,7.33551105362e-18,2.12026464989e-36,3.96126750286e-41,2.69052070837e-20,1.62879979559e-11,1.98545992052e-60,0.0,0.0,5.9418332768e-30,1.65496729894e-23,7.05786171441e-122,0.0,1.26111723673e-254,1.01775905007e-113,1.2066737781e-47,3.79842325493e-19,3.53751002422e-321,4.32253903382e-24,1.73317758353e-79,0.0,0.0,5.00437771821e-57,4.51267561372e-26,3.63430644504e-221,2.1919996077e-14,8.34344860327e-57,4.21689562058e-10,1.79897858003e-06,-135.6799568
1.77526432864e-32,7.79798487567e-22,1.28698914316e-92,1.94299808448e-305,1.65118946788e-27,1.48116811715e-35,6.91337650928e-26,1.28148503506e-13,3.47385849551e-119,1.13578674597e-31,6.91337650928e-26,4.81134446566e-10,9.4782147553e-70,1.02446705012e-17,3.1984164644e-36,7.00008925885e-41,3.48285652534e-20,1.86264677623e-11,4.15307672881e-60,0.0,0.0,8.82053962047e-30,2.27818424739e-23,2.3394648536e-121,0.0,1.58225092217e-253,3.36658027152e-113,1.91913003638e-47,4.6118885161e-19,1.4155474819e-319,6.10238985304e-24,5.61406909752e-79,0.0,0.0,1.29106018552e-56,6.76130277336e-26,3.40537205476e-220,2.56567867896e-14,1.92409296264e-56,4.9991473036e-10,1.91227766097e-06,-135.5199552
2.60715193103e-32,1.00880260625e-21,3.1093315362e-92,1.73958791331e-303,3.08236971727e-27,2.28121631242e-35,1.01923569616e-25,1.42806409989e-13,1.6204355563e-118,1.67617496578e-31,1.01923569616e-25,5.70643946803e-10,4.43873494768e-69,1.42831281931e-17,4.81944904646e-36,1.23471170521e-40,4.50471466076e-20,2.12901878439e-11,8.66914785814e-60,0.0,0.0,1.3077381805e-29,3.13269962725e-23,7.73421180856e-121,0.0,1.97419845061e-252,1.11047525547e-112,3.04898770645e-47,5.59660338415e-19,5.60910257395e-318,8.60421763487e-24,1.81132623839e-78,0.0,0.0,3.3186664939e-56,1.01148464839e-25,3.17494404323e-219,3.00157768209e-14,4.42457087377e-56,5.92106971722e-10,2.03232649883e-06,-135.3599536
