0-Bebarova 2008,1-Calloe 2011,2-Calloe 2011,3-Calloe 2013,4-Hayashi 2015,5-Kato 2014,6-Liu 2005,7-Watanabe 2011b,8-Young 2005,sum,gauss,x
1.26046716888e-117,0.0,2.20932235982e-245,0.0,6.25365077402e-129,6.24644553167e-10,2.5769978588e-23,1.37057525159e-28,4.52107072752e-17,6.24644598377e-10,6.73274466298e-09,-137.9199792
4.13227155029e-117,0.0,4.30598504806e-244,0.0,3.11822040958e-128,6.85773389399e-10,3.73242982136e-23,1.95586774718e-28,5.21964945813e-17,6.85773441595e-10,7.30709467878e-09,-137.7599776
1.35110165675e-116,0.0,8.32634526814e-243,0.0,1.54792444324e-127,7.52676309422e-10,5.39807559869e-23,2.78812877104e-28,6.02424182472e-17,7.52676369665e-10,7.92872324732e-09,-137.599976
4.40584341388e-116,0.0,1.59736727518e-241,0.0,7.65001823512e-127,8.25877835994e-10,7.79571570721e-23,3.97029625549e-28,6.9506349426e-17,8.258779055e-10,8.60137173931e-09,-137.4399744
1.43288701723e-115,0.0,3.04035025972e-240,0.0,3.76395953824e-126,9.05948107186e-10,1.1241978289e-22,5.64767560684e-28,8.01692064335e-17,9.05948187355e-10,9.32906481695e-09,-137.2799728
4.64768510593e-115,0.0,5.74130902808e-239,0.0,1.84372942025e-125,9.93506651812e-10,1.61882241889e-22,8.02515291384e-28,9.24382495788e-17,9.9350674425e-10,1.01161308336e-08,-137.1199712
1.50349954785e-114,0.0,1.07563938835e-237,0.0,8.99123169162e-125,1.0892264599e-09,2.32769137331e-22,1.13913089922e-27,1.06550836691e-16,1.08922656646e-09,1.09672236187e-08,-136.9599696
4.85078209894e-114,0.0,1.99935972468e-236,0.0,4.36526844328e-124,1.19383836977e-09,3.34211433038e-22,1.61521631128e-27,1.22778702259e-16,1.19383849255e-09,1.18873457364e-08,-136.799968
1.56085330674e-113,0.0,3.68708925162e-235,0.0,2.10995156781e-123,1.30813579462e-09,4.79167028836e-22,2.28783391801e-27,1.41432831468e-16,1.30813593605e-09,1.28818733098e-08,-136.6399664
5.00903734517e-113,0.0,6.74597659994e-234,0.0,1.01532196327e-122,1.4329798132e-09,6.8599708451e-22,3.23709198287e-27,1.62869009906e-16,1.43297997607e-09,1.39565825092e-08,-136.4799648
1.60320223134e-112,0.0,1.22454423798e-232,0.0,4.86412625257e-122,1.56930465067e-09,9.80680030249e-22,4.57532900889e-27,1.87494140365e-16,1.56930483817e-09,1.51176778095e-08,-136.3199632
5.11757487932e-112,0.0,2.20532497895e-231,0.0,2.31993416472e-121,1.71812357744e-09,1.39991643559e-21,6.45990842939e-27,2.15773430252e-16,1.71812379322e-09,1.63718221232e-08,-136.1599616
1.62922836041e-111,0.0,3.94038977006e-230,0.0,1.10158051659e-120,1.88053525567e-09,1.99547647278e-21,9.11102288658e-27,2.48238566721e-16,1.88053550391e-09,1.77261689289e-08,-135.99996
5.17298923981e-111,0.0,6.98512589578e-229,0.0,5.20746782358e-120,2.05773056498e-09,2.84027786857e-21,1.2836441816e-26,2.85497011995e-16,2.05773085048e-09,1.91883965145e-08,-135.8399584
1.63810994505e-110,0.0,1.22850735771e-227,0.0,2.45079343319e-119,2.25099994103e-09,4.03687002485e-21,1.80658715877e-26,3.28242568636e-16,2.25100026928e-09,2.07667444657e-08,-135.6799568
5.17352291544e-110,0.0,2.14362964569e-226,0.0,1.14830322491e-118,2.46174126256e-09,5.72925855963e-21,2.53986085435e-26,3.77267384061e-16,2.46174163984e-09,2.24700525359e-08,-135.5199552
1.62956453908e-109,0.0,3.71099369127e-225,0.0,5.35643975554e-118,2.69146832504e-09,8.11935997855e-21,3.56695535366e-26,4.33475585529e-16,2.69146875853e-09,2.43078020414e-08,-135.3599536
5.11915891902e-109,0.0,6.3738104856e-224,0.0,2.48751454385e-117,2.94181994119e-09,1.14898640419e-20,5.00405605122e-26,4.97898761611e-16,2.9418204391e-09,2.62901599338e-08,-135.199952
1.60386391637e-108,0.0,1.08611683503e-222,0.0,1.15007138068e-116,3.21456971137e-09,1.62359498676e-20,7.01266997804e-26,5.71713533993e-16,3.2145702831e-09,2.8428025709e-08,-135.0399504
5.01162168536e-108,0.0,1.83621027499e-221,0.0,5.29363176354e-116,3.51163650932e-09,2.29092162798e-20,9.81705852088e-26,6.56261494804e-16,3.51163716561e-09,3.07330813221e-08,-134.879948799
1.56181971615e-107,0.0,3.07990095127e-220,0.0,2.42578564974e-115,3.83509573164e-09,3.22784358662e-20,1.37282791637e-25,7.53071819939e-16,3.83509648475e-09,3.32178442849e-08,-134.719947199
4.85428622741e-107,0.0,5.12530311917e-219,0.0,1.10667699272e-114,4.18719136225e-09,4.54134451842e-20,1.9177304641e-25,8.63886908475e-16,4.18719222619e-09,3.58957241347e-08,-134.559945599
1.50474087401e-106,0.0,8.4619573032e-218,0.0,5.02642380678e-114,4.57034890633e-09,6.38008018244e-20,2.67605956488e-25,9.90691442866e-16,4.57034989709e-09,3.8781082469e-08,-134.399943999
4.65200222699e-106,0.0,1.38608726297e-216,0.0,2.27283071485e-113,4.98718925126e-09,8.95029897077e-20,3.73027395359e-25,1.13574531465e-15,4.98719038709e-09,4.18892967558e-08,-134.239942399
1.43436595321e-105,0.0,2.25257253502e-215,0.0,1.02316303048e-112,5.44054351572e-09,1.2537722894e-19,5.19424491192e-25,1.30162091662e-15,5.44054481746e-09,4.52368281352e-08,-134.079940799
4.41084585026e-105,0.0,3.63191323822e-214,0.0,4.58555971182e-112,5.93346895164e-09,1.75375737407e-19,7.22505007668e-25,1.49124536565e-15,5.93347044306e-09,4.88412934443e-08,-133.919939199
1.35277525614e-104,0.0,5.80979240748e-213,0.0,2.04601884866e-111,6.46926596738e-09,2.44957122692e-19,1.00391291959e-24,1.70794829104e-15,6.46926767557e-09,5.27215417035e-08,-133.759937599
4.13781700098e-104,0.0,9.22049492046e-212,0.0,9.08859332701e-111,7.05149634464e-09,3.41649156482e-19,1.39343902193e-24,1.95551590286e-15,7.0514983005e-09,5.68977353193e-08,-133.599935999
1.26228890984e-103,0.0,1.4518318511e-210,0.0,4.01932825195e-110,7.68400272563e-09,4.75817435854e-19,1.93204232726e-24,2.23825214387e-15,7.68400496435e-09,6.13914362704e-08,-133.439934399
3.84050302759e-103,0.0,2.2680199783e-209,0.0,1.76962010619e-109,8.37092945147e-09,6.61713615016e-19,2.67597497904e-24,2.56104782855e-15,8.37093201318e-09,6.62256975535e-08,-133.279932799
1.16535787481e-102,0.0,3.5151664978e-208,0.0,7.75668894703e-109,9.11674483734e-09,9.18902657465e-19,3.70240738293e-24,2.92945878452e-15,9.11674776771e-09,7.1425160186e-08,-133.119931199
3.52673133749e-102,0.0,5.40522023438e-207,0.0,3.38487372541e-108,9.92626497461e-09,1.27420311737e-18,5.11709054255e-24,3.3497941373e-15,9.92626832568e-09,7.70161560697e-08,-132.959929599
