1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,8-Bankston 2007b,9-Baroudi 2000b,10-Baroudi 2001,11-Casini 2007,12-Deschenes 2000,13-Detta 2014,14-Huang 2009,15-Itoh 2005a,16-Itoh 2005b,18-Lin 2008,20-Lupoglazoff 2001,21-Makita 2002,22-Makiyama 2008,23-Mohler 2004,24-Moreau 2013,25-Neu 2010,26-Nguyen 2008,27-Smits 2005a,28-Smits 2005b,29-Viswanathan 2003,30-Wang 2002,31-Wang 2007a,32-Wang 2007b,33-Wang 2008,34-Wedekind 2001,35-Yang 2002,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,8.907823638472122e-131,2.2871898697159065e-30,5.447661005913193e-115,2.874662289344237e-147,1.0705370743529031e-81,0.0,1.3510062420649677e-47,1.334171676488544e-40,1.2904656737086327e-53,0.0,1.3220577024863923e-32,5.663203969555318e-118,8.23664021191858e-139,1.0112137693088408e-292,3.3872573505001754e-98,2.671409609557163e-51,0.0,2.5806410507083314e-116,1.0349615565482307e-27,1.9657559170112224e-99,1.0267530821001147e-114,0.0,2.1438302262400127e-42,0.0,2.021438590697731e-37,1.0583895154212094e-21,1.0583905526831766e-21,5.8342531252295385e-27,-138.39998399984
0.0,0.0,0.0,0.0,0.0,0.0,2.036189886014758e-130,2.8478514682628957e-30,1.3394571259996052e-114,8.328019397335778e-147,2.1083952317712528e-81,0.0,1.9531222418293976e-47,1.7651993076616744e-40,1.8867783908470369e-53,0.0,1.6752172348551912e-32,1.4308293502001463e-117,2.3671849371391918e-138,9.182912935717331e-292,7.336402869939696e-98,3.9985509453103416e-51,0.0,6.148787967287476e-116,1.2476600314872442e-27,4.056565469081749e-99,2.5411338263087086e-114,0.0,2.915409190692945e-42,0.0,2.6206471488593033e-37,1.2380307046296597e-21,1.238031955154295e-21,7.071592125214265e-27,-138.239982399824
0.0,0.0,0.0,0.0,0.0,0.0,4.648992876624933e-130,3.544583280143699e-30,3.288222927390619e-114,2.40854859752939e-146,4.1471183606257057e-81,0.0,2.821697065978564e-47,2.334415316428855e-40,2.756926639846768e-53,0.0,2.1218332329043843e-32,3.609164392198491e-117,6.791093796813532e-138,8.308634414700083e-291,1.5868074522823262e-97,5.980592207938463e-51,0.0,1.4629219353086288e-115,1.5035955994674114e-27,8.361259505660903e-99,6.279053369805788e-114,0.0,3.9625728530838765e-42,0.0,3.396000054838098e-37,1.4477302360860625e-21,1.447731743247464e-21,8.568577136927773e-27,-138.079980799808
0.0,0.0,0.0,0.0,0.0,0.0,1.0602137309195828e-129,4.4100729012652945e-30,8.059486701799022e-114,6.9538911492860775e-146,8.14676009766275e-81,0.0,4.073805012375845e-47,3.0857791723408234e-40,4.0258668370741006e-53,0.0,2.686400471765783e-32,9.089053825476437e-117,1.9447900165979312e-137,7.490150167893726e-290,3.4274519251004664e-97,8.93851050184333e-51,0.0,3.4755417129190733e-115,1.8114592468751764e-27,1.721350187873294e-98,1.5490517490563188e-113,0.0,5.382990507811171e-42,0.0,4.398837992267544e-37,1.6924436429197565e-21,1.6924454588159407e-21,1.0379102219494901e-26,-137.919979199792
0.0,0.0,0.0,0.0,0.0,0.0,2.4150265368711556e-129,5.4847784172057855e-30,1.9722738051966212e-113,2.0042835050653716e-145,1.598333921501842e-80,0.0,5.877585839921109e-47,4.077123873268587e-40,5.875211170816619e-53,0.0,3.399770929307014e-32,2.2851982043511668e-116,5.559441329409694e-137,6.727645371206638e-289,7.393066174241322e-97,1.3349516175711176e-50,0.0,8.2450553856604e-115,2.1816688395502542e-27,3.539574642850194e-98,3.815423878697867e-113,0.0,7.308673830331954e-42,0.0,5.695336471117787e-37,1.9779309635418908e-21,1.977933150729507e-21,1.2568123476013909e-26,-137.759977599776
0.0,0.0,0.0,0.0,0.0,0.0,5.4947043416963106e-129,6.818755831624344e-30,4.818820220669692e-113,5.766990096233626e-145,3.1318012821280817e-80,0.0,8.474354229899346e-47,5.3844991607486626e-40,8.568749279673883e-53,0.0,4.30078715615207e-32,5.73617325692144e-116,1.586408519875099e-136,6.020704995374797e-288,1.5925163369525078e-96,1.9922567375810537e-50,0.0,1.9531444695156386e-114,2.6267081899301546e-27,7.269712476540726e-98,9.382633993024518e-113,0.0,9.917955609079546e-42,0.0,7.370754500067198e-37,2.3108852714443194e-21,2.3108879050142736e-21,1.5213903583871568e-26,-137.59997599976
0.0,0.0,0.0,0.0,0.0,0.0,1.2487074119765203e-128,8.473911537427173e-30,1.175514350251492e-112,1.6565252042823114e-144,6.128652123412526e-80,0.0,1.2210210117456508e-46,7.107863261361188e-40,1.248939122135539e-52,0.0,5.438331001748108e-32,1.4375197963400665e-115,4.518812934669343e-136,5.368380578396021e-287,3.4256996252428753e-96,2.9710125727840903e-50,0.0,4.620030874666344e-114,3.161531886935511e-27,1.491309241318008e-97,2.30362547226682e-112,0.0,1.3451612626894836e-41,0.0,9.534889105825195e-37,2.6990813984784763e-21,2.699084568538659e-21,1.841070637636069e-26,-137.439974399744
0.0,0.0,0.0,0.0,0.0,0.0,2.8344642852752476e-128,1.0526777574804515e-29,2.8630493905259267e-112,4.7501320180258764e-144,1.1977876622476742e-79,0.0,1.7581201525662785e-46,9.378538358009282e-40,1.8192608906384328e-52,0.0,6.873892206755729e-32,3.596653460798555e-115,1.2848698554313151e-135,4.769259311382892e-286,7.3590329112738615e-96,4.427342110933252e-50,0.0,1.0912521346587387e-113,3.8040484828519856e-27,3.055642198845277e-97,5.6468218149673e-112,0.0,1.8234554488040106e-41,0.0,1.2329074788126628e-36,3.1515479691750274e-21,3.151551783819028e-21,2.2272030618188155e-26,-137.279972799728
0.0,0.0,0.0,0.0,0.0,0.0,6.426510593017866e-128,1.3071929636529224e-29,6.962151007107118e-112,1.359790807685176e-143,2.3379692355438175e-79,0.0,2.5297805978123025e-46,1.2368971744061334e-39,2.6483694929191152e-52,0.0,8.684787384302736e-32,8.984140685192048e-115,3.646862292973884e-135,4.2215337658943686e-285,1.5786952103887806e-95,6.592666120847277e-50,0.0,2.5738015223626975e-113,4.575697012024674e-27,6.253477684131483e-97,1.381978894269752e-111,0.0,2.4704983854147915e-41,0.0,1.5935161454415825e-36,3.678766336213821e-21,3.678770925069612e-21,2.693448955255393e-26,-137.11997119971198
0.0,0.0,0.0,0.0,0.0,0.0,1.4553699558618191e-127,1.6226194986226305e-29,1.6903309022051078e-111,3.885950921628267e-143,4.5576591297338047e-79,0.0,3.6376930765973874e-46,1.6305509718413325e-39,3.852938252959652e-52,0.0,1.0968192327363251e-31,2.2405140940193133e-114,1.0332491011412673e-134,3.7230707532939365e-284,3.382064755526775e-95,9.809762402411992e-50,0.0,6.061703914707707e-113,5.5021346406434844e-27,1.2782771480622298e-96,3.376788437693761e-111,0.0,3.3453580333394725e-41,0.0,2.0587024891171486e-36,4.292900549948288e-21,4.292906068418808e-21,3.2562463598357274e-26,-136.959969599696
0.0,0.0,0.0,0.0,0.0,0.0,3.29204317047802e-127,2.013383075631616e-29,4.0974505159160536e-111,1.1086164305109585e-142,8.873377979956605e-79,0.0,5.227308605042941e-46,2.1485106244622177e-39,5.601900634465705e-52,0.0,1.3846190954610818e-31,5.578430206110137e-114,2.922241843803545e-134,3.2714779933326514e-283,7.235551301593698e-95,1.4585969549642822e-49,0.0,1.425555414666153e-112,6.614056596908936e-27,2.6098332572106916e-96,8.237803126566598e-111,0.0,4.5276124686445077e-41,0.0,2.65853175171868e-36,5.008063118183895e-21,5.008069752512787e-21,3.935367838390722e-26,-136.79996799968
0.0,0.0,0.0,0.0,0.0,0.0,7.437921271790411e-127,2.4972893837767716e-29,9.916750741399927e-111,3.157359978425294e-142,1.7253619423115508e-78,0.0,7.506528155757978e-46,2.8297168145301958e-39,8.139704385023832e-52,0.0,1.7472094474961187e-31,1.3866584896571496e-113,8.249976690993552e-134,2.8641674711684966e-282,1.5458502363175862e-94,2.167162731669929e-49,0.0,3.3476743709186322e-112,7.948173502813474e-27,5.32212183673946e-96,2.0064303112204555e-110,0.0,6.124413465686234e-41,0.0,3.4316363070097013e-36,5.840622027875238e-21,5.840630001196359e-21,4.7545889879596677e-26,-136.639966399664
