1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,7-Albert 2008,10-Bankston 2007b,13-Baroudi 2000b,14-Baroudi 2001,15-Bezzina 2003,16-Bezzina 2003,17-Casini 2007,18-Deschenes 2000,19-Detta 2014,20-Ellinor 2008,21-Groenewegen 2003a,22-Groenewegen 2003a,23-Groenewegen 2003b,24-Guetter 2013,25-Guetter 2013,26-Gui 2010a,27-Gui 2010a,28-Gui 2010b,29-Huang 2009,30-Itoh 2005a,31-Itoh 2005b,33-Kato 2014,34-Lin 2008,36-Lupoglazoff 2001,38-Makita 2002,39-Makiyama 2008,40-Mohler 2004,41-Moreau 2013,42-Murphy 2012,43-Neu 2010,44-Nguyen 2008,45-Rook 1999,46-Shirai 2002,47-Smits 2005a,48-Smits 2005b,49-Surber 2008,50-Surber 2008,51-Tan 2002,52-Tarradas 2013,53-Viswanathan 2003,54-Wang 1996,55-Wang 2002,56-Wang 2007a,57-Wang 2007b,58-Wang 2008,59-Wang 2015,60-Wedekind 2001,63-Yang 2002,64-Ye 2003,65-Young 2005,66-Zhang 2008,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7699374527995674e-131,9.679763656596943e-31,2.3055397243888967e-115,5.3454142290124355e-15,7.329595737671143e-33,1.2166043546196892e-147,4.530688948289191e-82,0.0,0.0,7.957532555516771e-60,3.376103610119217e-32,2.9549659694505817e-61,3.041007038125941e-167,8.175485264294355e-185,2.0898331152932817e-210,7.697198383753407e-301,0.0,5.717680589150408e-48,5.646433939189727e-41,5.461462947980913e-54,4.862413561746079e-23,0.0,5.5951656090717936e-33,2.3967610512023713e-118,3.485881589082833e-139,4.279622965635965e-293,1.4335430141173656e-98,1.8124650603652458e-19,1.130584478047167e-51,0.0,0.0,1.5690998747269424e-303,1.0921697312550377e-116,4.3801275065523675e-28,2.3010692697376126e-50,1.2330696545429045e-180,1.467749351573582e-254,0.0,8.319402308995498e-100,1.0630143371166312e-45,4.3453878928058055e-115,0.0,9.073042069939594e-43,0.0,0.0,8.555060541042392e-38,4.4792784812264e-22,5.547894926749603e-12,2.770893813781824e-75,0.0,5.553240522721673e-12,1.691991587245006e-26,-138.39998399984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.617490448671889e-131,1.2052575742345991e-30,5.668802830711751e-115,5.769076291281237e-15,9.068778177031165e-33,3.5245547630804386e-147,8.923075346069389e-82,0.0,0.0,1.214598874647902e-59,4.154514981515594e-32,4.485855642694657e-61,9.82720742954861e-167,2.9354484710368545e-184,9.0992325908348e-210,6.307417753495036e-300,0.0,8.265934518020425e-48,7.470613756730182e-41,7.985156430428814e-54,5.758560380741904e-23,0.0,7.089794827077592e-33,6.055505109674137e-118,1.0018315937106617e-138,3.8863597672322443e-292,3.104886341570609e-98,2.0686439292508624e-19,1.692252516153107e-51,0.0,0.0,1.9022521238423565e-302,2.6022681844626563e-116,5.280302430719897e-28,3.178279639765976e-50,4.7860743090244e-180,9.667296566498016e-254,0.0,1.7168052166609578e-99,1.470213358405508e-45,1.0754496241935283e-114,0.0,1.2338491133525162e-42,0.0,0.0,1.1091009698920874e-37,5.2395495359175445e-22,5.893110497010972e-12,4.568345919863995e-75,0.0,5.898879780748188e-12,2.028409917529626e-26,-138.239982399824
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.967530237991205e-130,1.5001259347645642e-30,1.3916300176381096e-114,6.2255797691997745e-15,1.1216754374242918e-32,1.0193373750124385e-146,1.7551286895030195e-81,0.0,0.0,1.8526211532882938e-59,5.110698669625718e-32,6.805357756739115e-61,3.169955596206051e-166,1.0519327139834845e-183,3.952859690318368e-209,5.151891453000918e-299,0.0,1.194188601079199e-47,9.87962951330229e-41,1.1667766915917398e-53,6.817668703173807e-23,0.0,8.97994717674165e-33,1.5274577234213684e-117,2.8741025742257993e-138,3.5163507196433244e-291,6.715630088256519e-98,2.3604606025922325e-19,2.531084973129942e-51,0.0,0.0,2.2957505266148073e-301,6.191326207473037e-116,6.363463842969698e-28,4.387775767098619e-50,1.853492473951974e-179,6.347780033167597e-253,0.0,3.538622523556609e-99,2.0322854011704482e-45,2.6573986450205874e-114,0.0,1.6770259958637928e-42,0.0,0.0,1.4372430703667888e-37,6.127032438090954e-22,6.259165985528767e-12,7.526085376396897e-75,0.0,6.265391802024908e-12,2.4310055490039903e-26,-138.079980799808
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4869988612074236e-130,1.8664153753843447e-30,3.4109073103139756e-114,6.717411065245971e-15,1.3868685943449266e-32,2.94300109099169e-146,3.4478428466529174e-81,0.0,0.0,2.823837208548388e-59,6.284859948272414e-32,1.0317381408684768e-60,1.0206729198384766e-165,3.7623053562228397e-183,1.7132924632583023e-208,4.194478801871921e-298,0.0,1.724101274886996e-47,1.3059524913171562e-40,1.7038130507568747e-53,8.068964398195035e-23,0.0,1.1369288574583119e-32,3.846637048266932e-117,8.230671170607932e-138,3.1699547264362803e-290,1.450554019087259e-97,2.6927912213298034e-19,3.7829246380231747e-51,0.0,0.0,2.7581662031346313e-300,1.470906408127782e-115,7.666393426920335e-28,6.054616652407369e-50,7.161793245179173e-179,4.155299948798102e-252,0.0,7.285037070805959e-99,2.807709173593136e-45,6.555841743285508e-114,0.0,2.2781701060869528e-42,0.0,0.0,1.861660577138622e-37,7.162699818886515e-22,6.64727858715206e-12,1.2389402433672094e-74,0.0,6.6539962682933884e-12,2.9126538458423474e-26,-137.919979199792
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0220789454714684e-129,2.3212484232430773e-30,8.346987083661637e-114,7.247240133284683e-15,1.714166845300465e-32,8.482457397495527e-146,6.764412001519283e-81,0.0,0.0,4.301223284324565e-59,7.726206583718923e-32,1.563150766034796e-60,3.2804268946552127e-165,1.3429897544165594e-182,7.40909362362229e-208,3.4039682092884375e-297,0.0,2.487490984247144e-47,1.725505871395412e-40,2.486485985230734e-53,9.546839969732188e-23,0.0,1.4388389664539962e-32,9.671334601244358e-117,2.3528469955180085e-137,2.8472501571007535e-289,3.128867183778068e-97,3.0711676379873868e-19,5.649734778112347e-51,0.0,0.0,3.2987947718800997e-299,3.489443028997751e-115,9.233181304021633e-28,8.350621186794937e-50,2.7610374280158605e-178,2.711730781438864e-251,0.0,1.4980061970950035e-98,3.876882467471234e-45,1.6147501300414187e-113,0.0,3.093150956005059e-42,0.0,0.0,2.4103600542820142e-37,8.370929108097482e-22,7.058734051807721e-12,2.0379927728735437e-74,0.0,7.065981599990332e-12,3.4887070010968924e-26,-137.759977599776
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3254492377191155e-129,2.8858096022593962e-30,2.0394039627985394e-113,7.817933665759446e-15,2.117973595275114e-32,2.4406850467736022e-145,1.3254298050118846e-80,0.0,0.0,6.547019186447719e-59,9.494944070882809e-32,2.366710335251419e-60,1.0524088538867496e-164,4.7845812860705277e-182,3.196775468070286e-207,2.7535259815713784e-296,0.0,3.5864860706950075e-47,2.2788085928198697e-40,3.6264356080844733e-53,1.1291754403136727e-22,0.0,1.820163850850332e-32,2.427642853594322e-116,6.713941740704772e-137,2.5480613644270607e-288,6.739791027005776e-97,3.50186400498573e-19,8.431558139702162e-51,0.0,0.0,3.92761841535998e-298,8.266028589243938e-115,1.111666102146982e-27,1.151173599887013e-49,1.062043661020046e-177,1.76422692460625e-250,0.0,3.076661870361855e-98,5.3502766586144154e-45,3.9708850030938105e-113,0.0,4.197441914362565e-42,0.0,0.0,3.119424516352502e-37,9.780046493416104e-22,7.494890392475214e-12,3.3498547740351147e-74,0.0,7.502708677418297e-12,4.177464986266982e-26,-137.59997599976
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2847351171920444e-129,3.586298715960714e-30,4.974970043386e-113,8.432569200861015e-15,2.6159995524368194e-32,7.010687079792129e-145,2.5937463642011902e-80,0.0,0.0,9.958513878162396e-59,1.16647084542619e-31,3.580982546249379e-60,3.370148054411315e-164,1.701248496022863e-181,1.3761718112192877e-206,2.2201844359650445e-295,0.0,5.16756171839151e-47,3.008164620890467e-40,5.285715752689705e-53,1.3351287320621553e-22,0.0,2.301591113194483e-32,6.083820177980934e-116,1.9124359457488153e-136,2.271986943698437e-287,1.449812416970987e-96,3.9919945808877037e-19,1.2573813790500987e-50,0.0,0.0,4.6552435032905255e-297,1.9552730424827332e-114,1.3380122858856457e-27,1.5861810817410294e-49,4.075979685939841e-177,1.1442633898844649e-249,0.0,6.311465954792052e-98,7.379601912961265e-45,9.749321829424268e-113,0.0,5.6929436752275604e-42,0.0,0.0,4.035321870663626e-37,1.1422956341807336e-21,7.957181784740016e-12,5.501997386645684e-74,0.0,7.965614754416146e-12,5.000734979954572e-26,-137.439974399744
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.199591898242245e-128,4.4551053823235556e-30,1.2116895848658698e-112,9.094450211823098e-15,3.230014430162228e-32,2.0103339858634303e-144,5.0692343625959605e-80,0.0,0.0,1.5137172009406356e-58,1.4325531672321444e-31,5.41467205916441e-60,1.077268163703717e-163,6.037319371610607e-181,5.91080530621277e-206,1.7843708533677475e-294,0.0,7.440653608200696e-47,3.96915166300272e-40,7.699411266305339e-53,1.5781373482447223e-22,0.0,2.909144222931687e-32,1.5221628915108758e-115,5.4377805248000036e-136,2.0184289709601116e-286,3.1144637472138466e-96,4.549624178937251e-19,1.8737239889076638e-50,0.0,0.0,5.492810835178057e-296,4.618358490091398e-114,1.6099358754512637e-27,2.184512914482604e-49,1.5607782815295322e-176,7.398799236754182e-249,0.0,1.2931980285318582e-97,1.0173086106443642e-44,2.3898278539764875e-112,0.0,7.717163326256393e-42,0.0,0.0,5.217867201746457e-37,1.3337869277040623e-21,8.447122667313949e-12,9.029960287497556e-74,0.0,8.456217573979791e-12,5.98449569394901e-26,-137.279972799728
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7198049668153e-128,5.5322555898249436e-30,2.946496798654766e-112,9.807122244551687e-15,3.986767718800902e-32,5.754858315475351e-144,9.894670283438164e-80,0.0,0.0,2.299292659687153e-58,1.7587454734898472e-31,8.181915131422431e-60,3.4372334406640754e-163,2.138322106470625e-180,2.532993784672585e-205,1.429477682318378e-293,0.0,1.0706447511902128e-46,5.234752249602741e-40,1.120833521791645e-52,1.8647747990556047e-22,0.0,3.6755448422079294e-32,3.80223608200389e-115,1.5434120949708095e-135,1.7866225127727074e-285,6.681297746506325e-96,5.183892859300715e-19,2.790124718617348e-50,0.0,0.0,6.451875938977818e-295,1.0892751303832456e-113,1.9365102227432116e-27,3.007089633913251e-49,5.9630709668302165e-176,4.769360665371478e-248,0.0,2.6465745942515343e-97,1.4016371397557097e-44,5.848761946728092e-112,0.0,1.0455555440086785e-41,0.0,0.0,6.744022380949865e-37,1.556914410731363e-21,8.966312053344213e-12,1.4808885023134216e-73,0.0,8.976119695721444e-12,7.159686022987809e-26,-137.11997119971198
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.159364988532487e-128,6.867192557653213e-30,7.153758352742295e-112,1.0574390174097717e-14,4.919116146678587e-32,1.644598334425506e-143,1.9288762943250683e-79,0.0,0.0,3.490141650300399e-58,2.15849287352755e-31,1.2355224454898435e-59,1.0947238735319468e-162,7.5588317805573556e-180,1.083016483423845e-204,1.1414734900978423e-292,0.0,1.539531531812679e-46,6.900759856644093e-40,1.6306268301522109e-52,2.2027637575164787e-22,0.0,4.6419193646640116e-32,9.482224098026114e-115,4.372880113657117e-135,1.5756647686250034e-284,1.4313454225324924e-95,5.905156664967105e-19,4.151652770065535e-50,0.0,0.0,7.54425740867887e-294,2.5654127813152327e-113,2.3285938624246913e-27,4.137405017594596e-49,2.2730987609415476e-175,3.0649456005802706e-247,0.0,5.409879103044503e-97,1.9301077892921027e-44,1.4291123980566099e-111,0.0,1.4158105340614456e-41,0.0,0.0,8.712767487194705e-37,1.8168261094097953e-21,9.516438062781246e-12,2.426777403739357e-73,0.0,9.527013045508115e-12,8.563140996144352e-26,-136.959969599696
