0-Abe 2014,1-Beyder 2010,2-Beyder 2014,3-Calloe 2011,4-Calloe 2011,5-Calloe 2013,6-Cheng 2010,7-Cheng 2010,8-Cheng 2011,9-Gosselin-Badaroudine 2012,11-Hu 2015,12-Kapplinger 2015,13-Kapplinger 2015,14-Kapplinger 2015,15-Kapplinger 2015,16-Kapplinger 2015,17-Kapplinger 2015,18-Kapplinger 2015,19-Kapplinger 2015,20-Kapplinger 2015,21-Kapplinger 2015,22-Kapplinger 2015,23-Kapplinger 2015,24-Kapplinger 2015,25-Kapplinger 2015,26-Kapplinger 2015,27-Kapplinger 2015,28-Kapplinger 2015,29-Kapplinger 2015,30-Kapplinger 2015,31-Kapplinger 2015,32-Kapplinger 2015,33-Kapplinger 2015,35-Medeiros-Domingo 2009,36-Nakajima 2015,37-Samani 2009,38-Shuraih 2007,39-Swan 2014,40-Tan 2005,41-Tan 2005,42-Tan 2005,43-Tan 2005,44-Tan 2005,45-Tan 2005,46-Tan 2005,47-Tan 2006,48-Tester 2010,49-Valdivia 2004,sum,gauss,x
3.9858062221098483e-53,2.3518655317815032e-09,1.5435814796639169e-158,0.0,0.0,0.0,2.6981856839855396e-242,6.492851976919126e-183,5.6074366925334e-195,9.026853622736546e-293,6.678121045239927e-139,0.0,0.0,5.602515200780332e-189,7.215472566883645e-91,3.7457053063417446e-114,4.8475081982670574e-91,1.5073689788953467e-213,1.456765977433391e-76,2.2334552106336246e-50,1.0434578754477762e-94,5.273769566701046e-73,4.8475081982670574e-91,2.8660963234525115e-56,2.2334552106336246e-50,1.4263434758940598e-221,3.1997113702383068e-87,7.215472566883645e-91,5.273769566701046e-73,5.443821729259933e-230,7.215472566883645e-91,6.581514035571832e-138,1.0631830883881924e-93,3.3591599341782244e-181,5.563217055100833e-228,8.689804558244544e-94,0.0,3.3951249519839818e-233,3.915098490784839e-93,6.095259507465099e-95,2.1197562764628803e-242,2.8256732511105095e-182,9.705592383e-315,4.5624950191179926e-27,0.0,2.8785346677916406e-161,6.011172597694379e-130,3.588305484457433e-37,2.3518655317815032e-09,3.2470350416119073e-40,-138.39998399984
6.044057401000403e-53,2.434843415638798e-09,6.413947096101746e-158,0.0,0.0,0.0,1.4164245930318218e-241,2.327790343114652e-182,2.2714337706779658e-194,1.1733264879379513e-291,1.858945087737237e-138,0.0,0.0,2.1602929101840732e-188,1.3624073444239027e-90,8.148246614017809e-114,9.158692198117739e-91,6.755167454015352e-213,2.457125795882988e-76,3.073219222264115e-50,1.9976382729130504e-94,8.631411243969691e-73,9.158692198117739e-91,4.1716017918834895e-56,3.073219222264115e-50,7.000474478993686e-221,5.932668351654528e-87,1.3624073444239027e-90,8.631411243969691e-73,2.8626485896134868e-229,1.3624073444239027e-90,1.732304416427756e-137,2.0319052307512077e-93,1.2489509089036782e-180,2.926892007556886e-227,1.6610051560056926e-93,0.0,1.5714406079262126e-232,7.5911290033236945e-93,1.1897376518581121e-94,1.3133020259843781e-241,1.0918150690724437e-181,1.04689332543e-313,5.420831099868349e-27,0.0,1.0247318432256953e-160,1.5749825744647908e-129,4.639172168039967e-37,2.434843415638798e-09,4.291576577590554e-40,-138.239982399824
9.158230136070905e-53,2.5206161234133707e-09,2.657576877442889e-157,0.0,0.0,0.0,7.417017877333482e-241,8.329028335191237e-182,9.180591416884392e-194,1.517587797855158e-290,5.16592216708594e-138,0.0,0.0,8.312195013704208e-188,2.5698798779240292e-90,1.7704350290714773e-113,1.7286697268260735e-90,3.02024325518677e-212,4.141064883081016e-76,4.226730061988421e-50,3.820519585921538e-94,1.411604523726741e-72,1.7286697268260735e-90,6.068232654312102e-56,4.226730061988421e-50,3.427159900887851e-220,1.0989056242877036e-86,2.5698798779240292e-90,1.411604523726741e-72,1.5013557514099168e-228,2.5698798779240292e-90,4.552654929832872e-137,3.879361492669998e-93,4.633882102967507e-180,1.535780860433654e-226,3.171699089681235e-93,0.0,7.257299775410339e-232,1.4703028365970242e-92,2.3197808273602668e-94,8.111992489590122e-241,4.209311923652918e-181,1.12477860922e-312,6.4388383041417005e-27,0.0,3.639853310634072e-160,4.120001965716304e-129,5.995235798018462e-37,2.5206161234133707e-09,5.66962646154333e-40,-138.079980799808
1.3866443873018894e-52,2.6092729136792245e-09,1.0980217638157497e-156,0.0,0.0,0.0,3.8741767901502146e-240,2.974314813621078e-181,3.702338493592326e-193,1.9531754322210804e-289,1.433171551742658e-137,0.0,0.0,3.19148122343499e-187,4.842641540086132e-90,3.8422099559861514e-113,3.259524433166589e-90,1.3472152341056686e-211,6.973386256923264e-76,5.810455279436659e-50,7.299475617342561e-94,2.3068260488035813e-72,3.259524433166589e-90,8.822037824967799e-56,5.810455279436659e-50,1.6735735108211296e-219,2.0334887769381325e-86,4.842641540086132e-90,2.3068260488035813e-72,7.853271556556855e-228,4.842641540086132e-90,1.1946683993122453e-136,7.399092668644083e-93,1.715653248175345e-179,8.036994318785156e-226,6.050245534645005e-93,0.0,3.34415990586236e-231,2.844749053636046e-92,4.5183456052445174e-94,4.995451040176681e-240,1.619228043914991e-180,1.203693458521e-311,7.645877445802498e-27,0.0,1.29000802780836e-159,1.0760295751651799e-128,7.744381609488634e-37,2.6092729136792245e-09,7.486860076972088e-40,-137.919979199792
2.0979214170057597e-52,2.700905723137671e-09,4.5237720076421815e-156,0.0,0.0,0.0,2.0185698687375312e-239,1.0600385171055887e-180,1.4897605418608061e-192,2.5013885406524015e-288,3.9693328848433005e-137,0.0,0.0,1.222763172902355e-186,9.11623419693436e-90,8.328512896779202e-113,6.1398831579057015e-90,5.995443369784652e-211,1.173336147399431e-75,7.983815490690081e-50,1.3932355435861454e-93,3.766927184066554e-72,6.1398831579057015e-90,1.2818078365081592e-55,7.983815490690081e-50,8.151898304411142e-219,3.75918952719173e-86,9.11623419693436e-90,3.766927184066554e-72,4.09702909217402e-227,9.11623419693436e-90,3.1302003730922136e-136,1.4098019157279352e-92,6.33868220448699e-179,4.1946905723684204e-225,1.152959487378707e-92,0.0,1.53756643739316e-230,5.498166298114144e-92,8.791210560074421e-94,3.0669458991584337e-239,6.214981011556296e-180,1.2830659702314e-310,9.076644302660696e-27,0.0,4.561795644437701e-159,2.8057961065734266e-128,9.999583662096748e-37,2.700905723137671e-09,9.882178086351016e-40,-137.759977599776
3.1716401575361393e-52,2.7956092411032298e-09,1.8584681312543044e-155,0.0,0.0,0.0,1.0491132681118662e-238,3.770495917208298e-180,5.981246402691426e-192,3.187671319419975e-287,1.0975034355797177e-136,0.0,0.0,4.674830763261578e-186,1.714400464917194e-89,1.8031800860651392e-112,1.1553927120735848e-89,2.6619192894371122e-210,1.9726417553461328e-75,1.0964920793511392e-49,2.6565688755269436e-93,6.146532419485458e-72,1.1553927120735848e-89,1.861333714208993e-55,1.0964920793511392e-49,3.9607392075354485e-218,6.942529326848041e-86,1.714400464917194e-89,6.146532419485458e-72,2.1317629512107255e-226,1.714400464917194e-89,8.189153698213663e-136,2.6834848015715233e-92,2.336971226869081e-178,2.1834741605971987e-224,2.1949019289596577e-92,0.0,7.053677948868802e-230,1.0615208394348988e-91,1.7086560971365705e-93,1.8772484942262555e-238,2.3801617799948397e-179,1.36227977011018e-309,1.0772127151885194e-26,0.0,1.60958576046753e-158,7.304544230101105e-128,1.2906003808758226e-36,2.7956092411032298e-09,1.303807049772866e-39,-137.59997599976
4.7912537532131894e-52,2.893480985869706e-09,7.613321615171147e-155,0.0,0.0,0.0,5.438951861141235e-238,1.3384970582388888e-179,2.39608269404827e-191,4.0422055126625046e-286,3.029446432469035e-136,0.0,0.0,1.783458150769193e-185,3.2208665370430026e-89,3.899384065797699e-112,2.172014861318205e-89,1.1791192227562614e-209,3.3137598795930016e-75,1.5052033786434258e-49,5.0603582765669865e-93,1.002175314466104e-71,2.172014861318205e-89,2.701300379952014e-55,1.5052033786434258e-49,1.919540484848989e-217,1.2808913194544764e-85,3.2208665370430026e-89,1.002175314466104e-71,1.1062676230365942e-225,3.2208665370430026e-89,2.1391834318060668e-135,5.102718345063495e-92,8.597905690821069e-178,1.1335431109570993e-223,4.1742284936658645e-92,0.0,3.228733840665891e-229,2.0472737637630825e-91,3.3173965030769876e-93,1.1455700622327482e-237,9.095111550688094e-179,1.440681112293445e-308,1.2780733998627434e-26,0.0,5.666661859983948e-158,1.8986077660274166e-127,1.6650081240447764e-36,2.893480985869706e-09,1.7194187701655334e-39,-137.439974399744
7.232442839061637e-52,2.9946213829977423e-09,3.109982056427221e-154,0.0,0.0,0.0,2.8126927418886957e-237,4.7421849117776654e-179,9.577381622951943e-191,5.100534871462612e-285,8.348139346988283e-136,0.0,0.0,6.789431941544848e-185,6.0450073650660164e-89,8.422445185422239e-112,4.0790554825634094e-89,5.210864904216614e-209,5.562126884893309e-75,2.0652828970574236e-49,9.6295302952376e-93,1.6327804751067044e-71,4.0790554825634094e-89,3.918039680866838e-55,2.0652828970574236e-49,9.279441524405017e-217,2.3609016763583628e-85,6.0450073650660164e-89,1.6327804751067044e-71,5.725757146009156e-225,6.0450073650660164e-89,5.579549706688083e-135,9.693161937788189e-92,3.1565808239346596e-177,5.869078051989687e-223,7.930441058799142e-92,0.0,1.4746323121914026e-228,3.9442102789040265e-91,6.433937646544845e-93,6.969566842312952e-237,3.467723525281945e-178,1.517587190005106e-307,1.5159619178484473e-26,0.0,1.9905603865617444e-157,4.926999267760306e-127,2.1471165631965304e-36,2.9946213829977423e-09,2.2665102708131337e-39,-137.279972799728
1.090916273753763e-51,3.0991338455664685e-09,1.2667947036498262e-153,0.0,0.0,0.0,1.4509204839561252e-236,1.6768015430719494e-178,3.8196772232460714e-190,6.404209466563089e-284,2.2965987533097793e-135,0.0,0.0,2.5791549955780905e-184,1.1334036078730669e-88,1.8170448372379138e-111,7.652795076176522e-89,2.297476967816527e-208,9.328413542296162e-75,2.8324261230193224e-49,1.830596353183377e-92,2.658168265143385e-71,7.652795076176522e-89,5.6795260396428625e-55,2.8324261230193224e-49,4.4745558882242166e-216,4.3472496103541045e-85,1.1334036078730669e-88,2.658168265143385e-71,2.9556777007517864e-224,1.1334036078730669e-88,1.4530896060042687e-134,1.8394617145807504e-91,1.1564479102293383e-176,3.030704450175385e-222,1.5051455202518111e-91,0.0,6.720013230990629e-228,7.59068454855272e-91,1.2465022195262229e-92,4.22740796170004e-236,1.3192156092341494e-177,1.592295529953767e-306,1.7976244135732992e-26,0.0,6.976832519008272e-157,1.2765412626872891e-126,2.7676399109267436e-36,3.0991338455664685e-09,2.986354836057689e-39,-137.11997119971198
1.64425209493616e-51,3.2071248564315934e-09,5.145401199105468e-153,0.0,0.0,0.0,7.465848516062727e-236,5.917345980547109e-178,1.5199924089882742e-189,8.001433706571986e-283,6.307388511362374e-135,0.0,0.0,9.776759487035475e-184,2.1229315855589076e-88,3.915420093257421e-111,1.434313899663783e-88,1.0106057776090245e-207,1.5632258645883919e-74,3.882686379348571e-49,3.476512004203207e-92,4.3242193142093226e-71,1.434313899663783e-88,8.228158984067804e-55,3.882686379348571e-49,2.1521947558612148e-215,7.996911917949329e-85,2.1229315855589076e-88,4.3242193142093226e-71,1.5217126676399062e-223,2.1229315855589076e-88,3.778572523660298e-134,3.48720478329597e-91,4.22785576216811e-176,1.5608427318085086e-221,2.85377457442746e-91,0.0,3.055564053119323e-227,1.4592797964585092e-90,2.4123816032158646e-92,2.55638803205853e-235,5.007511781519535e-177,1.6640943045985058e-305,2.13102131718187e-26,0.0,2.439922996114301e-156,3.3021160496100923e-126,3.565974593625411e-36,3.2071248564315934e-09,3.933080324279834e-39,-136.959969599696
