0-Clatot 2012,1-Cordeiro 2006,2-Hu 2007,3-Keller 2005,4-Pfahnl 2007,5-Ye 2003,sum,gauss,x
2.318103662888841e-44,0.0,0.0,7.051103023389307e-44,0.0,2.5144325888600398e-09,2.5144325888600398e-09,8.62259685111203e-34,-135.679956799568
3.2427262926627146e-44,0.0,0.0,9.690087901715126e-44,0.0,2.6291020050018426e-09,2.6291020050018426e-09,1.1247710837540035e-33,-135.519955199552
4.533485804557927e-44,0.0,0.0,1.3309595213955179e-43,0.0,2.748795691709559e-09,2.748795691709559e-09,1.4664942366338908e-33,-135.359953599536
6.334301849022879e-44,0.0,0.0,1.8271258096995473e-43,0.0,2.873724112994322e-09,2.873724112994322e-09,1.911114618705332e-33,-135.19995199951998
8.845243180129431e-44,0.0,0.0,2.5069087816936667e-43,0.0,3.004106107629136e-09,3.004106107629136e-09,2.4893345385300156e-33,-135.039950399504
1.234426758426586e-43,0.0,0.0,3.4377562884103854e-43,0.0,3.1401692029551533e-09,3.1401692029551533e-09,3.240932241668973e-33,-134.879948799488
1.7217314188982116e-43,0.0,0.0,4.711705232843568e-43,0.0,3.2821499396218408e-09,3.2821499396218408e-09,4.217419425141011e-33,-134.719947199472
2.399993191878168e-43,0.0,0.0,6.454277218171493e-43,0.0,3.430294207608536e-09,3.430294207608536e-09,5.4854693526070674e-33,-134.559945599456
3.3434831765385613e-43,0.0,0.0,8.836567334403255e-43,0.0,3.584857593884592e-09,3.584857593884592e-09,7.131336805134347e-33,-134.39994399943998
4.6551405979931e-43,0.0,0.0,1.2091663192103635e-42,0.0,3.7461057420748494e-09,3.7461057420748494e-09,9.266553972347251e-33,-134.239942399424
6.477553222767341e-43,0.0,0.0,1.653693298006002e-42,0.0,3.91431472450801e-09,3.91431472450801e-09,1.2035266938941806e-32,-134.079940799408
9.008110507047788e-43,0.0,0.0,2.2604263709546082e-42,0.0,4.089771427035289e-09,4.089771427035289e-09,1.5623680570796494e-32,-133.919939199392
1.251990253525172e-42,0.0,0.0,3.0881062796407796e-42,0.0,4.272773947017289e-09,4.272773947017289e-09,2.027221162570451e-32,-133.759937599376
1.739052601078313e-42,0.0,0.0,4.216582344621895e-42,0.0,4.463632004889193e-09,4.463632004889193e-09,2.629111880022147e-32,-133.59993599935999
2.4141764890400258e-42,0.0,0.0,5.754338525636586e-42,0.0,4.662667369722919e-09,4.662667369722919e-09,3.4080594359398646e-32,-133.439934399344
3.3494217914952355e-42,0.0,0.0,7.84868146221959e-42,0.0,4.870214299219526e-09,4.870214299219526e-09,4.415657794517201e-32,-133.27993279932798
4.6442457728050475e-42,0.0,0.0,1.0699524409475044e-41,0.0,5.086619994573194e-09,5.086619994573194e-09,5.71839056192325e-32,-133.119931199312
6.435837574163118e-42,0.0,0.0,1.457802592797415e-41,0.0,5.312245070663564e-09,5.312245070663564e-09,7.401885714952175e-32,-132.959929599296
8.913319680903257e-42,0.0,0.0,1.9851779239921222e-41,0.0,5.547464042041805e-09,5.547464042041805e-09,9.576373866692953e-32,-132.79992799928
1.2337251513959243e-41,0.0,0.0,2.7018835672806746e-41,0.0,5.792665825190832e-09,5.792665825190832e-09,1.2383686998600099e-31,-132.639926399264
1.7066398482045838e-41,0.0,0.0,3.675363492533695e-41,0.0,6.048254257551512e-09,6.048254257551512e-09,1.6006227912838513e-31,-132.47992479924798
2.3594450774744664e-41,0.0,0.0,4.996897472774311e-41,0.0,6.314648633819131e-09,6.314648633819131e-09,2.0678459551912626e-31,-132.319923199232
3.260035960265827e-41,0.0,0.0,6.78995747434129e-41,0.0,6.5922842600288296e-09,6.5922842600288296e-09,2.6701614721478732e-31,-132.159921599216
4.5017299235756324e-41,0.0,0.0,9.221469713699516e-41,0.0,6.881613025960575e-09,6.881613025960575e-09,3.4462519418929778e-31,-131.9999199992
6.212708968235824e-41,0.0,0.0,1.2516984326371768e-40,0.0,7.18310399640909e-09,7.18310399640909e-09,4.445766804318156e-31,-131.839918399184
8.568940172138773e-41,0.0,0.0,1.6981097158979216e-40,0.0,7.497244021877697e-09,7.497244021877697e-09,5.732400033372762e-31,-131.67991679916798
1.1811844992124201e-40,0.0,0.0,2.3024926871251876e-40,0.0,7.824538369268168e-09,7.824538369268168e-09,7.387822579916666e-31,-131.519915199152
1.6272448098453726e-40,0.0,0.0,3.120306432886555e-40,0.0,8.165511373155923e-09,8.165511373155923e-09,9.516704421722732e-31,-131.35991359913598
2.2404361862958175e-40,0.0,0.0,4.226323217428692e-40,0.0,8.520707108250122e-09,8.520707108250122e-09,1.2253124905832673e-30,-131.19991199912
3.0828812018657877e-40,0.0,0.0,5.721298974657945e-40,0.0,8.890690083659127e-09,8.890690083659127e-09,1.5768751047122423e-30,-131.039910399104
4.2396062940186426e-40,0.0,0.0,7.740928440124882e-40,0.0,9.276045959590587e-09,9.276045959590587e-09,2.0283266133002146e-30,-130.87990879908799
5.826916496223243e-40,0.0,0.0,1.0467860746770533e-39,0.0,9.677382287136472e-09,9.677382287136472e-09,2.6077661129327668e-30,-130.719907199072
8.003806638532864e-40,0.0,0.0,1.4147812476260441e-39,0.0,1.0095329271806334e-08,1.0095329271806334e-08,3.351116624422121e-30,-130.55990559905598
