0-Bebarova 2008,1-Calloe 2011,2-Calloe 2011,3-Calloe 2013,4-Hayashi 2015,5-Kato 2014,7-Watanabe 2011b,8-Young 2005,sum,gauss,x
3.6520529138960346e-103,0.0,0.0,0.0,5.91057306454832e-42,9.105094049426822e-21,4.789345282854018e-242,4.4345458467828465e-70,9.105094049426822e-21,7.787386966998892e-28,-135.039950399504
7.475904792964278e-103,0.0,0.0,0.0,8.102545713061318e-42,1.0710386778894668e-20,2.811676667397205e-241,7.19582370334295e-70,1.0710386778894668e-20,9.450474021864856e-28,-134.879948799488
1.5286494466942416e-102,0.0,0.0,0.0,1.1101277141404028e-41,1.2594641514320735e-20,1.645959915252518e-240,1.1667637842781108e-69,1.2594641514320735e-20,1.1465104638971693e-27,-134.719947199472
3.1222630242355026e-102,0.0,0.0,0.0,1.520141288985867e-41,1.4805613365061345e-20,9.60810588995741e-240,1.8904118302248977e-69,1.4805613365061345e-20,1.3904809600640225e-27,-134.559945599456
6.370133137168681e-102,0.0,0.0,0.0,2.0804367691890395e-41,1.739910603997294e-20,5.592692685235354e-239,3.0605605278413273e-69,1.739910603997294e-20,1.685833437538737e-27,-134.39994399943998
1.2982100700680234e-101,0.0,0.0,0.0,2.8456706968264044e-41,2.04403064865118e-20,3.246151461429816e-238,4.951269656340912e-69,2.04403064865118e-20,2.0432752488139762e-27,-134.239942399424
2.6427670221161223e-101,0.0,0.0,0.0,3.8902213956505655e-41,2.400533712020886e-20,1.8788030312281604e-237,8.003929351418023e-69,2.400533712020886e-20,2.475720873612679e-27,-134.079940799408
5.373907972945163e-101,0.0,0.0,0.0,5.315248207958359e-41,2.8183060494630185e-20,1.0843222601809114e-236,1.292888206548958e-68,2.8183060494630185e-20,2.998741817933214e-27,-133.919939199392
1.09153838333027e-100,0.0,0.0,0.0,7.258256918216133e-41,3.307717674062873e-20,6.2402234857044935e-236,2.0868429264862132e-68,3.307717674062873e-20,3.6311071708430224e-27,-133.759937599376
2.2146507103854892e-100,0.0,0.0,0.0,9.906053725512508e-41,3.8808660426928257e-20,3.58101848281767e-235,3.3658101022951465e-68,3.8808660426928257e-20,4.395432871925026e-27,-133.59993599935999
4.488372666915862e-100,0.0,0.0,0.0,1.3512278153750655e-40,4.551859078934841e-20,2.0491683063851655e-234,5.424510047140381e-68,4.551859078934841e-20,5.318961293522075e-27,-133.439934399344
9.086361659454422e-100,0.0,0.0,0.0,1.8421119917580095e-40,5.3371437689768825e-20,1.169266067871791e-233,8.735796056674052e-68,5.3371437689768825e-20,6.434496982995478e-27,-133.27993279932798
1.83742055125378e-99,0.0,0.0,0.0,2.5099382561463616e-40,6.255887536592329e-20,6.652941609513448e-233,1.4057740285485788e-67,6.255887536592329e-20,7.781529473340162e-27,-133.119931199312
3.711458093764755e-99,0.0,0.0,0.0,3.4179806658757004e-40,7.330420721213953e-20,3.7746677078729365e-232,2.2604744615883028e-67,7.330420721213953e-20,9.407580112994458e-27,-132.959929599296
7.488554483903916e-99,0.0,0.0,0.0,4.651957311536873e-40,8.586749770967716e-20,2.1355433341222245e-231,3.632074553324381e-67,8.586749770967716e-20,1.1369817074462447e-26,-132.79992799928
1.509276699748521e-98,0.0,0.0,0.0,6.327926049019372e-40,1.0055152245654983e-19,1.204765992455116e-230,5.831509189848129e-67,1.0055152245654983e-19,1.3736991298634433e-26,-132.639926399264
3.0384855960904924e-98,0.0,0.0,0.0,8.602934669016278e-40,1.177086643203249e-19,6.77737724579925e-230,9.355741950545671e-67,1.177086643203249e-19,1.6591756381336108e-26,-132.47992479924798
6.110305681384418e-98,0.0,0.0,0.0,1.1689378195121868e-39,1.377489033850667e-19,3.801765009716846e-229,1.4998456408300036e-66,1.377489033850667e-19,2.0033447624033722e-26,-132.319923199232
1.227400041512771e-97,0.0,0.0,0.0,1.5874342646977856e-39,1.611490709654503e-19,2.1265398574082884e-228,2.402624802940773e-66,1.611490709654503e-19,2.4181410023833724e-26,-132.159921599216
2.4627865373281314e-97,0.0,0.0,0.0,2.154565225167245e-39,1.8846356395117863e-19,1.186114004295086e-227,3.845886005440565e-66,1.8846356395117863e-19,2.917898231030164e-26,-131.9999199992
4.936110224730037e-97,0.0,0.0,0.0,2.922692311384024e-39,2.203367456207136e-19,6.596962098189435e-227,6.151455956461495e-66,2.203367456207136e-19,3.519826477191684e-26,-131.839918399184
9.882353118622699e-97,0.0,0.0,0.0,3.9624710612307064e-39,2.575172933928376e-19,3.6586948831127525e-226,9.831742390795189e-66,2.575172933928376e-19,4.244582317409576e-26,-131.67991679916798
1.9763020819934996e-96,0.0,0.0,0.0,5.36918867201508e-39,3.008747934170425e-19,2.0233594676071488e-225,1.5701969264640822e-65,3.008747934170425e-19,5.1169510289640473e-26,-131.519915199152
3.947878052406675e-96,0.0,0.0,0.0,7.271278554908354e-39,3.5141892718163115e-19,1.115795350760968e-224,2.505813908411177e-65,3.5141892718163115e-19,6.16666213135985e-26,-131.35991359913598
7.877557302441672e-96,0.0,0.0,0.0,9.841752851885453e-39,4.1032164728788074e-19,6.135651694985679e-224,3.995899605177752e-65,4.1032164728788074e-19,7.429364075076157e-26,-131.19991199912
1.5701344908519504e-95,0.0,0.0,0.0,1.3313544140522154e-38,4.789427991679222e-19,3.364352533435964e-223,6.367242366687393e-65,4.789427991679222e-19,8.947788746904527e-26,-131.039910399104
3.1260763258352194e-95,0.0,0.0,0.0,1.8000081256295805e-38,5.588597139154382e-19,1.8395302966074267e-222,1.0138162660220918e-64,5.588597139154382e-19,1.0773142295376239e-25,-130.87990879908799
6.216983891991693e-95,0.0,0.0,0.0,2.432286918444984e-38,6.519013758113874e-19,1.0029448245392634e-221,1.6130141927483217e-64,6.519013758113874e-19,1.2966765708992108e-25,-130.719907199072
1.235029546594365e-94,0.0,0.0,0.0,3.2848436101326615e-38,7.60187857996828e-19,5.452702297996121e-221,2.5644142578422968e-64,7.60187857996828e-19,1.560211680693249e-25,-130.55990559905598
2.4507126594363e-94,0.0,0.0,0.0,4.433780070678517e-38,8.861758227058228e-19,2.9560459546800242e-220,4.073889427336197e-64,8.861758227058228e-19,1.876713506626486e-25,-130.39990399904
4.857635028514489e-94,0.0,0.0,0.0,5.981266475749426e-38,1.0327110003895225e-18,1.597994294261526e-219,6.466977531536069e-64,1.0327110003895225e-18,2.2567062294772455e-25,-130.239902399024
9.617779363729888e-94,0.0,0.0,0.0,8.064393505692238e-38,1.203088697056334e-18,8.613981130199276e-219,1.025804328188416e-63,1.203088697056334e-18,2.712780589904842e-25,-130.079900799008
1.9021386894648408e-93,0.0,0.0,0.0,1.0867003985814893e-37,1.4011235336425536e-18,4.630173409946568e-218,1.6259184625759515e-63,1.4011235336425536e-18,3.2599947788943245e-25,-129.919899198992
