0-Albert 2008,2-Bezzina 2003,3-Bezzina 2003,4-Ellinor 2008,5-Gosselin-Badaroudine 2012,6-Groenewegen 2003a,7-Groenewegen 2003a,8-Groenewegen 2003b,9-Guetter 2013,10-Gui 2010a,13-Rook 1999,14-Surber 2008,15-Vatta 2002b,18-Zhang 2008,sum,gauss,x
0.0,5.70671071599e-13,1.8559529367e-28,0.0,2.58132707757e-253,8.28285270039e-53,3.54289893335e-28,4.83594435454e-54,1.66722880996e-165,2.07763511767e-268,0.0,4.15940508231e-45,0.0,0.0,5.70671071599e-13,3.66714449681e-23,-132.639926399
0.0,6.13282382419e-13,2.26790028736e-28,0.0,2.8081134462e-252,1.23313028754e-52,4.30781567083e-28,7.16864330747e-54,5.58018989183e-165,1.51548310018e-267,0.0,5.64586197219e-45,0.0,0.0,6.13282382419e-13,4.29749983751e-23,-132.479924799
0.0,6.58997433656e-13,2.77032439417e-28,0.0,3.03975608897e-251,1.83458266416e-52,5.23613509337e-28,1.06195351231e-53,1.86404043534e-164,1.10186683073e-266,0.0,7.65983123352e-45,0.0,0.0,6.58997433656e-13,5.03489891899e-23,-132.319923199
0.0,7.08036360125e-13,3.38288293888e-28,0.0,3.27427612303e-250,2.7275008817e-52,6.36238516702e-28,1.57212435992e-53,6.21461543082e-164,7.98552205759e-266,0.0,1.03871894312e-44,0.0,0.0,7.08036360125e-13,5.89729270741e-23,-132.159921599
0.0,7.60634467916e-13,4.12945736521e-28,0.0,3.50949268222e-249,4.0522087291e-52,7.72830856963e-28,2.32584701937e-53,2.06788207348e-163,5.76864361555e-265,0.0,1.40788379133e-44,0.0,0.0,7.60634467916e-13,6.90560373098e-23,-131.999919999
0.0,8.17043247828e-13,5.03905010521e-28,0.0,3.74305197184e-248,6.01614104719e-52,9.38435295765e-28,3.43865220489e-53,6.86736066798e-163,4.15374944879e-264,0.0,1.90732838652e-44,0.0,0.0,8.17043247828e-13,8.08421143315e-23,-131.839918399
0.0,8.77531454236e-13,6.14687016811e-28,0.0,3.97246289561e-247,8.92572506483e-52,1.13914654316e-27,5.08052059193e-53,2.27617958795e-162,2.98128212268e-263,0.0,2.58270047242e-44,0.0,0.0,8.77531454236e-13,9.46151570586e-23,-131.679916799
0.0,9.42386253429e-13,7.49564615974e-28,0.0,4.19513863715e-246,1.32333041653e-51,1.382325254e-27,7.50137776881e-53,7.52966702264e-162,2.13285851352e-262,0.0,3.49552584741e-44,0.0,0.0,9.42386253429e-13,1.1070591016e-22,-131.519915199
0.0,1.01191444575e-12,9.13721380268e-28,0.0,4.40844332391e-245,1.9606152578e-51,1.67685793744e-27,1.10684476556e-52,2.48597981034e-161,1.52095795803e-261,0.0,4.72869061146e-44,0.0,0.0,1.01191444575e-12,1.29499454791e-22,-131.359913599
0.0,1.08644376609e-12,1.11344346479e-27,0.0,4.6097426654e-244,2.90279091451e-51,2.03346959227e-27,1.63209431294e-52,8.19166158603e-161,1.08110671306e-260,0.0,6.39380207621e-44,0.0,0.0,1.08644376609e-12,1.51444014758e-22,-131.199911999
