1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,8-Bankston 2007b,9-Baroudi 2000b,10-Baroudi 2001,11-Casini 2007,12-Deschenes 2000,13-Detta 2014,14-Huang 2009,15-Itoh 2005a,16-Itoh 2005b,18-Lin 2008,20-Lupoglazoff 2001,21-Makita 2002,22-Makiyama 2008,23-Mohler 2004,24-Moreau 2013,25-Neu 2010,26-Nguyen 2008,27-Smits 2005a,28-Smits 2005b,29-Viswanathan 2003,30-Wang 2002,31-Wang 2007a,32-Wang 2007b,33-Wang 2008,34-Wedekind 2001,35-Yang 2002,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,1.41223277152e-126,1.47242876257e-29,5.24187708047e-110,6.54564555649e-142,7.32931859907e-78,0.0,1.3091353281e-45,1.62977948362e-39,6.15616873421e-52,0.0,1.26865483844e-31,2.89530904577e-113,1.10561765539e-133,3.90377276832e-281,2.77487868622e-94,2.93267523458e-49,0.0,9.53998267992e-112,1.16039290895e-26,1.07787043553e-95,3.33533875571e-110,0.0,1.81124180082e-40,0.0,6.91817945047e-36,1.06399301897e-20,1.06399418085e-20,9.82948961109e-20,-136.4799648
0.0,0.0,0.0,0.0,0.0,0.0,3.18331941952e-126,1.82491322299e-29,1.26464869496e-109,1.85785943414e-141,1.42148740837e-77,0.0,1.87742804851e-45,2.14456396275e-39,8.93394974832e-52,0.0,1.59954668074e-31,7.17362736158e-113,3.11022942872e-133,3.39283170341e-280,5.91223860601e-94,4.3508990513e-49,0.0,2.23380946708e-111,1.39357380948e-26,2.19284150168e-95,8.09772177861e-110,0.0,2.4474223025e-40,0.0,8.92223188841e-36,1.24013444719e-20,1.2401358426e-20,1.12685853027e-19,-136.3199632
0.0,0.0,0.0,0.0,0.0,0.0,7.167176357e-126,2.26090793339e-29,3.04625785052e-109,5.26419548973e-141,2.75338235873e-77,0.0,2.69061123729e-45,2.82066497005e-39,1.2957057177e-51,0.0,2.01590355553e-31,1.77449952217e-112,8.73384207427e-133,2.93800003272e-279,1.25795754992e-93,6.45020398716e-49,0.0,5.22293218424e-111,1.67308352984e-26,4.45586720572e-95,1.96286697202e-109,0.0,3.30529332639e-40,0.0,1.15018137349e-35,1.4450041879e-20,1.44500586326e-20,1.29153906392e-19,-136.1599616
0.0,0.0,0.0,0.0,0.0,0.0,1.61179536373e-125,2.79998865498e-29,7.32617209806e-109,1.48905230985e-140,5.32640426944e-77,0.0,3.85343016043e-45,3.70822732742e-39,1.87801529354e-51,0.0,2.53958045392e-31,4.38234079538e-112,2.44818194352e-132,2.53485409283e-278,2.67292085868e-93,9.55536539175e-49,0.0,1.21941733721e-110,2.008019893e-26,9.0436043113e-95,4.75033238498e-109,0.0,4.46148783226e-40,0.0,1.48207538533e-35,1.683215736e-20,1.68321774685e-20,1.47994445987e-19,-135.99996
0.0,0.0,0.0,0.0,0.0,0.0,3.62047582929e-125,3.46627009013e-29,1.75914348862e-108,4.20481303396e-140,1.02907213421e-76,0.0,5.51509405748e-45,4.87285556649e-39,2.72033101766e-51,0.0,3.19796417237e-31,1.08051200423e-111,6.85026691269e-132,2.17904313545e-277,5.67168751846e-93,1.4144921953e-48,0.0,2.84289004412e-110,2.40924594505e-26,1.83330693092e-94,1.14778949283e-108,0.0,6.01891252594e-40,0.0,1.90890976337e-35,1.96011161246e-20,1.96011402521e-20,1.69544228049e-19,-135.8399584
0.0,0.0,0.0,0.0,0.0,0.0,8.12297920827e-125,4.28944656368e-29,4.21734478347e-108,1.18533801845e-139,1.98564498201e-76,0.0,7.88800624164e-45,6.40034038703e-39,3.9379868516e-51,0.0,4.025358873e-31,2.65978316026e-111,1.91336023591e-131,1.86633834908e-276,1.20183423719e-92,2.09234463258e-48,0.0,6.61816329409e-110,2.88972823388e-26,3.71204407147e-94,2.76888938166e-108,0.0,8.11568090858e-40,0.0,2.45760252428e-35,2.28187664172e-20,2.28187953577e-20,1.94187076034e-19,-135.6799568
0.0,0.0,0.0,0.0,0.0,0.0,1.82036706632e-124,5.30606857273e-29,1.00946355457e-107,3.33577329698e-139,3.82649789586e-76,0.0,1.12743226244e-44,8.40281782337e-39,5.69713682158e-51,0.0,5.06471497059e-31,6.53666239965e-111,5.33471769137e-131,1.59267302201e-275,2.5432141388e-92,3.09275337936e-48,0.0,1.5384543472e-109,3.46493908913e-26,7.50715499547e-94,6.66889810499e-108,0.0,1.09370578007e-39,0.0,3.16263468875e-35,2.65566852309e-20,2.65567199339e-20,2.2236035395e-19,-135.5199552
0.0,0.0,0.0,0.0,0.0,0.0,4.07470842106e-124,6.56110803304e-29,2.41243640681e-107,9.37151124701e-139,7.36453697646e-76,0.0,1.6103584701e-44,1.10267916369e-38,8.23699717011e-51,0.0,6.36978548342e-31,1.60383270882e-110,1.48474402777e-130,1.35417427311e-274,5.37436759645e-92,4.5681122607e-48,0.0,3.57109551938e-109,4.15333485265e-26,1.51642856521e-93,1.60364292562e-107,0.0,1.47314217802e-39,0.0,4.06815560601e-35,3.08976828806e-20,3.08977244802e-20,2.54562315142e-19,-135.3599536
0.0,0.0,0.0,0.0,0.0,0.0,9.11020275995e-124,8.10987673788e-29,5.75618571929e-107,2.62833986922e-138,1.41557703096e-75,0.0,2.29860081413e-44,1.44635776739e-38,1.1901756576e-50,0.0,8.00781437116e-31,3.92875787567e-110,4.12493566637e-130,1.1471869158e-273,1.13416930088e-91,6.7422934883e-48,0.0,8.27728748118e-109,4.97692420994e-26,3.05951682762e-93,3.85005007917e-107,0.0,1.98315853606e-39,0.0,5.23066881154e-35,3.5937536162e-20,3.59375860131e-20,2.91360442859e-19,-135.199952
0.0,0.0,0.0,0.0,0.0,0.0,2.0344802953e-123,1.00203767869e-28,1.37128402052e-106,7.35888818967e-138,2.71747563758e-75,0.0,3.27878878717e-44,1.89628949894e-38,1.71863277489e-50,0.0,1.00628866508e-30,9.60825787235e-110,1.14395309972e-129,9.68290124603e-273,2.39020135799e-91,9.94392741207e-48,0.0,1.91577424344e-108,5.96194337284e-26,6.16549643594e-93,9.22848051039e-107,0.0,2.66832555643e-39,0.0,6.72245695239e-35,4.1786984187e-20,4.17870439076e-20,3.33400914087e-19,-135.0399504
0.0,0.0,0.0,0.0,0.0,0.0,4.53808756797e-123,1.23761790884e-28,3.26162274136e-106,2.0568455197e-137,5.21005014573e-75,0.0,4.67382252179e-44,2.48505435109e-38,2.48019024677e-50,0.0,1.26401013864e-30,2.34599576438e-109,3.16682968063e-129,8.14307643725e-272,5.03033804193e-91,1.46550614817e-47,0.0,4.42761999341e-108,7.13965793536e-26,1.24098796917e-92,2.20850880508e-106,0.0,3.58830054126e-39,0.0,8.63594717984e-35,4.85740259643e-20,4.85740974859e-20,3.81419335295e-19,-134.879948799
0.0,0.0,0.0,0.0,0.0,0.0,1.01108157154e-122,1.52799471549e-28,7.74557621349e-106,5.73918117744e-137,9.9761332034e-75,0.0,6.65794009866e-44,3.25513861577e-38,3.57698221194e-50,0.0,1.58707674171e-30,5.71877466351e-109,8.75118049219e-129,6.82312317603e-271,1.05722137253e-90,2.15822516048e-47,0.0,1.02180040015e-107,8.54731485076e-26,2.49489002572e-92,5.2768310047e-106,0.0,4.82289068218e-39,0.0,1.10892727479e-34,5.64465644969e-20,5.64466501245e-20,4.36252917973e-19,-134.719947199
0.0,0.0,0.0,0.0,0.0,0.0,2.25005667146e-122,1.88577491127e-28,1.83648518999e-105,1.59866322305e-136,1.90777286442e-74,0.0,9.47799424718e-44,4.26192130555e-38,5.15559085929e-50,0.0,1.99188696713e-30,1.39178429832e-108,2.41398197609e-128,5.69625736273e-270,2.21891557471e-90,3.17603489084e-47,0.0,2.35467794336e-107,1.02292722586e-25,5.00979041668e-92,1.25878729613e-105,0.0,6.47880096638e-39,0.0,1.4233355406e-34,6.55754486778e-20,6.55755511611e-20,4.9885428367e-19,-134.559945599
0.0,0.0,0.0,0.0,0.0,0.0,5.00143532889e-122,2.32643321045e-28,4.34745227331e-105,4.44552260257e-136,3.6436377009e-74,0.0,1.34834766926e-43,5.57755304683e-38,7.42625724501e-50,0.0,2.49891132912e-30,3.38169214156e-108,6.64701796265e-128,4.73813778227e-269,4.65073617807e-90,4.6703904058e-47,0.0,5.41834534364e-107,1.2238339941e-25,1.00478241069e-91,2.99803453868e-105,0.0,8.69862224501e-39,0.0,1.82609203713e-34,7.61579717054e-20,7.6158094324e-20,5.70307112691e-19,-134.399943999
0.0,0.0,0.0,0.0,0.0,0.0,1.11042644831e-121,2.86895712787e-28,1.02753330958e-104,1.23409175397e-135,6.95004791813e-74,0.0,1.916885744e-43,7.29599178468e-38,1.06903374078e-49,0.0,3.13369262142e-30,8.20331505722e-108,1.8270276881e-127,3.92678803961e-268,9.73438930022e-90,6.86278689549e-47,0.0,1.24500635023e-106,1.46373691443e-25,2.01283791959e-91,7.12895752645e-105,0.0,1.16727965657e-38,0.0,2.34179660496e-34,8.84218932373e-20,8.8422039901e-20,6.51843878303e-19,-134.239942399
0.0,0.0,0.0,0.0,0.0,0.0,2.46251495166e-121,3.53663517555e-28,2.42477077741e-104,3.42003749522e-135,1.32398938341e-73,0.0,2.72332490053e-43,9.53953722318e-38,1.53795176766e-49,0.0,3.92808916249e-30,1.98672566453e-107,5.01289782792e-127,3.24249208573e-267,2.03470662177e-89,1.00769069485e-46,0.0,2.85657854602e-106,1.75011375278e-25,4.02744763471e-91,1.69246827868e-104,0.0,1.56555372143e-38,0.0,3.0018350338e-34,1.026300622e-19,1.02630237569e-19,7.44865939367e-19,-134.079940799
0.0,0.0,0.0,0.0,0.0,0.0,5.45458726013e-121,4.35801980907e-28,5.71293342726e-104,9.46178496349e-135,2.51898335852e-73,0.0,3.86644268991e-43,1.24673060689e-37,2.21117898429e-49,0.0,4.92181938414e-30,4.8037411804e-107,1.37296044156e-126,2.66766985484e-266,4.24718293524e-89,1.4785410622e-46,0.0,6.54471128122e-106,2.09185832781e-25,8.04887744386e-91,4.01162346466e-104,0.0,2.09859988989e-38,0.0,3.84623319852e-34,1.19085728244e-19,1.1908593787e-19,8.50966299404e-19,-133.919939199
0.0,0.0,0.0,0.0,0.0,0.0,1.20680986178e-120,5.36810339224e-28,1.34388259986e-103,2.6132085424e-134,4.78641318331e-73,0.0,5.48570675613e-43,1.62862193466e-37,3.17712981395e-49,0.0,6.164379971e-30,1.15961676549e-106,3.75364021199e-126,2.18673889119e-265,8.85332113199e-89,2.16779863993e-46,0.0,1.49728520612e-105,2.4995452188e-25,1.60666392448e-90,9.49346826888e-104,0.0,2.81164139885e-38,0.0,4.92601287794e-34,1.38138642461e-19,1.38138892959e-19,9.71955379524e-19,-133.759937599
0.0,0.0,0.0,0.0,0.0,0.0,2.66691851279e-120,6.6097537225e-28,3.1562921286e-103,7.20499782381e-134,9.08320603885e-73,0.0,7.77790241476e-43,2.12652396673e-37,4.56221661021e-49,0.0,7.71742685722e-30,2.79474738644e-106,1.02440740465e-125,1.78596715614e-264,1.8429669567e-88,3.17602487909e-46,0.0,3.42048975068e-105,2.98574329832e-25,3.2033108538e-90,2.2430283271e-103,0.0,3.76494664089e-38,0.0,6.30618364787e-34,1.60192062392e-19,1.60192361635e-19,1.10989019709e-18,-133.599935999
0.0,0.0,0.0,0.0,0.0,0.0,5.88673628557e-120,8.1354657001e-28,7.40127851623e-103,1.98313567867e-133,1.7215206525e-72,0.0,1.10204995828e-42,2.77538110724e-37,6.54706604863e-49,0.0,9.65772948611e-30,6.72455916755e-106,2.79073257898e-125,1.45332149945e-263,3.83120120815e-88,4.64973561153e-46,0.0,7.80264363328e-105,3.56538697182e-25,6.37907111218e-90,5.29114579404e-103,0.0,5.03879087709e-38,0.0,8.06954087381e-34,1.85710792758e-19,1.8571115012e-19,1.26710739195e-18,-133.439934399
0.0,0.0,0.0,0.0,0.0,0.0,1.29787645603e-119,1.00094979009e-27,1.73280621226e-102,5.44916290247e-133,3.25858760072e-72,0.0,1.56044679549e-42,3.62057307406e-37,9.38960715597e-49,0.0,1.20808347617e-29,1.61539326231e-105,7.58908091093e-125,1.1783155793e-262,7.95350309598e-88,6.80224123519e-46,0.0,1.77731730475e-104,4.25621559819e-25,1.26882029675e-89,1.24614854122e-102,0.0,6.74003972058e-38,0.0,1.03214848119e-33,2.15230412095e-19,2.1523083873e-19,1.44626059824e-18,-133.279932799
0.0,0.0,0.0,0.0,0.0,0.0,2.85815690535e-119,1.23104775766e-27,4.05048416725e-102,1.49474098866e-132,6.16014104523e-72,0.0,2.20803289746e-42,4.7210038081e-37,1.345792186e-48,0.0,1.51056092039e-29,3.8742344855e-105,2.06008714043e-124,9.5186034147e-262,1.64887612279e-87,9.94386472007e-46,0.0,4.0425731346e-104,5.07929343987e-25,2.52073450503e-89,2.93018481489e-102,0.0,9.01087966889e-38,0.0,1.31961325864e-33,2.49367856759e-19,2.49368365935e-19,1.65036272316e-18,-133.119931199
0.0,0.0,0.0,0.0,0.0,0.0,6.28684449483e-119,1.51345754979e-27,9.4531723351e-102,4.09318039835e-132,1.16304362048e-71,0.0,3.12227394093e-42,6.15309652505e-37,1.92769562458e-48,0.0,1.88798673534e-29,9.2765550352e-105,5.58222640322e-124,7.66119535632e-261,3.41368689439e-87,1.45257241396e-45,0.0,9.18164549143e-104,6.05962469488e-25,5.00193922498e-89,6.87900029801e-102,0.0,1.20403895203e-37,0.0,1.68640663976e-33,2.88833558086e-19,2.8883416558e-19,1.88283376487e-18,-132.959929599
0.0,0.0,0.0,0.0,0.0,0.0,1.38125323641e-118,1.8599373728e-27,2.20273323999e-101,1.11896014143e-131,2.19303439333e-71,0.0,4.4121001289e-42,8.01595829669e-37,2.75948984604e-48,0.0,2.3587343169e-29,2.21758735147e-104,1.50992282183e-123,6.14372166396e-260,7.05773620328e-87,2.12031206238e-45,0.0,2.08234590909e-103,7.22688075526e-25,9.91366023104e-89,1.61235533179e-101,0.0,1.60798686424e-37,0.0,2.1542151555e-33,3.34445356121e-19,3.34446080693e-19,2.14755488208e-18,-132.799927999
