0-Abriel 2000,1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,7-An 1998,8-Bankston 2007b,9-Baroudi 2000b,10-Baroudi 2001,11-Casini 2007,12-Deschenes 2000,14-Huang 2009,17-Itoh 2007,18-Lin 2008,19-Liu 2002,20-Lupoglazoff 2001,21-Makita 2002,22-Makiyama 2008,23-Mohler 2004,24-Moreau 2013,25-Neu 2010,26-Nguyen 2008,27-Smits 2005a,28-Smits 2005b,29-Viswanathan 2003,30-Wang 2002,31-Wang 2007a,33-Wang 2008,34-Wedekind 2001,35-Yang 2002,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,6.978106320232653e-21,1.6526847285146358e-61,3.958981612415641e-133,4.58209119224476e-19,2.3729298727588518e-88,1.0426724674061646e-12,1.2471582212971571e-50,1.9264227616691813e-21,4.832235760603044e-46,1.8403581394348525e-55,1.5894887966252473e-26,5.9572985193849735e-36,1.800331411709625e-24,2.0071366839928212e-42,0.0,1.446482870705043e-23,9.830781240149558e-30,8.130704615745864e-81,1.3437725862903233e-41,4.05631421283899e-09,1.0643325018425248e-40,3.219570704939269e-11,4.2810587279497436e-29,4.2810587279497436e-29,1.5976042238314175e-16,0.0,4.0895527525833416e-09,1.7304992498346135e-05,-137.279972799728
0.0,0.0,0.0,0.0,0.0,0.0,8.759526017026534e-21,2.850644815324829e-61,1.685353396353992e-132,5.95707273791197e-19,9.634444114657548e-88,1.1961387985302431e-12,2.998195719031458e-50,2.7713166053258874e-21,9.540756297857604e-46,5.044471855757185e-55,2.0735519815490033e-26,1.01993411690534e-35,2.5204380952610195e-24,3.26519078293791e-42,0.0,2.0103608647218976e-23,1.4961451604627508e-29,2.6860554596258907e-80,2.424462944199108e-41,4.515178617282373e-09,1.8033130583330183e-40,3.766213424847136e-11,6.360276436397661e-29,6.360276436397661e-29,2.0463827646089713e-16,0.0,4.554037095574911e-09,1.809031913671337e-05,-137.11997119971198
0.0,0.0,0.0,0.0,0.0,0.0,1.0988628890523353e-20,4.9114942933233394e-61,7.14946182409879e-132,7.737264642868001e-19,3.892168490032464e-87,1.3715805462687024e-12,7.182356840557715e-50,3.98045482145375e-21,1.8793018399571157e-45,1.3768699638666785e-54,2.7032309357619316e-26,1.7428481568361226e-35,3.524467825211699e-24,5.304790410973471e-42,0.0,2.790799821723306e-23,2.273679001763879e-29,8.838214845379465e-80,4.3656351908575527e-41,5.023707542730252e-09,3.0504437881448645e-40,4.402641599977033e-11,9.436838285340141e-29,9.436838285340141e-29,2.6185722665671157e-16,0.0,5.069105801922245e-09,1.890876631209888e-05,-136.959969599696
0.0,0.0,0.0,0.0,0.0,0.0,1.3776099829963088e-20,8.452819982609919e-61,3.022251469745762e-131,1.0039853458502087e-18,1.5645153017553874e-86,1.5720527806730166e-12,1.7145199773955637e-49,5.708095966378261e-21,3.693085172795894e-45,3.742260488124347e-54,3.521779299930381e-26,2.9724301638115967e-35,4.92271852795934e-24,8.607082236081899e-42,0.0,3.8696999399900825e-23,3.450279585204496e-29,2.896522596483748e-79,7.845514866332635e-41,5.587014900141348e-09,5.1517291401448305e-40,5.143078869978208e-11,1.3983076983726685e-28,1.3983076983726685e-28,3.347358933685851e-16,0.0,5.64001807738121e-09,1.976160952533084e-05,-136.79996799968
0.0,0.0,0.0,0.0,0.0,0.0,1.7259528643440374e-20,1.4531385933839922e-60,1.2731005871195212e-130,1.3015254658084685e-18,6.2573609865329936e-86,1.801021912701474e-12,4.0783706634154616e-49,8.172630141137473e-21,7.240376618183217e-45,1.0128356236643518e-53,4.5851324956271686e-26,5.059742837172363e-35,6.867685477092932e-24,1.3946708685973992e-41,0.0,5.359445190466975e-23,5.228163308311152e-29,9.454794080421692e-79,1.4071408628438259e-40,6.210711811785552e-09,8.686425754584068e-40,6.003914259646451e-11,2.0692106229672823e-28,2.0692106229672823e-28,4.2746447595628764e-16,0.0,6.272552405086212e-09,2.0650167841594166e-05,-136.639966399664
0.0,0.0,0.0,0.0,0.0,0.0,2.1609835239832752e-20,2.495340959262704e-60,5.344040175412932e-130,1.6856342221359433e-18,2.4901517700996545e-85,2.0624191752709662e-12,9.6671712352548e-49,1.1682732588801666e-20,1.4161590732194918e-44,2.7296551711845614e-53,5.965576361331178e-26,8.59626717020354e-35,9.569951335019878e-24,2.2569168624771851e-41,0.0,7.414063749389451e-23,7.910678233393014e-29,3.0739019870339493e-78,2.5188123699318505e-40,6.90095178386324e-09,1.4622690857443823e-39,7.00401753203337e-11,3.057963975128703e-28,3.057963975128703e-28,5.453280026632129e-16,0.0,6.973054925405859e-09,2.1575805136781826e-05,-136.479964799648
0.0,0.0,0.0,0.0,0.0,0.0,2.7039201075982287e-20,4.280260430976767e-60,2.2353811553370302e-129,2.1810186709873253e-18,9.860152611438824e-85,2.3607007945935054e-12,2.283393189501168e-48,1.6673970895136824e-20,2.763388651530772e-44,7.32555397209431e-53,7.756462449168642e-26,1.4576593458207943e-34,1.3319962441485958e-23,3.6474340471176914e-41,0.0,1.0244404942870391e-22,1.1952204460929236e-28,9.953842029276327e-78,4.499830729113506e-40,7.664479655107145e-09,2.4576021654507067e-39,8.165098217071758e-11,4.513212113640593e-28,4.513212113640593e-28,6.949852621415913e-16,0.0,7.748492035282566e-09,2.253993136946526e-05,-136.31996319963199
0.0,0.0,0.0,0.0,0.0,0.0,3.381085320169268e-20,7.333780953811605e-60,9.317691590008617e-129,2.8192968156940595e-18,3.8847642512058774e-84,2.700915653398237e-12,5.37440714996208e-48,2.375995720795236e-20,5.379611940202725e-44,1.957658899392147e-52,1.0078264342740691e-25,2.4669869617506824e-34,1.8517835002946692e-23,5.886909896705176e-41,0.0,1.4138752657401867e-22,1.8032337468080934e-28,3.2103638748607037e-77,8.02303439507596e-40,8.508684604519628e-09,4.1237654852080283e-39,9.512114022918987e-11,6.6521929900907095e-28,6.6521929900907095e-28,8.848169141793243e-16,0.0,8.60650754809616e-09,2.354400387859289e-05,-136.159961599616
0.0,0.0,0.0,0.0,0.0,0.0,4.2251125259348734e-20,1.2551716316722002e-59,3.8702583163483564e-128,3.640890284200951e-18,1.522891324268225e-83,3.0887813390894607e-12,1.2605178499311654e-47,3.380370330116745e-20,1.0448139836831403e-43,5.2095167551015156e-52,1.3086350921230651e-25,4.167180796289854e-34,2.571410180494788e-23,9.488889391011036e-41,0.0,1.9490787922209822e-22,2.716600384351387e-28,1.0312894211511719e-76,1.4276549258967902e-39,9.441657519562526e-09,6.908351612631753e-39,1.1073735033046723e-10,9.791960439513341e-28,9.791960439513341e-28,1.1253594502421272e-15,0.0,9.555484780308698e-09,2.458952870701447e-05,-135.9999599996
0.0,0.0,0.0,0.0,0.0,0.0,5.276431502290118e-20,2.145832096111958e-59,1.6019407482701827e-127,4.6974239406274586e-18,5.940135733187058e-83,3.5307695711910967e-12,2.946022155352052e-47,4.8016988667033116e-20,2.0244453281252826e-43,1.380453305227345e-51,1.698095631522083e-25,7.0255852506198576e-34,3.566534642728257e-23,1.5274655862267523e-40,0.0,2.6837473827291164e-22,4.08666659581519e-28,3.2996635034933845e-76,2.5354202778792628e-39,1.0472253045146992e-08,1.1554549136256748e-38,1.2882870865732948e-10,1.4394619020464278e-27,1.4394619020464278e-27,1.4298455689298251e-15,0.0,1.060461395801959e-08,2.567806195090081e-05,-135.839958399584
