0-Bebarova 2008,1-Cheng 2010,2-Cheng 2010,3-Cheng 2011,4-Ge 2008,5-Hoshi 2014,6-Hsueh 2009,7-Hu 2015,8-Juang 2014a,9-Kapplinger 2015,10-Kapplinger 2015,11-Kapplinger 2015,12-Kapplinger 2015,13-Kapplinger 2015,15-Sarhan 2009,16-Shinlapawittayatorn 2011a,17-Shinlapawittayatorn 2011b,18-Tan 2005,19-Tan 2005,20-Tan 2005,21-Tan 2005,22-Tan 2005,23-Tan 2005,24-Tan 2005,25-Tan 2005,26-Tan 2006,27-Watanabe 2011b,28-Watanabe 2011b,29-Zeng 2013,sum,gauss,x
1.0925850503775914e-119,3.362833637180644e-106,4.246539270789502e-136,1.54148169047102e-52,5.0547833157603496e-21,2.507783158310173e-119,2.654785322500721e-47,5.053412457106541e-12,2.618227628057468e-302,1.9211706472129e-310,1.2584106564460128e-67,5.142174059096321e-65,7.157176281362905e-76,2.493656412821134e-156,4.253039056958789e-56,1.8884581836469682e-26,5.070825715727705e-66,1.28769934895657e-30,4.608236035773445e-102,1.2154962619301313e-32,3.702976957035869e-14,2.3818474098549464e-21,1.9259982545271182e-56,2.058092618960695e-35,0.0,3.525035963315769e-36,1.454313575138172e-29,4.4972107439775545e-59,1.0380309530072875e-35,5.090442234113548e-12,6.015713497805143e-11,-138.39998399984
3.610663321479301e-119,1.0299895213715e-105,1.894297626083041e-135,2.7228474825490663e-52,6.280396629714815e-21,1.072151830868684e-118,4.83843746814046e-47,5.6221101816313315e-12,1.8143654361166026e-300,1.810561504598252e-308,2.8327452954194058e-67,1.1598382705213272e-64,2.0136327804120902e-75,1.7758176396087429e-155,1.6390213311161887e-55,2.7261822107158553e-26,1.3533658447114499e-65,1.767312900500735e-30,1.5398296297640296e-101,1.7829787276809664e-32,4.2247520903790784e-14,3.011087051115614e-21,3.8603574963655755e-56,3.0857155461979637e-35,0.0,5.336738327880635e-36,2.0820177501179986e-29,1.0424886559036646e-58,1.5746662569602137e-35,5.664357711826633e-12,6.753986488659377e-11,-138.239982399824
1.190037351906041e-118,3.1463835268616457e-105,8.419241684032261e-135,4.8027261858610026e-52,7.798634557471125e-21,4.56569436833145e-118,8.802555314186536e-47,6.252977902893899e-12,1.2409937531460674e-298,1.6815407144368295e-306,6.362496382727286e-67,2.6099810528172288e-64,5.647146584755172e-75,1.2577213742797474e-154,6.2694348563628974e-55,3.930545234202125e-26,3.6000129449441927e-65,2.4236225048798553e-30,5.128860164989985e-101,2.612558265891389e-32,4.818335433703063e-14,3.804025791481188e-21,7.722204145782398e-56,4.621301494385304e-35,0.0,8.070382618132059e-36,2.977471003609895e-29,2.4099343888976784e-58,2.3859463693397255e-35,6.3011612688336296e-12,7.580370857380588e-11,-138.079980799808
3.9117946620344506e-118,9.586099720291968e-105,3.7282877980170155e-134,8.459250893619244e-52,9.678254481641439e-21,1.936607524724567e-117,1.5986018030751616e-46,6.952602025070794e-12,8.378029700970426e-297,1.5390341516734025e-304,1.4258782740557963e-66,5.859580599610932e-64,1.5786580891023464e-74,8.85920685225907e-154,2.3802947357158842e-54,5.659800588602608e-26,9.544325359622054e-65,3.321001432690494e-30,1.7028612961471247e-100,3.823957856091179e-32,5.493364451452732e-14,4.802577260705992e-21,1.5416903322482515e-55,6.913375689613812e-35,0.0,1.219040686960976e-35,4.2535094014875754e-29,5.555777991413999e-58,3.610994049101485e-35,7.00753568406621e-12,8.50507097107685e-11,-137.919979199792
1.2824291018141045e-117,2.912887118294216e-104,1.6449684535243113e-133,1.4878376743147242e-51,1.2003902915006126e-20,8.182021724710237e-117,2.8980090651109785e-46,7.728243237090678e-12,5.58266624563402e-295,1.388148384720177e-302,3.188395862995056e-66,1.3124566519759917e-63,4.3990340890226e-74,6.206254305627009e-153,8.969983242904425e-54,8.139540220381516e-26,2.521963122564198e-64,4.5470078798825095e-30,5.635700700870345e-100,5.590974334574105e-32,6.260735784266598e-14,6.059210404141758e-21,3.0718155651576124e-55,1.0330788117184967e-34,0.0,1.8392812189616514e-35,6.069934387795968e-29,1.2772924056492835e-57,5.458669582162201e-35,7.790850612996539e-12,9.539435006752729e-11,-137.759977599776
4.193074107153084e-117,8.827887643633644e-104,7.231317148539323e-133,2.6131164505393478e-51,1.4879724172819288e-20,3.4432128941732894e-116,5.244294671517499e-46,8.587902986075388e-12,3.6717144838404574e-293,1.2338725203875582e-300,7.113722241969451e-66,2.9328689813419405e-63,1.221903209195917e-73,4.324029186822128e-152,3.3551433547968555e-53,1.1690929167775383e-25,6.641780987717659e-64,6.220637701510729e-30,1.8592029360902888e-99,8.165620443479793e-32,7.132765077012387e-14,7.639562224619025e-21,6.1085093298993864e-55,1.5420348590602046e-34,0.0,2.77194067355249e-35,8.652813427379971e-29,2.928475263287561e-57,8.242155047971834e-35,8.659230659364915e-12,1.0696078652167373e-10,-137.59997599976
1.3673307146518014e-116,2.6683412425577406e-103,3.1672980673725514e-132,4.582912266753195e-51,1.8433773912392074e-20,1.443282541005314e-115,9.473322852185377e-46,9.540396233703591e-12,2.383546393201757e-291,1.0808152337921296e-298,1.5836399639818742e-65,6.538672935343509e-63,3.383190972565986e-73,2.9962082182409832e-151,1.2456300701705206e-52,1.6770599868306308e-25,1.7433423979741563e-63,8.50347945924325e-30,6.113865808808858e-99,1.1912918442970598e-31,8.123366467724534e-14,9.625685714279247e-21,1.2123205407013018e-54,2.2991768049611523e-34,0.0,4.172780933882187e-35,1.2321609068768847e-28,6.695739866608909e-57,1.2430502697026367e-34,9.621629926440464e-12,1.198902166420031e-10,-137.439974399744
4.446890743120736e-116,8.044098320931969e-103,1.3822040264141464e-131,8.026087492496375e-51,2.282341367953752e-20,6.025916016842173e-115,1.708226661662748e-45,1.059543106164013e-11,1.5272347069986212e-289,9.32995153042905e-297,3.517635889274327e-65,1.4543730711745387e-62,9.33741047738525e-73,2.0648080733046763e-150,4.590136918537331e-52,2.40269462769268e-25,4.5607173393878335e-63,1.1614779870979167e-29,2.0040808489526738e-98,1.736098800987692e-31,9.248254074444784e-14,1.2120084517375297e-20,2.401274466299641e-54,3.4242699008397606e-34,0.0,6.274412961688219e-35,1.7527269124667447e-28,1.5267269378727877e-56,1.8725375836925228e-34,1.0687913637328317e-11,1.343383856281445e-10,-137.279972799728
1.4423850328756928e-115,2.41860419195609e-102,6.00989747101586e-131,1.4036078966250469e-50,2.824190038731559e-20,2.505988222125676e-114,3.074797781403839e-45,1.1763695740449692e-11,9.658627772839161e-288,7.936958013778236e-295,7.796150174294616e-65,3.2273888400024103e-62,2.5688374182360805e-72,1.4151800996629265e-149,1.6788842321978748e-51,3.4379453568115944e-25,1.1891480933999295e-62,1.5851773454495221e-29,6.54824324199121e-98,2.527306968188327e-31,1.0525168084426615e-13,1.5250721311546688e-20,4.746880069238286e-54,5.094259315810895e-34,0.0,9.423808938241283e-35,2.490564697397096e-28,3.4716021372873695e-56,2.817515625104065e-34,1.1868947464786925e-11,1.5047824859435474e-10,-137.11997119971198
4.666033079537891e-115,7.252765935400632e-102,2.6035964068033486e-130,2.4511352913611174e-50,3.492643037558099e-20,1.0380522421247454e-113,5.5247868535390123e-45,1.305695392852268e-11,6.0291007693772175e-286,6.653888871764852e-293,1.7240283003775036e-64,7.145226812695072e-62,7.044610992073626e-72,9.64646206323365e-149,6.095009880623303e-51,4.913034051990218e-25,3.0902317752788207e-62,2.161709286226787e-29,2.132772826278987e-97,3.6750972980239053e-31,1.1974128346941306e-13,1.917723046197462e-20,9.365195181236616e-54,7.570273135382632e-34,0.0,1.4137926037163173e-34,3.535233825166261e-28,7.87234844622054e-56,4.234440766968092e-34,1.3176695266096245e-11,1.68501803500093e-10,-136.959969599696
