0-Abriel 2000,1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,7-Albert 2008,8-An 1998,9-An 1998,10-Bankston 2007b,11-Baroudi 2000a,12-Baroudi 2000a,13-Baroudi 2000b,14-Baroudi 2001,15-Bezzina 2003,16-Bezzina 2003,17-Casini 2007,18-Deschenes 2000,20-Ellinor 2008,21-Groenewegen 2003a,22-Groenewegen 2003a,23-Groenewegen 2003b,24-Guetter 2013,25-Guetter 2013,26-Gui 2010a,27-Gui 2010a,28-Gui 2010b,29-Huang 2009,32-Itoh 2007,33-Kato 2014,34-Lin 2008,35-Liu 2002,36-Lupoglazoff 2001,37-Makita 1998,38-Makita 2002,39-Makiyama 2008,40-Mohler 2004,41-Moreau 2013,42-Murphy 2012,43-Neu 2010,44-Nguyen 2008,45-Rook 1999,46-Shirai 2002,47-Smits 2005a,48-Smits 2005b,49-Surber 2008,50-Surber 2008,51-Tan 2002,52-Tarradas 2013,53-Viswanathan 2003,54-Wang 1996,55-Wang 2002,56-Wang 2007a,58-Wang 2008,59-Wang 2015,60-Wedekind 2001,61-Wei 1999,62-Wei 1999,63-Yang 2002,64-Ye 2003,65-Young 2005,66-Zhang 2008,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,4.94304827143e-22,0.0,1.08915545229e-38,2.22119207113e-63,5.01683082304e-138,5.32036931565e-13,0.0,5.87419957375e-20,1.7850975883e-93,7.01830860428e-09,5.91367581253e-15,2.01504557406e-13,5.75020458274e-54,0.0,5.17361907994e-19,1.73251784703e-25,3.8386491631e-52,7.36174411045e-29,1.24988836006e-74,3.49458813617e-63,4.84070122294e-143,7.31533235772e-79,5.11974203001e-23,1.37031560388e-48,1.0955718882e-10,4.42839654287e-59,3.82011245154e-28,5.66830380002e-38,2.24344492721e-60,8.45902876601e-26,5.55550185692e-44,0.0,7.15189759102e-25,4.97749277824e-11,1.76824402404e-31,6.66251376563e-85,0.0,3.42244036621e-14,7.23733348786e-44,9.68056791054e-10,1.71391959697e-82,4.54443665553e-68,6.0732776059e-27,3.19567323096e-80,1.09880216435e-42,7.7814766998e-42,7.87957440621e-12,1.62621129209e-30,1.62621129209e-30,3.97109395068e-155,7.56281881069e-18,2.60366784784e-76,6.58067975653e-162,0.0,3.26767106125e-06,6.49216111951e-18,0.0,3.27582541203e-06,3.12247851954e-06,-138.399984
0.0,0.0,0.0,0.0,0.0,0.0,6.23302331301e-22,0.0,1.59165252034e-38,3.86115399011e-63,2.18883400331e-137,6.42197906868e-13,0.0,7.68812181444e-20,7.50656476082e-93,7.42796907e-09,6.85114534757e-15,2.31886824656e-13,1.41690819539e-53,0.0,6.33623808615e-19,2.22494295024e-25,6.91785720068e-52,1.04789888722e-28,2.73410021226e-74,7.58099766782e-63,2.08017083232e-142,1.9011488819e-78,7.44729466015e-23,2.75043857785e-48,1.20378440341e-10,1.25029588264e-58,5.00677692883e-28,9.83610468389e-38,4.08459393299e-60,1.19395100455e-25,9.12133756049e-44,0.0,1.00213087039e-24,5.75579798328e-11,2.71856591685e-31,2.26352554348e-84,0.0,4.06184600712e-14,1.32395595748e-43,1.0809403056e-09,3.90990858116e-82,1.01304345296e-67,8.90826090358e-27,9.17991436723e-80,1.882897323e-42,1.61033256355e-41,9.26188961807e-12,2.43849446907e-30,2.43849446907e-30,2.16830214939e-154,9.75621108315e-18,5.30220822952e-76,4.03003550901e-161,0.0,3.37874306038e-06,7.50250436637e-18,0.0,3.38744008964e-06,3.28537213224e-06,-138.2399824
0.0,0.0,0.0,0.0,0.0,0.0,7.85457201556e-22,0.0,2.32391192671e-38,6.70448728234e-63,9.51636459585e-137,7.74542118979e-13,0.0,1.0052571902e-19,3.14082486473e-92,7.86035269689e-09,7.93371071115e-15,2.6673090686e-13,3.47911433196e-53,0.0,7.75559357732e-19,2.85552206173e-25,1.244761827e-51,1.49006038117e-28,5.96962804546e-74,1.64101029645e-62,8.90953679149e-142,4.92781449842e-78,1.08158587867e-22,5.50759944035e-48,1.3223197691e-10,3.51514273476e-58,6.55769333241e-28,1.70356159872e-37,7.42650180479e-60,1.68324156831e-25,1.4956218942e-43,0.0,1.40256027195e-24,6.65154437472e-11,4.17356570725e-31,7.65941264738e-84,0.0,4.81766838441e-14,2.41718899694e-43,1.2064481261e-09,8.90291854933e-82,2.25336047463e-67,1.30487468092e-26,2.62870761224e-79,3.22130514073e-42,3.32249193459e-41,1.08792231897e-11,3.65167646226e-30,3.65167646226e-30,1.17904911308e-153,1.25729939226e-17,1.07812743946e-75,2.45689226952e-160,0.0,3.49315923849e-06,8.66730834772e-18,0.0,3.50243676336e-06,3.45627426692e-06,-138.0799808
0.0,0.0,0.0,0.0,0.0,0.0,9.89159156636e-22,0.0,3.39003420743e-38,1.16287078843e-62,4.12291321651e-136,9.33405253419e-13,0.0,1.31316559027e-19,1.30758345684e-91,8.31664762842e-09,9.18326361012e-15,3.06673801549e-13,8.51263990214e-53,0.0,9.48735417426e-19,3.66250003511e-25,2.23626067281e-51,2.11657753667e-28,1.30097740478e-73,3.544466101e-62,3.80344067995e-141,1.27393928327e-77,1.56832292696e-22,1.10027638528e-47,1.452125714e-10,9.84094928427e-58,8.58330865394e-28,2.94480958075e-37,1.34840893545e-59,2.37028369493e-25,2.44913742354e-43,0.0,1.96070639197e-24,7.68177334282e-11,6.39800185333e-31,2.58147737257e-83,0.0,5.71052759906e-14,4.40443085467e-43,1.3459274878e-09,2.02342837329e-81,5.00135691485e-67,1.90875752338e-26,7.50366303515e-79,5.50218500823e-42,6.83450557271e-41,1.27701976149e-11,5.46120556732e-30,5.46120556732e-30,6.38478751909e-153,1.61866228788e-17,2.18889807867e-75,1.4910852699e-159,0.0,3.61100411323e-06,1.00097506882e-17,0.0,3.62090279524e-06,3.63555187745e-06,-137.9199792
0.0,0.0,0.0,0.0,0.0,0.0,1.24488633653e-21,0.0,4.94084816906e-38,2.01472043659e-62,1.77996797759e-135,1.12394352667e-12,0.0,1.71374884009e-19,5.41649475066e-91,8.79809991259e-09,1.06249098217e-14,3.52440719619e-13,2.07552704515e-52,0.0,1.15990307968e-18,4.69456366063e-25,4.0112533035e-51,3.00338027721e-28,2.82997027636e-73,7.639148041e-62,1.61831689232e-140,3.28472688238e-77,2.27050250976e-22,2.19290736134e-47,1.59423334067e-10,2.74343634817e-57,1.12271395932e-27,5.08067329469e-37,2.44489876122e-59,3.33386607182e-25,4.00527693333e-43,0.0,2.73777362366e-24,8.86589392258e-11,9.79379899809e-31,8.66570628738e-83,0.0,6.76458955125e-14,8.00960504116e-43,1.50086192313e-09,4.59021374779e-81,1.10764247873e-66,2.78829551661e-26,2.13516651955e-78,9.3828896495e-42,1.40166773029e-40,1.49795509683e-11,8.15662453238e-30,8.15662453238e-30,3.44320958857e-152,2.08177513353e-17,4.43734403185e-75,9.00861384098e-159,0.0,3.73236376771e-06,1.15564194645e-17,0.0,3.74292734606e-06,3.82358732997e-06,-137.7599776
0.0,0.0,0.0,0.0,0.0,0.0,1.56571639777e-21,0.0,7.19468771766e-38,3.48670788121e-62,7.65764202033e-135,1.35228362081e-12,0.0,2.23439642262e-19,2.23249475923e-90,9.3060160878e-09,1.22874274135e-14,4.04856903542e-13,5.04267645409e-52,0.0,1.41724458425e-18,6.01365217662e-25,7.18388292045e-51,4.25728077014e-28,6.14445874608e-73,1.6428337027e-61,6.86302982417e-140,8.44706733429e-77,3.28186334455e-22,4.36031462373e-47,1.74976411415e-10,7.61581960929e-57,1.46755464348e-27,8.74883038703e-37,4.42692400864e-59,4.68370904537e-25,6.541539966e-43,0.0,3.81835624251e-24,1.02259960066e-10,1.49702044076e-30,2.89735956487e-82,0.0,8.00815646101e-14,1.45369910604e-42,1.67288421746e-09,1.03936388343e-80,2.44774366552e-66,4.06755018714e-26,6.05644205151e-78,1.59748255433e-41,2.86601100965e-40,1.75590662678e-11,1.2166289124e-29,1.2166289124e-29,1.84919592013e-151,2.67467741229e-17,8.98178765214e-75,5.41816949983e-158,0.0,3.85732586002e-06,1.3337804778e-17,0.0,3.86860140531e-06,4.02077898026e-06,-137.599976
0.0,0.0,0.0,0.0,0.0,0.0,1.96796048838e-21,0.0,1.04673175681e-37,6.02745221412e-62,3.28286335342e-134,1.62569897969e-12,0.0,2.91044002747e-19,9.1555783134e-90,9.8417658715e-09,1.42037882423e-14,4.64860972418e-13,1.22085021529e-51,0.0,1.73067064444e-18,7.69851314255e-25,1.28457628578e-50,6.02837261709e-28,1.33160381202e-72,3.52530631824e-61,2.90090564744e-139,2.16655043632e-76,4.73621067372e-22,8.64956801406e-47,1.91993740471e-10,2.1052432063e-56,1.91703572005e-27,1.50363837472e-36,8.00470223783e-59,6.57242451446e-25,1.06697809452e-42,0.0,5.3192364116e-24,1.17872027207e-10,2.28493575128e-30,9.64858466262e-82,0.0,9.47435235976e-14,2.63317705855e-42,1.86379050723e-09,2.34904843828e-80,5.39742785437e-66,5.92561077028e-26,1.71250074487e-77,2.71539950994e-41,5.84259039241e-40,2.05686357081e-11,1.8123059219e-29,1.8123059219e-29,9.89019493073e-151,3.43296225796e-17,1.81528402517e-74,3.24404095481e-157,0.0,3.9859796322e-06,1.53888596515e-17,0.0,3.99801782254e-06,4.22754176935e-06,-137.4399744
0.0,0.0,0.0,0.0,0.0,0.0,2.47194910237e-21,0.0,1.5214996777e-37,1.04080514268e-61,1.40244367082e-133,1.95281690721e-12,0.0,3.78741116997e-19,3.73597815145e-89,1.04067849552e-08,1.64117511707e-14,5.33519983322e-13,2.9453183086e-51,0.0,2.11217824444e-18,9.84919833932e-25,2.29341184635e-50,8.52734257533e-28,2.88042164113e-72,7.54839629913e-61,1.22212807077e-138,5.5422716365e-76,6.82422823322e-22,1.71178831372e-46,2.10607862556e-10,5.79497765923e-56,2.50251618657e-27,2.57929775993e-36,1.44540723343e-58,9.21202788771e-25,1.73803717777e-42,0.0,7.4014375672e-24,1.35780665418e-10,3.48249077142e-30,3.20027733953e-81,0.0,1.120191825e-13,4.76022761195e-42,2.07555561198e-09,5.29914692758e-80,1.18757852256e-65,8.62063789152e-26,4.8269339867e-77,4.60818008178e-41,1.18748417973e-39,2.40774783346e-11,2.69606650518e-29,2.69606650518e-29,5.26779946112e-150,4.40176317513e-17,3.66326645427e-74,1.93356686279e-156,0.0,4.11841591844e-06,1.77496398008e-17,0.0,4.13127133985e-06,4.44430783788e-06,-137.2799728
0.0,0.0,0.0,0.0,0.0,0.0,3.10300552633e-21,0.0,2.20963907392e-37,1.7952400313e-61,5.9702555738e-133,2.34386162055e-12,0.0,4.92392728152e-19,1.51686205003e-88,1.10025779091e-08,1.89545365236e-14,6.12046420896e-13,7.08060981616e-51,0.0,2.57628093387e-18,1.2592744399e-24,4.08813942739e-50,1.20496146823e-27,6.21908852872e-72,1.61275020157e-60,5.1317469621e-138,1.41404414405e-75,9.81721011481e-22,3.37975130847e-46,2.30962800975e-10,1.58841918213e-55,3.26463288608e-27,4.41595091206e-36,2.60637675625e-58,1.28967066129e-24,2.82742227698e-42,0.0,1.02867173398e-23,1.56310142348e-10,5.2999976164e-30,1.05724200133e-80,0.0,1.3236133809e-13,8.58850341857e-42,2.31034969839e-09,1.19318995524e-79,2.60730838708e-65,1.2524251097e-25,1.35624870753e-76,7.80770229438e-41,2.40627373731e-39,2.81655321317e-11,4.00548774346e-29,4.00548774346e-29,2.79419089373e-149,5.63825017555e-17,7.38132882592e-74,1.14728465739e-155,0.0,4.25472715261e-06,2.04660331171e-17,0.0,4.26845862599e-06,4.67152715964e-06,-137.1199712
0.0,0.0,0.0,0.0,0.0,0.0,3.89265082469e-21,0.0,3.20614994579e-37,3.0930935771e-61,2.53265068308e-132,2.81093923205e-12,0.0,6.39537741698e-19,6.12789134962e-88,1.16307212008e-08,2.18815925231e-14,7.01817352088e-13,1.69620235349e-50,0.0,3.14052598041e-18,1.6090345554e-24,7.27596905556e-50,1.70089864456e-27,1.34025381247e-71,3.43822342427e-60,2.14772734646e-137,3.59827444091e-75,1.41005041646e-21,6.65730541092e-46,2.53215007284e-10,4.33553149754e-55,4.25600934536e-27,7.54591083895e-36,4.69338403749e-58,1.80341773098e-24,4.59357004837e-42,0.0,1.42801073289e-23,1.79828462212e-10,8.05436103946e-30,3.4787561507e-80,0.0,1.56298849988e-13,1.54649807499e-41,2.57055638103e-09,2.68165469229e-79,5.71185332602e-65,1.81706394255e-25,3.79869742808e-76,1.32073334985e-40,4.86135163724e-39,3.29250441917e-11,5.9430027086e-29,5.9430027086e-29,1.47599664282e-148,7.21476245647e-17,1.48505561214e-73,6.77676307029e-155,0.0,4.39500737498e-06,2.35905911494e-17,0.0,4.40967831211e-06,4.90966819462e-06,-136.9599696
