0-Aiba 2014,1-Amin 2005,2-Bankston 2007a,3-Beckermann 2014,4-Chang 2004,5-Chen 2016,6-Crotti 2012a,8-Hayashi 2015,9-Holst 2009,11-Huang 2006,12-Keller 2006,13-Li 2009,14-Liu 2003a,15-Makita 2005,16-Makita 2008,17-Marangoni 2011,18-Medeiros-Domingo 2007,19-Mok 2003,21-Olesen 2012,22-Otagiri 2008,23-Rivolta 2001,24-Rossenbacker 2004,25-Ruan 2007,26-Ruan 2010,27-Saber 2015,28-Shy 2014,29-Sottas 2013,30-Splawski 2002,31-Tan 2001,32-Tsurugi 2009,34-Vatta 2002b,36-Wang 2016,37-Wehrens 2003,38-Winkel 2012,39-Yokoi 2005,40-Zhang 2015,sum,gauss,x
5.969061663100113e-90,6.290519773341386e-50,0.0,0.0,1.1084405706877067e-63,4.10709182923188e-275,2.8103320557538044e-19,1.5347741226769462e-45,0.0,1.3790673842334698e-209,2.624418384304923e-69,3.4961855506255075e-85,4.864622552030704e-91,2.5108308924846807e-118,1.3413329381515844e-47,8.052783021904855e-34,1.8630413147229975e-240,5.054445920865574e-61,8.837827704850821e-75,3.842471507071615e-109,0.0,0.0,0.0,0.0,8.763890227505729e-122,2.2690500816698607e-193,0.0,5.327855331354148e-204,6.672441111700564e-177,3.272122000310958e-187,0.0,1.8323635518424296e-86,0.0,1.6268433006236683e-29,2.5089585568757402e-129,1.3437985177111556e-107,2.810332055916497e-19,1.437445938719437e-15,-138.39998399984
1.1668949458993991e-89,8.802016916665077e-50,0.0,0.0,1.930848550285333e-63,3.562222143886441e-274,3.2035446964194513e-19,2.1285590636985886e-45,0.0,9.561290493068864e-209,4.880744787338717e-69,7.303723394435415e-85,1.0133673906600773e-90,6.414638539570446e-118,1.9345326818387156e-47,1.0194211556195955e-33,1.1807238548599322e-239,8.045965284122476e-61,1.4213980118313448e-74,8.802028159516568e-109,0.0,0.0,0.0,0.0,1.8779779622081355e-121,8.215323781648062e-193,0.0,1.9987198236853478e-203,2.771923940857636e-176,1.2891437009225088e-186,0.0,3.5153562389849954e-86,0.0,1.9266521969594332e-29,7.152428797388282e-129,2.6944007090128393e-107,3.2035446966121266e-19,1.5864788641467796e-15,-138.239982399824
2.2785954903164114e-89,1.2309719360218748e-49,0.0,0.0,3.3597073424026034e-63,3.078129319670445e-273,3.6509001255454755e-19,2.950438037466642e-45,0.0,6.602855203412803e-208,9.065416043876781e-69,1.5235888995756664e-84,2.1081650783912624e-90,1.6360798178458053e-117,2.788228808792623e-47,1.289993629181323e-33,7.459624934832438e-239,1.2797590851434518e-60,2.284477266158715e-74,2.013453503169032e-108,0.0,0.0,0.0,0.0,4.019951350666679e-121,2.9688136503446776e-192,0.0,7.483918800228656e-203,1.148616041067789e-175,5.0676668412348665e-186,0.0,6.736657698252631e-86,0.0,2.2811627927272465e-29,2.0351257497639113e-128,5.3969901354001695e-107,3.6509001257736047e-19,1.750685563470483e-15,-138.079980799808
4.444393353704743e-89,1.720617718419599e-49,0.0,0.0,5.839452464846888e-63,2.6499153511540777e-272,4.1597298961282245e-19,4.08739723262326e-45,0.0,4.541834117275895e-207,1.6816592271552582e-68,3.173693053343066e-84,4.379880072169985e-90,4.165952922561614e-117,4.0159990984300653e-47,1.6317280061677888e-33,4.6981669876622896e-238,2.0338726443406206e-60,3.669094871358314e-74,4.599252038214433e-108,0.0,0.0,0.0,0.0,8.595830563186815e-121,1.0708258403582859e-191,0.0,2.7969446016956444e-202,4.747505239256236e-175,1.9876946209976907e-185,0.0,1.289546657422047e-85,0.0,2.7002538572386206e-29,5.77971743028741e-128,1.0799470890869017e-106,4.1597298963982664e-19,1.931581778402414e-15,-137.919979199792
8.658995753808692e-89,2.4037589577810532e-49,0.0,0.0,1.0138185828818051e-62,2.2727748623173282e-271,4.738341138303354e-19,5.659352561172029e-45,0.0,3.1118237955967385e-206,3.1155653293603554e-68,6.60139441625916e-84,9.08740192900108e-90,1.0590142422403426e-116,5.780583255562002e-47,2.0631663622784805e-33,2.9497330107338164e-237,3.229719128025341e-60,5.8888705293548306e-74,1.0491064750765569e-107,0.0,0.0,0.0,0.0,1.8360801633459533e-120,3.8550711512088847e-191,0.0,1.043317069916363e-201,1.9572803500014096e-174,7.77904262170945e-185,0.0,2.465738864333154e-85,0.0,3.1955695147179323e-29,1.6383233241150545e-127,2.1588116142874362e-106,4.738341138622931e-19,2.1308316487983614e-15,-137.759977599776
1.685125866970104e-88,3.356353738456476e-49,0.0,0.0,1.7581900106985885e-62,1.942048673114194e-270,5.396144018070025e-19,7.831522660513444e-45,0.0,2.123650092994176e-205,5.76480130769093e-68,1.371134569594637e-83,1.8829429808340326e-89,2.687613513448002e-116,8.315006094333146e-47,2.6076362400015933e-33,1.8462043528733168e-236,5.124496761114587e-60,9.445088571527623e-74,2.389674112706349e-107,0.0,0.0,0.0,0.0,3.917708999025515e-120,1.385235472218038e-190,0.0,3.88442206428167e-201,8.0489203035104465e-174,3.0376485221029565e-184,0.0,4.7094971862638043e-85,0.0,3.780831321747169e-29,4.635219157386415e-127,4.311103280717535e-106,5.396144018448135e-19,2.3502619358552322e-15,-137.59997599976
3.275721301477904e-88,4.68397774747212e-49,0.0,0.0,3.045711828873346e-62,1.6532673162245495e-269,6.143795530650014e-19,1.0831415677398697e-44,0.0,1.4435610615559023e-204,1.0653208762413968e-67,2.8437939013062765e-83,3.896319076708816e-89,6.80940873871327e-116,1.1952708842212882e-46,3.294473711509739e-33,1.1519128826523656e-235,8.124247718661981e-60,1.5138436640714495e-73,5.43556312457957e-107,0.0,0.0,0.0,0.0,8.35044179175999e-120,4.968124390938739e-190,0.0,1.4434912725818165e-200,3.3015602436075265e-173,1.1835422710575114e-183,0.0,8.985028189303216e-85,0.0,4.472204902871476e-29,1.3089365119714826e-126,8.600496482134759e-106,6.143795531097267e-19,2.591877578079142e-15,-137.439974399744
6.36050100895322e-88,6.533294057275371e-49,0.0,0.0,5.270226163836133e-62,1.4021850320622058e-268,6.993361679735716e-19,1.4972137006932652e-44,0.0,9.773983269109963e-204,1.9661884711934517e-67,5.889654180049873e-83,8.051777675187939e-89,1.7223823394750636e-115,1.717050098253208e-46,4.160555919556103e-33,7.16477081198861e-235,1.28694669253215e-59,2.4246942584767738e-73,1.2346309559536757e-106,0.0,0.0,0.0,0.0,1.7779660961718253e-119,1.7784389804938284e-189,0.0,5.354014750993869e-200,1.3508210917580745e-172,4.601134278298931e-183,0.0,1.7123076112713207e-84,0.0,5.288730573690452e-29,3.689304847596264e-126,1.7140363644119524e-105,6.993361680264631e-19,2.857878701933848e-15,-137.279972799728
1.2336316073706117e-87,9.107933989522933e-49,0.0,0.0,9.109344702555467e-62,1.184804923619476e-267,7.95850034599131e-19,2.0684351885932567e-44,0.0,6.59162144533021e-203,3.624252659253695e-67,1.218021939037322e-82,1.6616859526766232e-88,4.349379430156503e-115,2.4649746100157164e-46,5.252220606673311e-33,4.4425034383034206e-234,2.0369643386746595e-59,3.880912977493839e-73,2.8003772021673703e-106,0.0,0.0,0.0,0.0,3.781588256718417e-119,6.354232878167695e-189,0.0,1.9820865528017385e-199,5.512815370407347e-172,1.784764519517018e-182,0.0,3.259579450608252e-84,0.0,6.252828991310903e-29,1.0378824146754049e-125,3.4125415999903433e-105,7.958500346616646e-19,3.1506792199474184e-15,-137.11997119971198
2.389953391990967e-87,1.2690473567435893e-48,0.0,0.0,1.5727600204583722e-61,9.973960651828025e-267,9.0546674305501e-19,2.856009170856738e-44,0.0,4.42789342352545e-202,6.672067026728903e-67,2.515324756871778e-82,3.424727619720583e-88,1.0964847629894902e-114,3.536346333486276e-46,6.62766935279028e-33,2.7459716244993477e-233,3.221452709830192e-59,6.207429402543488e-73,6.342823964145937e-106,0.0,0.0,0.0,0.0,8.034553544868734e-119,2.2660262512028965e-188,0.0,7.323915376923038e-199,2.2441199690348427e-171,6.907673812524775e-182,0.0,6.198103102064172e-84,0.0,7.390894754319818e-29,2.914267515850448e-125,6.7873038330176616e-105,9.054667431289254e-19,3.472927160860761e-15,-136.959969599696
