0-Bebarova 2008,1-Calloe 2011,2-Calloe 2011,3-Calloe 2013,4-Hayashi 2015,5-Kato 2014,6-Liu 2005,7-Watanabe 2011b,8-Young 2005,sum,gauss,x
1.3108384832911366e-103,0.0,9.04602922608339e-211,0.0,4.45217898677529e-110,1.1171357808793719e-08,2.96470863878539e-19,3.2101626360587677e-24,3.0991183530489644e-15,1.1171360908208547e-08,6.551507282885087e-08,-133.439934399344
3.9882146825004453e-103,0.0,1.4131509095555883e-209,0.0,1.9601945791681728e-109,1.217004358713138e-08,4.122984832025746e-19,4.446235349790849e-24,3.5460662241457547e-15,1.2170047133609908e-08,7.066956222318182e-08,-133.27993279932798
1.210179331536902e-102,0.0,2.190219125553718e-208,0.0,8.592024679788935e-109,1.3254344417359535e-08,5.725470404207414e-19,6.151692267014194e-24,4.05617370164132e-15,1.3254348474105789e-08,7.621302757209864e-08,-133.119931199312
3.662374850467021e-102,0.0,3.367867992192168e-207,0.0,3.749398588141968e-108,1.4431262155397767e-08,7.93926557743805e-19,8.502242747617416e-24,4.638176497798983e-15,1.44312667943682e-08,8.21734778748904e-08,-132.959929599296
1.1053955524945852e-101,0.0,5.137963594078152e-206,0.0,1.6289114306131886e-107,1.5708341233491514e-08,1.099307533910294e-18,1.1738406414584232e-23,5.3019914116927114e-15,1.5708346536582245e-08,8.858083353922583e-08,-132.79992799928
3.327472622822836e-101,0.0,7.776701935698398e-205,0.0,7.045358452804897e-107,1.7093708128156062e-08,1.519944735944559e-18,1.6189056048538256e-23,6.058872198188231e-15,1.7093714188548223e-08,9.54670488539706e-08,-132.639926399264
9.989715666360423e-101,0.0,1.1677996843297736e-203,0.0,3.0337408590113957e-106,1.8596113486898245e-08,2.0984861616969504e-18,2.230337850391099e-23,6.921585481859266e-15,1.8596120410582236e-08,1.0286624173085496e-07,-132.47992479924798
2.991118519271378e-100,0.0,1.739841645787091e-202,0.0,1.3005397518958132e-105,2.0224977076061703e-08,2.8930380152295748e-18,3.069421466454232e-23,7.904609222908588e-15,2.0224984983563993e-08,1.108148311060761e-07,-132.319923199232
8.9321493166931e-100,0.0,2.5716955865993682e-201,0.0,5.5505822870080595e-105,2.1990435720804514e-08,3.982647690832555e-18,4.219676340103702e-23,9.024356546427535e-15,2.199044474914375e-08,1.1935168241133294e-07,-132.159921599216
2.6602361169369213e-99,0.0,3.771358916644409e-200,0.0,2.358431263771311e-104,2.3903394417216625e-08,5.474687802059785e-18,5.794800630359443e-23,1.0299428086304827e-14,2.390340472211946e-08,1.2851826154275945e-07,-131.9999199992
