0-Clatot 2012,1-Cordeiro 2006,2-Hu 2007,3-Keller 2005,4-Pfahnl 2007,5-Ye 2003,sum,gauss,x
9.14043976213e-156,0.0,0.0,6.90672831387e-54,2.52395480686e-06,4.69815371323e-05,4.95054919392e-05,3.80900130819e-06,-132.159921599
8.57845122853e-155,0.0,0.0,1.37323166827e-53,2.72082475664e-06,4.84757960185e-05,5.11966207751e-05,4.0723236324e-06,-131.999919999
7.99396613326e-154,0.0,0.0,2.72487535706e-53,2.93201659544e-06,5.00121427313e-05,5.29441593268e-05,4.35279228409e-06,-131.839918399
7.39651842561e-153,0.0,0.0,5.39611089295e-53,3.15848729984e-06,5.15915718362e-05,5.47500591361e-05,4.65144721786e-06,-131.679916799
6.79522755645e-152,0.0,0.0,1.06646469913e-52,3.40125116132e-06,5.32150950913e-05,5.66163462526e-05,4.96938616982e-06,-131.519915199
6.1985811054e-151,0.0,0.0,2.1035047479e-52,3.66138272789e-06,5.48837415435e-05,5.85451242714e-05,5.30776751904e-06,-131.359913599
5.61425576091e-150,0.0,0.0,4.14068222842e-52,3.94001986218e-06,5.65985576181e-05,6.05385774803e-05,5.66781326886e-06,-131.199911999
5.04898081431e-149,0.0,0.0,8.13451570213e-52,4.23836691805e-06,5.83606072016e-05,6.25989741197e-05,6.05081215171e-06,-131.039910399
4.50844597068e-148,0.0,0.0,1.59486120849e-51,4.557698038e-06,6.01709717173e-05,6.47286697553e-05,6.45812286113e-06,-130.879908799
3.99725303001e-147,0.0,0.0,3.12065301117e-51,4.89936057315e-06,6.20307501939e-05,6.6930110767e-05,6.8911774148e-06,-130.719907199
3.51890897778e-146,0.0,0.0,6.09395807557e-51,5.26477862772e-06,6.39410593262e-05,6.9205837954e-05,7.35148465235e-06,-130.559905599
3.07585634326e-145,0.0,0.0,1.18764005434e-50,5.65545672948e-06,6.59030335284e-05,7.15584902579e-05,7.84063387172e-06,-130.399903999
2.66953540271e-144,0.0,0.0,2.30994481123e-50,6.07298362774e-06,6.79178249784e-05,7.39908086062e-05,8.36029860804e-06,-130.239902399
2.30047195602e-143,0.0,0.0,4.48383647302e-50,6.5190362198e-06,6.99866036546e-05,7.65056398744e-05,8.91224055855e-06,-130.079900799
1.96838398943e-142,0.0,0.0,8.68618991258e-50,6.99538360704e-06,7.21105573635e-05,7.91059409705e-05,9.49831365773e-06,-129.919899199
1.67230052587e-141,0.0,0.0,1.67934632869e-49,7.50389128121e-06,7.42908917582e-05,8.17947830394e-05,1.01204683062e-05,-129.759897599
1.41068630657e-140,0.0,0.0,3.24028053255e-49,8.04652544126e-06,7.65288303483e-05,8.45753557896e-05,1.07807557574e-05,-129.599895999
1.18156657537e-139,0.0,0.0,6.23959422808e-49,8.62535744091e-06,7.88256144992e-05,8.74509719401e-05,1.14813326652e-05,-129.439894399
9.82647073721e-139,0.0,0.0,1.19911677176e-48,9.24256836659e-06,8.11825034225e-05,9.04250717891e-05,1.22244657976e-05,-129.279892799
8.11425319701e-138,0.0,0.0,2.29984199971e-48,9.9004537453e-06,8.36007741557e-05,9.3501227901e-05,1.30125369182e-05,-129.119891199
6.65290263075e-137,0.0,0.0,4.40216095869e-48,1.06014283812e-05,8.60817215317e-05,9.66831499129e-05,1.38480478408e-05,-128.959889599
5.41608412374e-136,0.0,0.0,8.40940422211e-48,1.13480313198e-05,8.86266581373e-05,9.99746894572e-05,1.47336256601e-05,-128.799887999
4.37795463617e-135,0.0,0.0,1.60323037693e-47,1.21429309379e-05,9.12369142612e-05,0.000103379845199,1.56720281608e-05,-128.639886399
3.51373281795e-134,0.0,0.0,3.05040870094e-47,1.29889301566e-05,9.391383783e-05,0.000106902767987,1.66661494114e-05,-128.479884799
2.80012767946e-133,0.0,0.0,5.79230634351e-47,1.38889717757e-05,9.66587943332e-05,0.000110547766109,1.77190255425e-05,-128.319883199
2.21563673075e-132,0.0,0.0,1.09768166013e-46,1.48461439249e-05,9.94731667361e-05,0.000114319310661,1.88338407154e-05,-128.159881599
1.74072793864e-131,0.0,0.0,2.0760255168e-46,1.58636856293e-05,0.00010235835538,0.000118222041009,2.00139332825e-05,-127.999879999
1.35792212746e-130,0.0,0.0,3.91850459084e-46,1.69449924842e-05,0.000105315777871,0.000122260770356,2.12628021438e-05,-127.839878399
1.05179342742e-129,0.0,0.0,7.38141165603e-46,1.80936224345e-05,0.000108346868956,0.00012644049139,2.25841133001e-05,-127.679876799
8.08905264513e-129,0.0,0.0,1.38768178068e-45,1.9313301653e-05,0.000111453080382,0.000130766382035,2.39817066084e-05,-127.519875199
6.17698423751e-128,0.0,0.0,2.60358487567e-45,2.06079305125e-05,0.00011463588075,0.000135243811262,2.54596027386e-05,-127.359873599
4.68346141074e-127,0.0,0.0,4.87511637629e-45,2.19815896434e-05,0.000117896755345,0.000139878344989,2.70220103364e-05,-127.199871999
3.52589212804e-126,0.0,0.0,9.11023602023e-45,2.34385460704e-05,0.000121237205964,0.000144675752034,2.8673333393e-05,-127.039870399
2.63561953726e-125,0.0,0.0,1.69904805792e-44,2.49832594204e-05,0.000124658750715,0.000149642010135,3.0418178823e-05,-126.879868799
1.95617649894e-124,0.0,0.0,3.16237298632e-44,2.66203881917e-05,0.000128162923817,0.000154783312009,3.22613642532e-05,-126.719867199
1.44160067796e-123,0.0,0.0,5.87424307451e-44,2.83547960759e-05,0.000131751275376,0.000160106071452,3.42079260222e-05,-126.559865599
1.05485688194e-122,0.0,0.0,1.08898558057e-43,3.01915583217e-05,0.000135425371146,0.000165616929467,3.6263127392e-05,-126.399863999
7.66396874954e-122,0.0,0.0,2.01476194183e-43,3.21359681296e-05,0.000139186792279,0.000171322760408,3.84324669729e-05,-126.239862399
5.52873191475e-121,0.0,0.0,3.72011822218e-43,3.41935430649e-05,0.000143037135057,0.000177230678121,4.07216873607e-05,-126.079860799
3.96012559908e-120,0.0,0.0,6.8552159184e-43,3.6370031478e-05,0.000146978010607,0.000183348042085,4.31367839864e-05,-125.919859199
2.8164627426e-119,0.0,0.0,1.26071502478e-42,3.86714189158e-05,0.000151011044604,0.00018968246352,4.56840141791e-05,-125.759857599
1.98888962768e-118,0.0,0.0,2.3138974776e-42,4.11039345118e-05,0.000155137876954,0.000196241811466,4.83699064387e-05,-125.599855999
1.39453358207e-117,0.0,0.0,4.23840731339e-42,4.36740573394e-05,0.000159360161459,0.000203034218799,5.12012699191e-05,-125.439854399
9.70865107936e-117,0.0,0.0,7.74805440681e-42,4.63885227101e-05,0.000163679565474,0.000210068088184,5.41852041193e-05,-125.279852799
6.71120386092e-116,0.0,0.0,1.41355928194e-41,4.92543284028e-05,0.000168097769535,0.000217352097937,5.732910878e-05,-125.119851199
4.6063145502e-115,0.0,0.0,2.57375252294e-41,5.22787408031e-05,0.000172616466977,0.00022489520778,6.06406939831e-05,-124.959849598
