0-Abriel 2000,1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,7-An 1998,8-Bankston 2007b,9-Baroudi 2000b,10-Baroudi 2001,11-Casini 2007,12-Deschenes 2000,14-Huang 2009,17-Itoh 2007,18-Lin 2008,19-Liu 2002,20-Lupoglazoff 2001,21-Makita 2002,22-Makiyama 2008,23-Mohler 2004,24-Moreau 2013,25-Neu 2010,26-Nguyen 2008,27-Smits 2005a,28-Smits 2005b,29-Viswanathan 2003,30-Wang 2002,31-Wang 2007a,33-Wang 2008,34-Wedekind 2001,35-Yang 2002,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,1.18080855685e-20,1.28804875925e-60,2.59050125978e-131,2.0079706917e-18,5.9600582924e-87,1.94635106179e-12,9.79725701369e-50,4.89265368547e-21,3.16550157668e-45,2.85124608619e-54,1.3416302095e-26,3.11397445733e-35,6.09479436795e-24,1.80338865899e-41,0.0,4.79105706856e-23,2.9573825016e-29,2.75859294903e-79,6.72472702829e-41,6.91725654303e-09,5.39704957539e-40,9.30652366948e-11,2.130754588e-28,2.130754588e-28,2.23157262246e-16,0.0,7.01226835597e-09,1.61503150515e-05,-136.799968
0.0,0.0,0.0,0.0,0.0,0.0,1.47938816944e-20,2.21430642801e-60,1.09122907467e-130,2.60305093162e-18,2.3837565663e-86,2.22983665382e-12,2.33049752195e-49,7.00511154955e-21,6.2060371013e-45,7.71684284697e-54,1.74671714119e-26,5.30068297228e-35,8.50284868592e-24,2.9221675342e-41,0.0,6.63550356915e-23,4.4812828357e-29,9.00456579088e-79,1.20612073958e-40,7.68945271935e-09,9.10006507623e-40,1.08642258032e-10,3.15308285405e-28,3.15308285405e-28,2.84976317304e-16,0.0,7.80032510164e-09,1.69190072718e-05,-136.6399664
0.0,0.0,0.0,0.0,0.0,0.0,1.85227159199e-20,3.80242431888e-60,4.58060586464e-130,3.37126844427e-18,9.48629245752e-86,2.55347135986e-12,5.52409784872e-49,1.00137707904e-20,1.21385063419e-44,2.07973727328e-53,2.2726005186e-26,9.00561322593e-35,1.18485111767e-23,4.72877818805e-41,0.0,9.17931702305e-23,6.78058134291e-29,2.92752570194e-78,2.15898203137e-40,8.54403554193e-09,1.53190094697e-39,1.26739364865e-10,4.65975462877e-28,4.65975462877e-28,3.63552001775e-16,0.0,8.6733287451e-09,1.7721732189e-05,-136.4799648
0.0,0.0,0.0,0.0,0.0,0.0,2.31764580651e-20,6.52230160911e-60,1.91604099029e-129,4.36203734197e-18,3.75624861388e-85,2.92277241235e-12,1.30479610829e-48,1.4291975053e-20,2.36861884417e-44,5.58137445493e-53,2.95484283778e-26,1.52707169562e-34,1.64913820704e-23,7.64224276539e-41,0.0,1.26835489769e-22,1.02447466808e-28,9.47984955169e-78,3.85699776781e-40,9.48935576347e-09,2.57463084e-39,1.47749396309e-10,6.87727560174e-28,6.87727560174e-28,4.63323508094e-16,0.0,9.64002839991e-09,1.85598676568e-05,-136.3199632
0.0,0.0,0.0,0.0,0.0,0.0,2.89807313157e-20,1.1175285263e-59,7.98659279144e-129,5.63859363139e-18,1.47991019094e-84,3.34399080897e-12,3.07108979998e-48,2.03656776068e-20,4.61109594875e-44,1.49154963763e-52,3.83933879723e-26,2.58446253136e-34,2.2926843337e-23,1.23344778788e-40,0.0,1.75051223377e-22,1.54562892584e-28,3.05748940463e-77,6.87688662435e-40,1.05345618913e-08,4.32013527022e-39,1.72123968034e-10,1.01366750325e-27,1.01366750325e-27,5.89877942786e-16,0.0,1.07100304457e-08,1.94348411273e-05,-136.1599616
0.0,0.0,0.0,0.0,0.0,0.0,3.62152502223e-20,1.91264248636e-59,3.31736427116e-128,7.2817805684e-18,5.80149075912e-84,3.82420546744e-12,7.20295914246e-48,2.89746028296e-20,8.95554843157e-44,3.96915562293e-52,4.98527654142e-26,4.36561797707e-34,3.18365069966e-23,1.98814825335e-40,0.0,2.41314517132e-22,2.32851461516e-28,9.82180401096e-77,1.2237042222e-39,1.16896712147e-08,7.23732073704e-39,2.00381872027e-10,1.49210825745e-27,1.49210825745e-27,7.50239633495e-16,0.0,1.18938780498e-08,2.03481311548e-05,-135.99996
0.0,0.0,0.0,0.0,0.0,0.0,4.52265557339e-20,3.26983938455e-59,1.37309206995e-127,9.39484788125e-18,2.26290885074e-83,4.3714289929e-12,1.68344123163e-47,4.11574188575e-20,1.73523885268e-43,1.05177394684e-51,6.46893573913e-26,7.36013692922e-34,4.41570955766e-23,3.20040408543e-40,0.0,3.32273485481e-22,3.50285708213e-28,3.14253666999e-76,2.17321738104e-39,1.29656466273e-08,1.21047657618e-38,2.33118615666e-10,2.1934657555e-27,2.1934657555e-27,9.53230379287e-16,0.0,1.32031376347e-08,2.13012689325e-05,-135.8399584
0.0,0.0,0.0,0.0,0.0,0.0,5.6443692172e-20,5.58388522904e-59,5.6634494703e-127,1.21095301038e-17,8.78249132647e-83,4.99472642757e-12,3.92060907967e-47,5.8370146285e-20,3.35432692259e-43,2.77530396522e-51,8.38855556244e-26,1.23848495491e-33,6.11743730011e-23,5.14504195886e-40,0.0,4.56984914695e-22,5.26181515171e-28,1.00145682774e-75,3.85187334327e-39,1.43744796665e-08,2.02131061119e-38,2.71017245528e-10,3.22023153139e-27,3.22023153139e-27,1.20991753705e-15,0.0,1.46504928606e-08,2.2295839863e-05,-135.6799568
0.0,0.0,0.0,0.0,0.0,0.0,7.03974923701e-20,9.52497812343e-59,2.32775504283e-126,1.5593736941e-17,3.39149835153e-82,5.70434850645e-12,9.09866542808e-47,8.26504923127e-20,6.46890184281e-43,7.29226712611e-51,1.08705695698e-25,2.07998523604e-33,8.46510778957e-23,8.26040004165e-40,0.0,6.27772055719e-22,7.89257058989e-28,3.17868064033e-75,6.8136989934e-39,1.5929280216e-08,3.36982864627e-38,3.14860618587e-10,4.72138104968e-27,4.72138104968e-27,1.53417073362e-15,0.0,1.6249846733e-08,2.33334851624e-05,-135.5199552
4.94065645841e-324,0.0,0.0,0.0,0.0,0.0,8.77442849493e-20,1.62296416771e-58,9.53385181329e-126,2.00612730838e-17,1.30313288145e-81,6.5118811124e-12,2.10411960451e-46,1.16845534597e-19,1.24461429077e-42,1.90800033934e-50,1.40775857028e-25,3.4865383419e-33,1.17000952465e-22,1.32446746392e-39,0.0,8.6138248085e-22,1.18214590255e-27,1.00490347774e-74,1.20291795376e-38,1.76443733469e-08,5.60893846753e-38,3.65545302568e-10,6.91316180447e-27,6.91316180447e-27,1.94335275848e-15,0.0,1.80164324942e-08,2.44159034983e-05,-135.3599536
