pub,va,+-,vi,+-,dv
Shirai 2002,-49.9,4.76235236,-94.9,12.7373466624,45.00000000000001
Shuraih 2007,-43.4,1.5874507866,-90.7,0.5291502622,47.300000000000004
Shy 2014,-29.6,7.3539105244,-76.9,13.9140217048,47.300000000000004
Smits 2005a,-42.6,8.4,-89.4,7.2,46.800000000000004
Smits 2005b,-43.7,18.0,-98.8,15.143315357,55.099999999999994
Sottas 2013,-29.8,3.9799497484,-72.2,3.3166247904,42.400000000000006
Surber 2008,-31.5,14.5492267836,-67.6,7.408103671,36.099999999999994
Surber 2008,-42.2,6.7349832962,-79.4,6.8585712798,37.2
Swan 2014,-28.0,6.7882250994,-75.8,9.7979589712,47.8
Tan 2001,-48.6,6.3498031466,-92.0,8.9955544576,43.4
Tan 2002,-40.3,5.7688820408,-93.5,8.6533230612,53.2
Tan 2005,-39.0,9.7979589712,-75.0,11.313708499,36.0
Tan 2005,-38.0,9.7979589712,-75.0,12.0,37.0
Tan 2005,-42.0,5.8137767414,-81.0,8.4,39.0
Tan 2005,-41.0,6.7882250994,-79.0,10.6131993292,38.0
Tan 2005,-42.0,5.0911688246,-79.0,8.4,37.0
Tan 2005,-40.0,19.1060199938,-78.0,15.6524758424,38.0
Tan 2005,-40.0,2.7712812922,-81.0,9.3530743608,41.0
Tan 2005,-39.0,8.0,-75.0,11.313708499,36.0
Tan 2005,-39.0,8.0,-78.0,5.6568542494,39.0
Tan 2005,-42.0,7.9195959492,-82.0,9.6994845224,40.0
Tan 2005,-40.0,16.9705627484,-79.0,16.9705627484,39.0
Tan 2005,-43.0,4.0,-82.0,12.4,39.0
Tan 2005,-42.0,6.7882250994,-82.0,7.2,40.0
Tan 2005,-40.0,11.313708499,-80.0,9.6,40.0
Tan 2005,-41.0,3.6,-80.0,2.4,39.0
Tan 2006,-46.9,6.7882250994,-81.8,7.3539105244,34.9
Tan 2006,-44.1,10.1192885126,-80.0,9.4868329806,35.9
Tarradas 2013,-32.0,2.5455844122,-84.9,5.6920997884,52.900000000000006
Tester 2010,-42.0,8.0,-72.0,4.472135955,30.0
Tsurugi 2009,-39.6,6.7882250994,-88.0,5.0911688246,48.4
Valdivia 2004,-42.0,15.4919333848,-84.3,8.94427191,42.3
Vatta 2002b,-24.9,2.2627416998,-68.4,0.663324958,43.50000000000001
Viswanathan 2003,-40.7,9.286549413,-85.0,7.9598994968,44.3
Wang 1996,-43.2,13.7010948468,-99.6,5.837259631,56.39999999999999
Wang 2002,-47.7,8.0,-100.7,12.204917042,53.0
Wang 2007a,-44.3,4.4899888642,-89.3,8.8,45.0
Wang 2008,-44.3,4.4899888642,-89.3,8.8,45.0
Wang 2015,-40.91,1.26,-72.7,4.9740124648,31.790000000000006
Wang 2016,-44.5,9.6,-93.5,8.1633326528,49.0
Watanabe 2011b,-35.4,6.0,-84.5,9.7979589712,49.1
Watanabe 2011b,-47.7,8.8,-89.4,6.102458521,41.7
Wedekind 2001,-42.8,15.3453576042,-98.1,10.053854982,55.3
Wehrens 2003,-29.8,2.2627416998,-64.0,4.5254833996,34.2
Winkel 2012,-26.0,20.615528128,-84.6,14.4,58.599999999999994
Yang 2002,-54.3,18.5202591774,-98.3,1.5874507866,44.0
Ye 2003,-44.0,31.6227766016,-95.0,28.8,51.0
Ye 2003,-40.0,37.040518355,-86.0,30.6907152084,46.0
Yokoi 2005,-49.8,7.3539105244,-88.6,6.0,38.8
Young 2005,-32.7,11.627553483,-66.0,17.88854382,33.3
Zeng 2013,-34.5,8.4852813742,-81.1,9.3744333162,46.599999999999994
Zhang 2008,-33.1,4.472135955,-64.5,1.9595917942,31.4
