0-Bebarova 2008,1-Cheng 2010,2-Cheng 2010,3-Cheng 2011,4-Ge 2008,6-Hsueh 2009,7-Hu 2015,8-Juang 2014a,9-Kapplinger 2015,10-Kapplinger 2015,11-Kapplinger 2015,12-Kapplinger 2015,13-Kapplinger 2015,18-Tan 2005,19-Tan 2005,20-Tan 2005,21-Tan 2005,22-Tan 2005,23-Tan 2005,24-Tan 2005,25-Tan 2005,26-Tan 2006,27-Watanabe 2011b,28-Watanabe 2011b,29-Zeng 2013,sum,gauss,x
3.9871492229142814e-103,3.9041710937027497e-202,0.0,1.2301899779951091e-66,2.9006258219435657e-87,5.3728529764740134e-285,6.90286725352848e-29,0.0,0.0,0.0,3.304619373920759e-101,5.653272688847295e-175,2.7694791028409068e-118,2.8610001476545723e-128,2.8610001476545723e-128,1.1427496523254291e-122,2.4960356273915278e-30,0.0,9.629776333543571e-166,1.921284350981974e-64,0.0,4.1099444001588165e-73,2.3430638894976708e-241,3.4179210767636403e-88,8.716348114701893e-125,7.152470816267633e-29,1.5066500977164013e-52,-134.879948799488
8.152797049035955e-103,1.6005673418558302e-201,0.0,2.0029021808372452e-66,5.411250997369382e-87,5.094738703569848e-284,8.434800910105288e-29,0.0,0.0,0.0,6.869241199260869e-101,2.1268926170950477e-174,6.576224727435623e-118,7.45720236485536e-128,7.45720236485536e-128,2.9458136134682517e-122,3.0813640798147058e-30,0.0,3.494449883183864e-165,3.086378432554743e-64,0.0,7.244842556960439e-73,1.371633262710432e-240,7.020777545393714e-88,2.1258660493814697e-124,8.742937318086758e-29,2.2199206660138387e-52,-134.719947199472
1.6652069462589347e-102,6.547471836603238e-201,0.0,3.258303336044877e-66,1.0084800245541484e-86,4.812206884903699e-283,1.0303189106626525e-28,0.0,0.0,0.0,1.4261999033739473e-100,7.984101968654632e-174,1.5593464942913427e-117,1.940613695337278e-127,1.940613695337278e-127,7.581416663052164e-122,3.8026016497080065e-30,0.0,1.2652499077608687e-164,4.9540371958684185e-64,0.0,1.275814853257995e-72,8.006754908297842e-240,1.4402374837600944e-87,5.177493352205936e-124,1.0683449271597326e-28,3.2687536838157932e-52,-134.559945599456
3.3974043398232963e-102,2.672562712915136e-200,0.0,5.296238153133343e-66,1.8775891774348218e-86,4.52764202049453e-282,1.2581140897863626e-28,0.0,0.0,0.0,2.957579005535419e-100,2.9904838950460628e-173,3.69229200417592e-117,5.042052579119893e-127,5.042052579119893e-127,1.9479885493014334e-121,4.690987007114694e-30,0.0,4.570973402308186e-164,7.945512368439736e-64,0.0,2.2444609451869908e-72,4.6605772376961285e-239,2.9505890184080793e-87,1.2591733635137094e-123,1.3050239598575095e-28,4.810017189484214e-52,-134.39994399943998
6.9237870403627914e-102,1.0885208420718746e-199,0.0,8.601767840772453e-66,3.4921870512439925e-86,4.243315174017884e-281,1.5357477986231948e-28,0.0,0.0,0.0,6.125994775782891e-100,1.1176137667395808e-172,8.730455047210012e-117,1.3079187430150119e-126,1.3079187430150119e-126,4.997046231986203e-121,5.784864741035468e-30,0.0,1.6476917073630762e-163,1.2733186804385734e-63,0.0,3.944592535502787e-72,2.7051262178581802e-238,6.0368314238190425e-87,3.057974295864446e-123,1.5935964460335495e-28,7.073441278122213e-52,-134.239942399424
1.4094757451285986e-101,4.423847741309263e-199,0.0,1.3958930568095123e-65,6.488705649909627e-86,3.9613563839999105e-280,1.8740073811629491e-28,0.0,0.0,0.0,1.26736352779851e-99,4.1675123882978073e-172,2.0614136637226123e-116,3.387343751458984e-126,3.387343751458984e-126,1.279768065654337e-120,7.13128460016882e-30,0.0,5.926224499255564e-163,2.038941992952811e-63,0.0,6.925608556757611e-72,1.5656691926901337e-237,1.2334884582278411e-86,7.415910118464176e-123,1.9453202271646372e-28,1.039524113254976e-51,-134.079940799408
2.8660842522374204e-101,1.793982372727045e-198,0.0,2.2633973136103103e-65,1.204432042223349e-85,3.683731411569077e-279,2.2859894041105357e-28,0.0,0.0,0.0,2.6188468576167276e-99,1.5505898544485853e-171,4.860498901980754e-116,8.758765410963833e-126,8.758765410963833e-126,3.272201986408743e-120,8.787956732095668e-30,0.0,2.126743553132367e-162,3.2623097032923387e-63,0.0,1.2147290857545774e-71,9.036018834840929e-237,2.5170210441765778e-86,1.7958803921955582e-122,2.3738689714314923e-28,1.5267153586019473e-51,-133.919939199392
5.821538044428106e-101,7.259233228968533e-198,0.0,3.667023253708123e-65,2.2334188616534447e-85,3.412223077913994e-278,2.787588404132295e-28,0.0,0.0,0.0,5.405094811118246e-99,5.7564118488213155e-171,1.1444161488091707e-115,2.2611617622193336e-125,2.2611617622193336e-125,8.352949823271357e-120,1.0825641280067981e-29,0.0,7.615300271926125e-162,5.21552537534917e-63,0.0,2.128465507400324e-71,5.2001862380870785e-236,5.129373430196289e-86,4.342828551780264e-122,2.895844816932975e-28,2.2407905928691763e-51,-133.759937599376
1.1811470455389277e-100,2.9310140920276304e-197,0.0,5.936230427587071e-65,4.137344741436667e-85,3.1484173075201994e-277,3.398087876377942e-28,0.0,0.0,0.0,1.1142453878860164e-98,2.132267368729394e-170,2.69075734692683e-115,5.828079745257196e-125,5.828079745257196e-125,2.1287789876492993e-119,1.3331067745465446e-29,0.0,2.720782474019225e-161,8.331505686560277e-63,0.0,3.725799668224522e-71,2.984182069014725e-235,1.0439206870273985e-85,1.0486976250311682e-121,3.5313985538325964e-28,3.2867310067927606e-51,-133.59993599935999
2.3937987556884596e-100,1.1808633430215729e-196,0.0,9.601786748135659e-65,7.656616435880196e-85,2.893693861844712e-276,4.140874636142904e-28,0.0,0.0,0.0,2.2942602953043994e-98,7.880728118814143e-170,6.317605762985747e-115,1.4997692792624412e-124,1.4997692792624412e-124,5.416418473554376e-119,1.6410500238250265e-29,0.0,9.699190569044276e-161,1.3298464089580074e-62,0.0,6.51535493409551e-71,1.7076402553209714e-234,2.1217607188082818e-85,2.528775113942122e-121,4.304979638525407e-28,4.817777539211775e-51,-133.439934399344
