1-Feng 1996,4-Sakakibara 1992,5-Sakakibara 1993,6-Schneider 1994,sum,gauss,x
7.30589176797e-40,1.11193511396e-52,2.7573376311e-26,1.93375178402e-18,1.93375181159e-18,1.10957298221e-26,-131.679916799
9.81165373591e-40,1.65561591922e-52,3.35338350969e-26,2.20654217982e-18,2.20654221336e-18,1.35543466626e-26,-131.519915199
1.31701540801e-39,2.46343636481e-52,4.07683709572e-26,2.51720705799e-18,2.51720709876e-18,1.6551891365e-26,-131.359913599
1.76692925972e-39,3.66289701722e-52,4.95461997275e-26,2.87091839848e-18,2.87091844803e-18,2.02051923159e-26,-131.199911999
2.36933861818e-39,5.44264082624e-52,6.0192751674e-26,3.273542298e-18,3.2735423582e-18,2.46561164472e-26,-131.039910399
3.17551937986e-39,8.0815794625e-52,7.31012667571e-26,3.73173044698e-18,3.73173052008e-18,3.00768728128e-26,-130.879908799
4.2538489633e-39,1.19918013593e-51,8.87467516266e-26,4.25302343389e-18,4.25302352263e-18,3.66764260389e-26,-130.719907199
5.69546290998e-39,1.77817381385e-51,1.07702773159e-25,4.84596737584e-18,4.84596748354e-18,4.47082490299e-26,-130.559905599
7.62176675278e-39,2.63490887781e-51,1.3066165752e-25,5.52024555982e-18,5.52024569048e-18,5.44796911114e-26,-130.399903999
1.01944064277e-38,3.90174243606e-51,1.58458776335e-25,6.28682698779e-18,6.28682714625e-18,6.6363294015e-26,-130.239902399
1.36284949537e-38,5.77368650857e-51,1.92101736124e-25,7.15813395225e-18,7.15813414435e-18,8.08104556217e-26,-130.079900799
1.8210149672e-38,8.53786744416e-51,2.32805447913e-25,8.14823103082e-18,8.14823126362e-18,9.83679224302e-26,-129.919899199
2.43197326773e-38,1.26167419968e-50,2.8203424594e-25,9.27303818178e-18,9.27303846381e-18,1.19697688961e-25,-129.759897599
3.24626330216e-38,1.86314494465e-50,3.41552453552e-25,1.05505709509e-17,1.05505712924e-17,1.45600998961e-25,-129.599895999
4.33100167306e-38,2.74946166455e-50,4.13485067876e-25,1.20012111677e-17,1.20012115812e-17,1.77047283123e-25,-129.439894399
5.77527441305e-38,4.05462133266e-50,5.00390561081e-25,1.36480119218e-17,1.36480124222e-17,2.15209035691e-25,-129.279892799
7.69726717988e-38,5.9752287941e-50,6.05348185031e-25,1.55170410693e-17,1.55170416746e-17,2.61503833124e-25,-129.119891199
1.02536895093e-37,8.79954838222e-50,7.32062629752e-25,1.7637768036e-17,1.76377687681e-17,3.17644938566e-25,-128.959889599
1.36522246864e-37,1.29499423102e-49,8.84989438533e-25,2.00434992611e-17,2.00435001461e-17,3.85702223768e-25,-128.799887999
1.81679679815e-37,1.90448207711e-49,1.06948524039e-24,2.27718682673e-17,2.27718693368e-17,4.68175484752e-25,-128.639886399
2.41651195656e-37,2.79890109538e-49,1.29198764382e-24,2.58653870675e-17,2.58653883595e-17,5.68082639688e-25,-128.479884799
3.21255968233e-37,4.1105489116e-49,1.56023056796e-24,2.93720664198e-17,2.93720679801e-17,6.89065790375e-25,-128.319883199
4.26867533686e-37,6.03272730348e-49,1.883501896e-24,3.33461133453e-17,3.33461152288e-17,8.35518717928e-25,-128.159881599
5.66910771694e-37,8.84767526773e-49,2.27295165439e-24,3.78487153254e-17,3.78487175984e-17,1.01274008723e-24,-127.999879999
7.52516378751e-37,1.29672015346e-48,2.74196048861e-24,4.29489217193e-17,4.29489244612e-17,1.22711747558e-24,-127.839878399
9.98382290375e-37,1.89917485996e-48,3.3065800688e-24,4.87246341925e-17,4.87246374991e-17,1.48634834485e-24,-127.679876799
1.32390689635e-36,2.77961886683e-48,3.98605927055e-24,5.52637193466e-17,5.52637233326e-17,1.79970527458e-24,-127.519875199
1.7546790224e-36,4.06543624609e-48,4.80347260238e-24,6.2665258297e-17,6.26652631005e-17,2.17835420284e-24,-127.359873599
2.32443597031e-36,5.94197287488e-48,5.78647046895e-24,7.10409496868e-17,7.10409554733e-17,2.63573612613e-24,-127.199871999
3.07763530111e-36,8.67872207652e-48,6.96817455652e-24,8.051668456e-17,8.05166915282e-17,3.1880247417e-24,-127.039870399
4.07283096549e-36,1.2667254699e-47,8.3882460134e-24,9.12343136805e-17,9.12343220688e-17,3.85467493693e-24,-126.879868799
5.38710302216e-36,1.84761224106e-47,1.00941592965e-23,1.0335363029e-16,1.03353640384e-16,4.65907991449e-24,-126.719867199
7.12186668702e-36,2.69302735518e-47,1.21427207164e-23,1.1705459398e-16,1.17054606123e-16,5.62935817615e-24,-126.559865599
9.41048621213e-36,3.92258447252e-47,1.46018780101e-23,1.32539824336e-16,1.32539838938e-16,6.79929567568e-24,-126.399863999
