0-Bebarova 2008,1-Calloe 2011,2-Calloe 2011,3-Calloe 2013,4-Hayashi 2015,5-Kato 2014,7-Watanabe 2011b,8-Young 2005,sum,gauss,x
1.3687469968217805e-106,0.0,0.0,0.0,1.891812412291108e-43,1.792642358863461e-21,2.3174490784762144e-250,2.738626760374771e-72,1.792642358863461e-21,1.8604446748236092e-25,-136.79996799968
2.836338302000822e-106,0.0,0.0,0.0,2.6092450092087878e-43,2.116191960798205e-21,1.4037452265398867e-249,4.4810784732340837e-72,2.116191960798205e-21,2.2136042073629394e-25,-136.639966399664
5.87097621713929e-106,0.0,0.0,0.0,3.596757912389871e-43,2.497332698879284e-21,8.478734449077047e-249,7.326614001681445e-72,2.497332698879284e-21,2.6330614129146226e-25,-136.479964799648
1.213892011470692e-105,0.0,0.0,0.0,4.9552675601315905e-43,2.9461691973697056e-21,5.1066773999238005e-248,1.1970027112796658e-71,2.9461691973697056e-21,3.1311207099755236e-25,-136.31996319963199
2.507074424799982e-105,0.0,0.0,0.0,6.823113035777254e-43,3.474552698698203e-21,3.066976596647424e-247,1.9541505397872635e-71,3.474552698698203e-21,3.7223434172632223e-25,-136.159961599616
5.172158683536286e-105,0.0,0.0,0.0,9.38982673070304e-43,4.0963783199376745e-21,1.836737738818706e-246,3.187806560761867e-71,4.0963783199376745e-21,4.423956726857914e-25,-135.9999599996
1.0658446160469671e-104,0.0,0.0,0.0,1.2914932656499152e-42,4.8279320873576925e-21,1.0968531467700398e-245,5.196332869825175e-71,4.8279320873576925e-21,5.256335865299314e-25,-135.839958399584
2.1939836749862235e-104,0.0,0.0,0.0,1.7753593382830923e-42,5.688295945166067e-21,6.53152314962111e-245,8.463948796573566e-71,5.688295945166067e-21,6.243572371648957e-25,-135.679956799568
4.511181791651233e-104,0.0,0.0,0.0,2.4391580776427633e-42,6.699820260413854e-21,3.878333076467509e-244,1.377590539144693e-70,6.699820260413854e-21,7.414143675123356e-25,-135.519955199552
9.265411378420241e-104,0.0,0.0,0.0,3.3492933001311117e-42,7.888674882429848e-21,2.2963621850848725e-243,2.240465887912663e-70,7.888674882429848e-21,8.80170179589104e-25,-135.359953599536
1.9008879832666985e-103,0.0,0.0,0.0,4.596486295870443e-42,9.285491594874254e-21,1.3558146360265174e-242,3.6410578632667604e-70,9.285491594874254e-21,1.0446002086671384e-24,-135.19995199951998
3.8955231081557703e-103,0.0,0.0,0.0,6.304611268851541e-42,1.0926112859312186e-20,7.982242138090032e-242,5.912727795710462e-70,1.0926112859312186e-20,1.2393996556434297e-24,-135.039950399504
7.974298445828563e-103,0.0,0.0,0.0,8.642715427265406e-42,1.2852464134673601e-20,4.6861277789953416e-241,9.594431604457267e-70,1.2852464134673601e-20,1.4701120560189766e-24,-134.879948799488
1.630559409807191e-102,0.0,0.0,0.0,1.1841362284164297e-41,1.511356981718488e-20,2.743266525420864e-240,1.5556850457041475e-69,1.511356981718488e-20,1.7432806604717515e-24,-134.719947199472
3.3304138925178693e-102,0.0,0.0,0.0,1.6214840415849246e-41,1.7766736038073615e-20,1.6013509816595683e-239,2.52054910696653e-69,1.7766736038073615e-20,2.0666264830666286e-24,-134.559945599456
6.7948086796465926e-102,0.0,0.0,0.0,2.2191325538016422e-41,2.087892724796753e-20,9.321154475392257e-239,4.080747370455103e-69,2.087892724796753e-20,2.449257652829168e-24,-134.39994399943998
1.3847574080725583e-101,0.0,0.0,0.0,3.0353820766148315e-41,2.4528367783814158e-20,5.4102524357163604e-238,6.601692875121215e-69,2.4528367783814158e-20,2.9019154992161503e-24,-134.239942399424
2.8189514902571973e-101,0.0,0.0,0.0,4.1495694886939364e-41,2.880640454425063e-20,3.1313383853802675e-237,1.0671905801890695e-68,2.880640454425063e-20,3.43726373116042e-24,-134.079940799408
