1-Feng 1996,4-Sakakibara 1992,5-Sakakibara 1993,6-Schneider 1994,sum,gauss,x
0.0012819854646006312,6.313041262381712e-06,0.0003398153632141642,7.736353088483674e-24,0.001628113869077177,0.002441817390739498,-119.99979999799999
0.0013114164638850455,7.001977352999565e-06,0.000357161335554364,1.0843930005721886e-23,0.001675579776792409,0.0025088946175421986,-119.83979839798398
0.0013413268410569722,7.760762294927012e-06,0.0003752603888080464,1.5182168830189116e-23,0.0017243479921599456,0.0025774361400043894,-119.67979679796798
0.0013717186773487592,8.5958666078161e-06,0.00039413759971206866,2.123135028410235e-23,0.001774452143668644,0.002647461568189102,-119.51979519795198
0.0014025938875841632,9.51429382127393e-06,0.000413818467373951,2.9656377590453374e-23,0.0018259266487793881,0.0027189903841943596,-119.35979359793598
0.001433954215274791,1.052361756094643e-05,0.0004343288976625961,4.1376645416683666e-23,0.0018788067304983335,0.0027920419270854105,-119.19979199791997
0.0014658012277325458,1.163202054958861e-05,0.0004556951860820513,5.766192550951145e-23,0.0019331284343641858,0.00286663537752514,-119.03979039790397
0.0014981363112027545,1.2848335558558627e-05,0.0004779439990896845,8.02637953421778e-23,0.0019889286458509977,0.002942789742108179,-118.87978879788798
0.0015309606660227919,1.4182088339082037e-05,0.0005011023538221986,1.1159556390094803e-22,0.0020462451081840723,0.0030205238374047877,-118.71978719787198
0.0015642753018110095,1.5643542555723563e-05,0.0005251975961950455,1.5497828772498314e-22,0.0021051164405617787,0.003099856273720904,-118.55978559785598
0.001598081032690977,1.7243746736743445e-05,0.0005502573773433425,2.1497674039273307e-22,0.0021655821567710632,0.003180805438581408,-118.39978399783998
0.0016323784725559918,1.8994583247351215e-05,0.0005763096283749149,2.978576624436844e-22,0.0022276826841782582,0.0032633894799439793,-118.23978239782397
0.0016671680303789575,2.0908819282279663e-05,0.0006033825334090115,4.1221402908020755e-22,0.0022914593830702487,0.0033476262891514144,-118.07978079780798
0.0017024499055727854,2.300015986354027e-05,0.0006315045008772907,5.698144359410839e-22,0.0023569545663136163,0.0034335334836308696,-117.91977919779198
0.0017382240834064719,2.52833028176596e-05,0.0006607041330668952,7.86757361353627e-22,0.0024242115192910267,0.0035211283893487448,-117.75977759777598
0.0017744903304821728,2.777399569411801e-05,0.0006910101938890299,1.0850378060726774e-21,0.002493274520065321,0.003610428023030732,-117.59977599775998
0.0018112481902785233,3.0489094573075946e-05,0.0007224515748600416,1.4946710201224807e-21,0.0025641888597116407,0.0037014490741566868,-117.43977439774397
0.0018484969787655686,3.344662469578068e-05,0.0007550572592859963,2.0565678664604117e-21,0.0026370008627473454,0.003794207886740768,-117.27977279772797
0.001886235780096689,3.6665842835278555e-05,0.0007888562846458174,2.8264230446595516e-21,0.002711757907577785,0.003888720440907545,-117.11977119771197
0.0019244634423829323,4.016730130820833e-05,0.0008238777031723992,3.879966474782832e-21,0.0027885084468635395,0.003985002334275399,-116.95976959769598
0.001963178573555208,4.3972913510533316e-05,0.0008601505406356158,5.3200469960544216e-21,0.0028673020277013572,0.004083068763159036,-116.79976799767998
0.0020023795373197623,4.810602084107498e-05,0.000897703753335836,7.28617591565951e-21,0.0029481893114966734,0.004182934503603215,-116.63976639766398
0.0020420644492124733,5.259146085669504e-05,0.0009365661833215139,9.967368721220207e-21,0.0030312220933906824,0.0042846138922606036,-116.47976479764797
0.002082231172757411,5.745563648191667e-05,0.0009767665118494233,1.3619403416829732e-20,0.003116453321088751,0.004388120807126838,-116.31976319763197
0.0021228773157351524,6.272658607376308e-05,0.0010183332111114132,1.8587985802519944e-20,0.003203937112920329,0.0044934686481464935,-116.15976159761598
0.0021640002265663665,6.84340541196555e-05,0.0010612944942569459,2.5339804973529445e-20,0.0032937287749429675,0.004600670317704202,-115.99975999759997
0.0022055969908160574,7.460956232238914e-05,0.0011056782637461618,3.450411495285279e-20,0.003385884816884608,0.004709738201015261,-115.83975839758398
0.0022476644278240747,8.128648080165029e-05,0.001151512058074133,4.6928341286265636e-20,0.0034804629666998575,0.004820684146431268,-115.67975679756798
0.0022901990874671326,8.850009911619352e-05,0.0011988229969124374,6.375235088540653e-20,0.0035775221834957634,0.004933519445675717,-115.51975519755197
0.002333197247057889,9.628769678494995e-05,0.0012476377247204718,8.650752605934071e-20,0.0036771226685633107,0.005048254814026009,-115.35975359753597
0.002376654908386366,0.0001046886129589138,0.0012979823528847041,1.1724876270407325e-19,0.003779325874229984,0.0051649003704579595,-115.19975199751997
0.002420567794909044,0.00011374431486892049,0.0013498824004502996,1.5873011563021774e-19,0.0038841945102282647,0.005283465617769729,-115.03975039750398
0.002464931349090928,0.00012349846464745245,0.0014033627335156957,2.1463823325099441e-19,0.003991792547254076,0.005403959422702463,-114.87974879748798
0.0025097407299057017,0.00013399698409554282,0.001458447503366891,2.89902209376566e-19,0.004102185217368135,0.005526389996075034,-114.71974719747197
0.002554990810499214,0.00014528811693893324,0.0015151600834345637,3.9110435644869153e-19,0.00421543901087271,0.005650764872951222,-114.55974559745597
0.0026006761760212806,0.00015742248809093879,0.001573523005163308,5.270240934689336e-19,0.004331621669275528,0.0057770908928574775,-114.39974399743997
0.002646791121630815,0.00017045315941329814,0.0016335578928885716,7.093571887880974e-19,0.004450802173932685,0.005905374180070153,-114.23974239742398
0.0026933296506791928,0.00018443568144078324,0.0016952853978231433,9.536657086467342e-19,0.00457305072994312,0.006035620123991333,-114.07974079740796
0.0027402854730765604,0.000199428140510709,0.0017587251312610767,1.2806311085906832e-18,0.004698438744848347,0.006167833359632512,-113.91973919739198
0.0027876520038459494,0.0002154912007150953,0.0018238955971133554,1.717705142651329e-18,0.004827038801674402,0.006302017748226303,-113.75973759737597
0.0028354223618695736,0.00023268814007105682,0.0018908141238951405,2.3012821693263272e-18,0.004958924625835773,0.006438176357985755,-113.59973599735997
0.002883589368831923,0.0002510848802846754,0.001959496796290837,3.079553952521439e-18,0.005094171045407439,0.006576311445032026,-113.43973439734397
0.0029321455483639286,0.0002707500094650094,0.0020299583864286006,4.116256692730904e-18,0.005232853944257543,0.006716424434510883,-113.27973279732797
0.002981083125392399,0.0002917547971285957,0.0021022122850016685,5.495582989554872e-18,0.0053750502075226685,0.006858515901918933,-113.11973119731198
0.003030394025698826,0.0003141732008209221,0.0021762704323792883,7.328612843861213e-18,0.005520837658899044,0.00700258555466074,-112.95972959729598
0.0030800698756914173,0.0003380818636701784,0.0022521432498550644,9.76172291717379e-18,0.00567029498921667,0.007148632213858062,-112.79972799727997
0.0031301020023941804,0.0003635601021805673,0.0023298395711857335,1.2987568796831379e-17,0.005823501675760494,0.007296653796432868,-112.63972639726397
0.003180481433656621,0.00039068988356761214,0.0024093665745778133,1.7259409539137596e-17,0.005980537891802064,0.007446647297485735,-112.47972479724797
0.0032311988985874803,0.00041955579193677566,0.0024907297152841246,2.2909768196262105e-17,0.006141484405808403,0.007598608772991455,-112.31972319723197
0.0032822448282158042,0.00045024498260940734,0.0025739326589762053,3.0374710261660796e-17,0.006306422469801448,0.0077525333228338775,-112.15972159721596
0.003333609356382362,0.0004828471239069463,0.0026589772160623983,4.0225391629522473e-17,0.006475433696351746,0.00790841507420197,-111.99971999719997
0.0033852823208643766,0.0005174543257156499,0.0027458632771248273,5.3209001124106176e-17,0.006648599923704907,0.00806624716536937,-111.83971839718397
0.0034372532647361444,0.0005541610541700793,0.002834588749651348,7.030182824340285e-17,0.006826003068557642,0.008226021729879383,-111.67971679716797
0.003489511437968164,0.0005930640318146586,0.002925149496241378,9.277796030457842e-17,0.0070077249660242934,0.008387729881157924,-111.51971519715197
0.0035420457992669523,0.0006342621226286288,0.0030175392744665017,1.2229809991914546e-16,0.007193847196362205,0.008551361697576466,-111.35971359713596
