0-Aiba 2014,1-Amin 2005,2-Bankston 2007a,3-Beckermann 2014,4-Chang 2004,5-Chen 2016,6-Crotti 2012a,7-Glaaser 2012,8-Hayashi 2015,9-Holst 2009,10-Hu 2010,11-Huang 2006,12-Keller 2006,13-Li 2009,14-Liu 2003a,15-Makita 2005,16-Makita 2008,17-Marangoni 2011,18-Medeiros-Domingo 2007,19-Mok 2003,20-O'Leary 2002,21-Olesen 2012,22-Otagiri 2008,23-Rivolta 2001,24-Rossenbacker 2004,25-Ruan 2007,26-Ruan 2010,27-Saber 2015,28-Shy 2014,29-Sottas 2013,31-Tan 2001,32-Tsurugi 2009,33-Vatta 2002a,34-Vatta 2002b,35-Wang 2011,36-Wang 2016,37-Wehrens 2003,38-Winkel 2012,39-Yokoi 2005,sum,gauss,x
1.9714493117359495e-35,8.072666737016208e-24,2.8847883719035812e-99,0.0,1.6207634104773403e-32,5.106220982924388e-39,3.579078668961784e-29,2.365921717757607e-14,1.1334713713627202e-131,7.924162734714868e-35,3.579078668961784e-29,2.874697055316144e-11,3.238836254468605e-82,3.927382198716316e-20,1.258105095612639e-39,1.3390986094979555e-45,1.4338955033553832e-22,1.4497264633508678e-12,6.276102054911206e-66,0.0,0.0,2.8956704005068697e-33,2.021639316062404e-26,6.815358271662525e-131,0.0,1.395016187172244e-273,9.896288371897655e-123,7.822682946405699e-51,1.578762837811537e-20,0.0,1.766683951869056e-26,3.0366416944119987e-88,0.0,0.0,3.204279129222155e-64,1.3251206611609004e-29,7.798311512283388e-238,1.0673290635965325e-15,4.962139134233473e-63,3.0221423617966435e-11,3.4280785516354764e-06,-138.39998399984
2.9537585539597797e-35,1.0592966214399176e-23,7.2125301810816965e-99,0.0,3.22299545320697e-32,8.0450715260591e-39,5.415900823749093e-29,2.6489663187087735e-14,5.727623325508553e-131,1.1942219195892958e-34,5.415900823749093e-29,3.4706577823419975e-11,1.7458042359503483e-81,5.646632712635718e-20,1.9340396144391746e-39,2.4423510689120606e-45,1.8830635233881153e-22,1.6717974135010934e-12,1.3600009146991332e-65,0.0,0.0,4.391952000570448e-33,2.834555016306717e-26,2.3625304488465887e-130,0.0,1.9229798573405735e-272,3.4342022343247684e-122,1.2669095797992406e-50,1.934182629389062e-20,0.0,2.548372336464041e-26,1.0519528056594064e-87,0.0,0.0,8.793759416154028e-64,2.0379651633881063e-29,7.955351482810102e-237,1.2598131305089248e-15,1.2010203455603066e-62,3.640612478924577e-11,3.6127510677672865e-06,-138.239982399824
4.420606014877927e-35,1.3889128540403737e-23,1.7998428044941542e-98,0.0,6.386672357194603e-32,1.2659366711657366e-38,8.183546377522245e-29,2.965098074286974e-14,2.8814302182544452e-130,1.7976727268533113e-34,8.183546377522245e-29,4.186032159176016e-11,9.337037441823358e-81,8.104638208465427e-20,2.969827677316092e-39,4.446273800061949e-45,2.4708415519951355e-22,1.926936577023228e-12,2.9409390842875795e-65,0.0,0.0,6.652991956458238e-33,3.970055603993518e-26,8.168123478190673e-130,0.0,2.6361236456320894e-271,1.18837991027796e-121,2.0496148304450067e-50,2.3683634388675676e-20,0.0,3.671278341332887e-26,3.6298041775329756e-87,0.0,0.0,2.4045816818358448e-63,3.12946954751775e-29,8.075076574056489e-236,1.4862759651759076e-15,2.8986544129381137e-62,4.3818395530482496e-11,3.806794464542269e-06,-138.079980799808
6.608548309825935e-35,1.819655834014531e-23,4.4828556725043634e-98,0.0,1.2611433556428758e-31,1.9895085900512555e-38,1.2347634898154151e-28,3.318090676035877e-14,1.4431501786200832e-129,2.7029011307555836e-34,1.2347634898154151e-28,5.043875829815769e-11,4.954840334503185e-80,1.1612759875414985e-19,4.5552747477584746e-39,8.07935881490625e-45,3.2393455595728543e-22,2.219920293661192e-12,6.3464444454780044e-65,0.0,0.0,1.0065314901294012e-32,5.554420706884865e-26,2.816588038223625e-129,0.0,3.5937873167346842e-270,4.100725007728062e-121,3.312345519541703e-50,2.8984746310170884e-20,0.0,5.282288955101189e-26,1.2475396870658414e-86,0.0,0.0,6.551265565538863e-63,4.7981889594440026e-29,8.155721937543731e-235,1.7525818444580776e-15,6.976011134663731e-62,5.269361222587828e-11,4.010651609628868e-06,-137.919979199792
9.86842327482691e-35,2.3821020235040267e-23,1.1144181725742868e-97,0.0,2.4815849711467964e-31,3.1227083456540294e-38,1.8603617328233761e-28,3.712137022155201e-14,7.195893252867204e-129,4.059229716539149e-34,1.8603617328233761e-28,6.071517781363119e-11,2.6088988102315986e-79,1.6610969452862032e-19,6.979355868773445e-39,1.465379697822147e-44,4.2432841936596815e-22,2.5561923534662777e-12,1.3666980083628203e-64,0.0,0.0,1.5208580819590376e-32,7.7626755767107e-26,9.686804234832334e-129,0.0,4.872305597015816e-269,1.4110483734315553e-120,5.34731482647644e-50,3.545364933762147e-20,0.0,7.590622774617586e-26,4.2708053597285075e-86,0.0,0.0,1.7784087668285451e-62,7.345419570481544e-29,8.196088812157329e-234,2.065583193280503e-15,1.6741044027983707e-61,6.331055732252395e-11,4.2247845365868155e-06,-137.759977599776
1.471996948213866e-34,3.1159344207277904e-23,2.7651255938420744e-97,0.0,4.865962072577412e-31,4.89518147249547e-38,2.7988679058570694e-28,4.151894483393498e-14,3.572133330550624e-128,6.089070991939511e-34,2.7988679058570694e-28,7.301317168110229e-11,1.3629873076797124e-78,2.3719866127613535e-19,1.0681532119708176e-38,2.652870346875381e-44,5.553661651557584e-22,2.9419539506630493e-12,2.9370562587987188e-64,0.0,0.0,2.2950965931953932e-32,1.083713751215803e-25,3.322720964695744e-128,0.0,6.569196029113072e-268,4.84171329185903e-120,8.623282598056964e-50,4.3343369695440287e-20,0.0,1.0893892263649067e-25,1.4562952136871048e-85,0.0,0.0,4.810150805282434e-62,1.1227640845213419e-28,8.195574173075387e-233,2.433282896411931e-15,4.006107147683943e-61,7.599907814062446e-11,4.44967518339494e-06,-137.59997599976
2.1932265331579983e-34,4.072612654318297e-23,6.847858639821421e-97,0.0,9.507868439350078e-31,7.664043060645468e-38,4.204736581242609e-28,4.642534908737172e-14,1.7653888234899103e-127,9.123309006836484e-34,4.204736581242609e-28,8.77154743729536e-11,7.065345355085291e-78,3.3813272772137213e-19,1.6329361344032526e-38,4.793739844629807e-44,7.262550627175098e-22,3.3842652845390773e-12,6.298680718697845e-64,0.0,0.0,3.459108636384811e-32,1.5112914145081009e-25,1.1367458479794696e-127,0.0,8.808165716019331e-267,1.6566552650890228e-119,1.3891406711013815e-49,5.296081812779312e-20,0.0,1.5614898118186066e-25,4.946218524332825e-85,0.0,0.0,1.296302951545921e-61,1.7135353141454111e-28,8.15418572077539e-232,2.8650225526268604e-15,9.559325103029085e-61,9.114903042099352e-11,4.685826154971255e-06,-137.439974399744
3.264205662218601e-34,5.318813358500977e-23,1.6926530932429025e-96,0.0,1.85128159284344e-30,1.1983918397146029e-37,6.3076352399376005e-28,5.189799850788043e-14,8.68606047286828e-127,1.3653615573475364e-33,6.3076352399376005e-28,1.052742792881465e-10,3.63397541644291e-77,4.81193666774052e-19,2.493574160845359e-38,8.646203998880345e-44,9.489239014083309e-22,3.8911602490353506e-12,1.3479834140153172e-63,0.0,0.0,5.206889844554754e-32,2.1052919470866863e-25,3.878725432448843e-127,0.0,1.1745034189513746e-265,5.652507301225364e-119,2.235406852562139e-49,6.467805994275554e-20,0.0,2.2353505851865145e-25,1.673329284053846e-84,0.0,0.0,3.480767723290925e-61,2.6111405547015187e-28,8.072541689292361e-231,3.371700697262955e-15,2.274555569590437e-60,1.0922070978326126e-10,4.933761510252956e-06,-137.279972799728
4.852761833216574e-34,6.940859322555639e-23,4.175941247095571e-96,0.0,3.5920028887569335e-30,1.8715072644979435e-37,9.44856238657243e-28,5.800061537540376e-14,4.254760200575287e-126,2.040971291617437e-33,9.44856238657243e-28,1.262232609800779e-10,1.8545458780753405e-76,6.836130077940316e-19,3.803582315520389e-38,1.55657150470603e-43,1.238813861274212e-21,4.471775822222708e-12,2.878837344505552e-63,0.0,0.0,7.827868715399586e-32,2.9295905523096866e-25,1.3199906510665138e-126,0.0,1.557466260392455e-264,1.9232069921618935e-118,3.5933843530300244e-49,7.894589807573244e-20,0.0,3.195968936991804e-25,5.638632078559533e-84,0.0,0.0,9.31245725201173e-61,3.972830937916672e-28,7.951855480500895e-230,3.9660256243100625e-15,5.396727879083104e-60,1.3075700420716803e-10,5.194027574409435e-06,-137.11997119971198
7.206391988303577e-34,9.050416803393763e-23,1.0282862968235821e-95,3e-323,6.945055913960499e-30,2.919012525523164e-37,1.4133062696677587e-27,6.480390168461306e-14,2.0748996211438557e-125,3.047334019532014e-33,1.4133062696677587e-27,1.511915688938807e-10,9.390747955463034e-76,9.695237525451997e-19,5.795364964247557e-38,2.7970823603852407e-43,1.615895174157795e-21,5.1364979551093894e-12,6.135462867688631e-63,0.0,0.0,1.1753294860787049e-31,4.072227258058371e-25,4.480317886336304e-126,0.0,2.053896536542464e-263,6.525094969043348e-118,5.770155407388501e-49,9.631023455588602e-20,0.0,4.563624102649455e-25,1.892562970000491e-83,0.0,0.0,2.4824142577220122e-60,6.035351406573608e-28,7.793905658104144e-229,4.662808132097539e-15,1.276818413948731e-59,1.5639753462634812e-10,5.4671937767624425e-06,-136.959969599696
